bin_lo	bin_hi	n	view_unit	n_total	unit	denominator
-40.0	-35.0	26068	placement	344154	the unit named in view_unit	units with a defined signed distance (CANONICAL placements; their median per physical locus; the landed median per exact pair), 5-bp bins over -300..300 bp
-35.0	-30.0	35868	placement	344154	the unit named in view_unit	units with a defined signed distance (CANONICAL placements; their median per physical locus; the landed median per exact pair), 5-bp bins over -300..300 bp
-30.0	-25.0	10184	placement	344154	the unit named in view_unit	units with a defined signed distance (CANONICAL placements; their median per physical locus; the landed median per exact pair), 5-bp bins over -300..300 bp
-25.0	-20.0	14406	placement	344154	the unit named in view_unit	units with a defined signed distance (CANONICAL placements; their median per physical locus; the landed median per exact pair), 5-bp bins over -300..300 bp
-20.0	-15.0	19504	placement	344154	the unit named in view_unit	units with a defined signed distance (CANONICAL placements; their median per physical locus; the landed median per exact pair), 5-bp bins over -300..300 bp
-15.0	-10.0	2998	placement	344154	the unit named in view_unit	units with a defined signed distance (CANONICAL placements; their median per physical locus; the landed median per exact pair), 5-bp bins over -300..300 bp
-10.0	-5.0	3292	placement	344154	the unit named in view_unit	units with a defined signed distance (CANONICAL placements; their median per physical locus; the landed median per exact pair), 5-bp bins over -300..300 bp
-5.0	0.0	4941	placement	344154	the unit named in view_unit	units with a defined signed distance (CANONICAL placements; their median per physical locus; the landed median per exact pair), 5-bp bins over -300..300 bp
0.0	5.0	43034	placement	344154	the unit named in view_unit	units with a defined signed distance (CANONICAL placements; their median per physical locus; the landed median per exact pair), 5-bp bins over -300..300 bp
10.0	15.0	4	placement	344154	the unit named in view_unit	units with a defined signed distance (CANONICAL placements; their median per physical locus; the landed median per exact pair), 5-bp bins over -300..300 bp
15.0	20.0	3	placement	344154	the unit named in view_unit	units with a defined signed distance (CANONICAL placements; their median per physical locus; the landed median per exact pair), 5-bp bins over -300..300 bp
20.0	25.0	3	placement	344154	the unit named in view_unit	units with a defined signed distance (CANONICAL placements; their median per physical locus; the landed median per exact pair), 5-bp bins over -300..300 bp
25.0	30.0	2	placement	344154	the unit named in view_unit	units with a defined signed distance (CANONICAL placements; their median per physical locus; the landed median per exact pair), 5-bp bins over -300..300 bp
35.0	40.0	4	placement	344154	the unit named in view_unit	units with a defined signed distance (CANONICAL placements; their median per physical locus; the landed median per exact pair), 5-bp bins over -300..300 bp
45.0	50.0	7	placement	344154	the unit named in view_unit	units with a defined signed distance (CANONICAL placements; their median per physical locus; the landed median per exact pair), 5-bp bins over -300..300 bp
50.0	55.0	161	placement	344154	the unit named in view_unit	units with a defined signed distance (CANONICAL placements; their median per physical locus; the landed median per exact pair), 5-bp bins over -300..300 bp
55.0	60.0	4	placement	344154	the unit named in view_unit	units with a defined signed distance (CANONICAL placements; their median per physical locus; the landed median per exact pair), 5-bp bins over -300..300 bp
60.0	65.0	441	placement	344154	the unit named in view_unit	units with a defined signed distance (CANONICAL placements; their median per physical locus; the landed median per exact pair), 5-bp bins over -300..300 bp
65.0	70.0	9	placement	344154	the unit named in view_unit	units with a defined signed distance (CANONICAL placements; their median per physical locus; the landed median per exact pair), 5-bp bins over -300..300 bp
70.0	75.0	14	placement	344154	the unit named in view_unit	units with a defined signed distance (CANONICAL placements; their median per physical locus; the landed median per exact pair), 5-bp bins over -300..300 bp
75.0	80.0	13	placement	344154	the unit named in view_unit	units with a defined signed distance (CANONICAL placements; their median per physical locus; the landed median per exact pair), 5-bp bins over -300..300 bp
80.0	85.0	16	placement	344154	the unit named in view_unit	units with a defined signed distance (CANONICAL placements; their median per physical locus; the landed median per exact pair), 5-bp bins over -300..300 bp
85.0	90.0	2	placement	344154	the unit named in view_unit	units with a defined signed distance (CANONICAL placements; their median per physical locus; the landed median per exact pair), 5-bp bins over -300..300 bp
90.0	95.0	7	placement	344154	the unit named in view_unit	units with a defined signed distance (CANONICAL placements; their median per physical locus; the landed median per exact pair), 5-bp bins over -300..300 bp
95.0	100.0	7	placement	344154	the unit named in view_unit	units with a defined signed distance (CANONICAL placements; their median per physical locus; the landed median per exact pair), 5-bp bins over -300..300 bp
100.0	105.0	6	placement	344154	the unit named in view_unit	units with a defined signed distance (CANONICAL placements; their median per physical locus; the landed median per exact pair), 5-bp bins over -300..300 bp
105.0	110.0	28	placement	344154	the unit named in view_unit	units with a defined signed distance (CANONICAL placements; their median per physical locus; the landed median per exact pair), 5-bp bins over -300..300 bp
110.0	115.0	3	placement	344154	the unit named in view_unit	units with a defined signed distance (CANONICAL placements; their median per physical locus; the landed median per exact pair), 5-bp bins over -300..300 bp
115.0	120.0	3	placement	344154	the unit named in view_unit	units with a defined signed distance (CANONICAL placements; their median per physical locus; the landed median per exact pair), 5-bp bins over -300..300 bp
120.0	125.0	4	placement	344154	the unit named in view_unit	units with a defined signed distance (CANONICAL placements; their median per physical locus; the landed median per exact pair), 5-bp bins over -300..300 bp
135.0	140.0	1	placement	344154	the unit named in view_unit	units with a defined signed distance (CANONICAL placements; their median per physical locus; the landed median per exact pair), 5-bp bins over -300..300 bp
140.0	145.0	4	placement	344154	the unit named in view_unit	units with a defined signed distance (CANONICAL placements; their median per physical locus; the landed median per exact pair), 5-bp bins over -300..300 bp
145.0	150.0	128	placement	344154	the unit named in view_unit	units with a defined signed distance (CANONICAL placements; their median per physical locus; the landed median per exact pair), 5-bp bins over -300..300 bp
155.0	160.0	1	placement	344154	the unit named in view_unit	units with a defined signed distance (CANONICAL placements; their median per physical locus; the landed median per exact pair), 5-bp bins over -300..300 bp
160.0	165.0	9	placement	344154	the unit named in view_unit	units with a defined signed distance (CANONICAL placements; their median per physical locus; the landed median per exact pair), 5-bp bins over -300..300 bp
165.0	170.0	4	placement	344154	the unit named in view_unit	units with a defined signed distance (CANONICAL placements; their median per physical locus; the landed median per exact pair), 5-bp bins over -300..300 bp
170.0	175.0	2	placement	344154	the unit named in view_unit	units with a defined signed distance (CANONICAL placements; their median per physical locus; the landed median per exact pair), 5-bp bins over -300..300 bp
175.0	180.0	2	placement	344154	the unit named in view_unit	units with a defined signed distance (CANONICAL placements; their median per physical locus; the landed median per exact pair), 5-bp bins over -300..300 bp
180.0	185.0	3	placement	344154	the unit named in view_unit	units with a defined signed distance (CANONICAL placements; their median per physical locus; the landed median per exact pair), 5-bp bins over -300..300 bp
185.0	190.0	2	placement	344154	the unit named in view_unit	units with a defined signed distance (CANONICAL placements; their median per physical locus; the landed median per exact pair), 5-bp bins over -300..300 bp
190.0	195.0	1	placement	344154	the unit named in view_unit	units with a defined signed distance (CANONICAL placements; their median per physical locus; the landed median per exact pair), 5-bp bins over -300..300 bp
195.0	200.0	6	placement	344154	the unit named in view_unit	units with a defined signed distance (CANONICAL placements; their median per physical locus; the landed median per exact pair), 5-bp bins over -300..300 bp
200.0	205.0	2	placement	344154	the unit named in view_unit	units with a defined signed distance (CANONICAL placements; their median per physical locus; the landed median per exact pair), 5-bp bins over -300..300 bp
205.0	210.0	122	placement	344154	the unit named in view_unit	units with a defined signed distance (CANONICAL placements; their median per physical locus; the landed median per exact pair), 5-bp bins over -300..300 bp
210.0	215.0	2	placement	344154	the unit named in view_unit	units with a defined signed distance (CANONICAL placements; their median per physical locus; the landed median per exact pair), 5-bp bins over -300..300 bp
215.0	220.0	1	placement	344154	the unit named in view_unit	units with a defined signed distance (CANONICAL placements; their median per physical locus; the landed median per exact pair), 5-bp bins over -300..300 bp
235.0	240.0	4	placement	344154	the unit named in view_unit	units with a defined signed distance (CANONICAL placements; their median per physical locus; the landed median per exact pair), 5-bp bins over -300..300 bp
245.0	250.0	4	placement	344154	the unit named in view_unit	units with a defined signed distance (CANONICAL placements; their median per physical locus; the landed median per exact pair), 5-bp bins over -300..300 bp
255.0	260.0	2	placement	344154	the unit named in view_unit	units with a defined signed distance (CANONICAL placements; their median per physical locus; the landed median per exact pair), 5-bp bins over -300..300 bp
275.0	280.0	4	placement	344154	the unit named in view_unit	units with a defined signed distance (CANONICAL placements; their median per physical locus; the landed median per exact pair), 5-bp bins over -300..300 bp
285.0	290.0	2	placement	344154	the unit named in view_unit	units with a defined signed distance (CANONICAL placements; their median per physical locus; the landed median per exact pair), 5-bp bins over -300..300 bp
290.0	295.0	1	placement	344154	the unit named in view_unit	units with a defined signed distance (CANONICAL placements; their median per physical locus; the landed median per exact pair), 5-bp bins over -300..300 bp
295.0	300.0	8	placement	344154	the unit named in view_unit	units with a defined signed distance (CANONICAL placements; their median per physical locus; the landed median per exact pair), 5-bp bins over -300..300 bp
-300.0	-295.0	32	physical locus	297793	the unit named in view_unit	units with a defined signed distance (CANONICAL placements; their median per physical locus; the landed median per exact pair), 5-bp bins over -300..300 bp
-295.0	-290.0	15	physical locus	297793	the unit named in view_unit	units with a defined signed distance (CANONICAL placements; their median per physical locus; the landed median per exact pair), 5-bp bins over -300..300 bp
-290.0	-285.0	22	physical locus	297793	the unit named in view_unit	units with a defined signed distance (CANONICAL placements; their median per physical locus; the landed median per exact pair), 5-bp bins over -300..300 bp
-285.0	-280.0	82	physical locus	297793	the unit named in view_unit	units with a defined signed distance (CANONICAL placements; their median per physical locus; the landed median per exact pair), 5-bp bins over -300..300 bp
-280.0	-275.0	38	physical locus	297793	the unit named in view_unit	units with a defined signed distance (CANONICAL placements; their median per physical locus; the landed median per exact pair), 5-bp bins over -300..300 bp
-275.0	-270.0	25	physical locus	297793	the unit named in view_unit	units with a defined signed distance (CANONICAL placements; their median per physical locus; the landed median per exact pair), 5-bp bins over -300..300 bp
-270.0	-265.0	56	physical locus	297793	the unit named in view_unit	units with a defined signed distance (CANONICAL placements; their median per physical locus; the landed median per exact pair), 5-bp bins over -300..300 bp
-265.0	-260.0	279	physical locus	297793	the unit named in view_unit	units with a defined signed distance (CANONICAL placements; their median per physical locus; the landed median per exact pair), 5-bp bins over -300..300 bp
-260.0	-255.0	76	physical locus	297793	the unit named in view_unit	units with a defined signed distance (CANONICAL placements; their median per physical locus; the landed median per exact pair), 5-bp bins over -300..300 bp
-255.0	-250.0	49	physical locus	297793	the unit named in view_unit	units with a defined signed distance (CANONICAL placements; their median per physical locus; the landed median per exact pair), 5-bp bins over -300..300 bp
-250.0	-245.0	29	physical locus	297793	the unit named in view_unit	units with a defined signed distance (CANONICAL placements; their median per physical locus; the landed median per exact pair), 5-bp bins over -300..300 bp
-245.0	-240.0	33	physical locus	297793	the unit named in view_unit	units with a defined signed distance (CANONICAL placements; their median per physical locus; the landed median per exact pair), 5-bp bins over -300..300 bp
-240.0	-235.0	32	physical locus	297793	the unit named in view_unit	units with a defined signed distance (CANONICAL placements; their median per physical locus; the landed median per exact pair), 5-bp bins over -300..300 bp
-235.0	-230.0	48	physical locus	297793	the unit named in view_unit	units with a defined signed distance (CANONICAL placements; their median per physical locus; the landed median per exact pair), 5-bp bins over -300..300 bp
-230.0	-225.0	100	physical locus	297793	the unit named in view_unit	units with a defined signed distance (CANONICAL placements; their median per physical locus; the landed median per exact pair), 5-bp bins over -300..300 bp
-225.0	-220.0	120	physical locus	297793	the unit named in view_unit	units with a defined signed distance (CANONICAL placements; their median per physical locus; the landed median per exact pair), 5-bp bins over -300..300 bp
-220.0	-215.0	58	physical locus	297793	the unit named in view_unit	units with a defined signed distance (CANONICAL placements; their median per physical locus; the landed median per exact pair), 5-bp bins over -300..300 bp
-215.0	-210.0	33	physical locus	297793	the unit named in view_unit	units with a defined signed distance (CANONICAL placements; their median per physical locus; the landed median per exact pair), 5-bp bins over -300..300 bp
-210.0	-205.0	30	physical locus	297793	the unit named in view_unit	units with a defined signed distance (CANONICAL placements; their median per physical locus; the landed median per exact pair), 5-bp bins over -300..300 bp
-205.0	-200.0	78	physical locus	297793	the unit named in view_unit	units with a defined signed distance (CANONICAL placements; their median per physical locus; the landed median per exact pair), 5-bp bins over -300..300 bp
-200.0	-195.0	232	physical locus	297793	the unit named in view_unit	units with a defined signed distance (CANONICAL placements; their median per physical locus; the landed median per exact pair), 5-bp bins over -300..300 bp
-195.0	-190.0	87	physical locus	297793	the unit named in view_unit	units with a defined signed distance (CANONICAL placements; their median per physical locus; the landed median per exact pair), 5-bp bins over -300..300 bp
-190.0	-185.0	32	physical locus	297793	the unit named in view_unit	units with a defined signed distance (CANONICAL placements; their median per physical locus; the landed median per exact pair), 5-bp bins over -300..300 bp
-185.0	-180.0	86	physical locus	297793	the unit named in view_unit	units with a defined signed distance (CANONICAL placements; their median per physical locus; the landed median per exact pair), 5-bp bins over -300..300 bp
-180.0	-175.0	63	physical locus	297793	the unit named in view_unit	units with a defined signed distance (CANONICAL placements; their median per physical locus; the landed median per exact pair), 5-bp bins over -300..300 bp
-175.0	-170.0	43	physical locus	297793	the unit named in view_unit	units with a defined signed distance (CANONICAL placements; their median per physical locus; the landed median per exact pair), 5-bp bins over -300..300 bp
-170.0	-165.0	116	physical locus	297793	the unit named in view_unit	units with a defined signed distance (CANONICAL placements; their median per physical locus; the landed median per exact pair), 5-bp bins over -300..300 bp
-165.0	-160.0	107	physical locus	297793	the unit named in view_unit	units with a defined signed distance (CANONICAL placements; their median per physical locus; the landed median per exact pair), 5-bp bins over -300..300 bp
-160.0	-155.0	114	physical locus	297793	the unit named in view_unit	units with a defined signed distance (CANONICAL placements; their median per physical locus; the landed median per exact pair), 5-bp bins over -300..300 bp
-155.0	-150.0	294	physical locus	297793	the unit named in view_unit	units with a defined signed distance (CANONICAL placements; their median per physical locus; the landed median per exact pair), 5-bp bins over -300..300 bp
-150.0	-145.0	124	physical locus	297793	the unit named in view_unit	units with a defined signed distance (CANONICAL placements; their median per physical locus; the landed median per exact pair), 5-bp bins over -300..300 bp
-145.0	-140.0	405	physical locus	297793	the unit named in view_unit	units with a defined signed distance (CANONICAL placements; their median per physical locus; the landed median per exact pair), 5-bp bins over -300..300 bp
-140.0	-135.0	287	physical locus	297793	the unit named in view_unit	units with a defined signed distance (CANONICAL placements; their median per physical locus; the landed median per exact pair), 5-bp bins over -300..300 bp
-135.0	-130.0	278	physical locus	297793	the unit named in view_unit	units with a defined signed distance (CANONICAL placements; their median per physical locus; the landed median per exact pair), 5-bp bins over -300..300 bp
-130.0	-125.0	471	physical locus	297793	the unit named in view_unit	units with a defined signed distance (CANONICAL placements; their median per physical locus; the landed median per exact pair), 5-bp bins over -300..300 bp
-125.0	-120.0	345	physical locus	297793	the unit named in view_unit	units with a defined signed distance (CANONICAL placements; their median per physical locus; the landed median per exact pair), 5-bp bins over -300..300 bp
-120.0	-115.0	678	physical locus	297793	the unit named in view_unit	units with a defined signed distance (CANONICAL placements; their median per physical locus; the landed median per exact pair), 5-bp bins over -300..300 bp
-115.0	-110.0	291	physical locus	297793	the unit named in view_unit	units with a defined signed distance (CANONICAL placements; their median per physical locus; the landed median per exact pair), 5-bp bins over -300..300 bp
-110.0	-105.0	2578	physical locus	297793	the unit named in view_unit	units with a defined signed distance (CANONICAL placements; their median per physical locus; the landed median per exact pair), 5-bp bins over -300..300 bp
-105.0	-100.0	302	physical locus	297793	the unit named in view_unit	units with a defined signed distance (CANONICAL placements; their median per physical locus; the landed median per exact pair), 5-bp bins over -300..300 bp
-100.0	-95.0	184	physical locus	297793	the unit named in view_unit	units with a defined signed distance (CANONICAL placements; their median per physical locus; the landed median per exact pair), 5-bp bins over -300..300 bp
-95.0	-90.0	194	physical locus	297793	the unit named in view_unit	units with a defined signed distance (CANONICAL placements; their median per physical locus; the landed median per exact pair), 5-bp bins over -300..300 bp
-90.0	-85.0	1251	physical locus	297793	the unit named in view_unit	units with a defined signed distance (CANONICAL placements; their median per physical locus; the landed median per exact pair), 5-bp bins over -300..300 bp
-85.0	-80.0	238	physical locus	297793	the unit named in view_unit	units with a defined signed distance (CANONICAL placements; their median per physical locus; the landed median per exact pair), 5-bp bins over -300..300 bp
-80.0	-75.0	411	physical locus	297793	the unit named in view_unit	units with a defined signed distance (CANONICAL placements; their median per physical locus; the landed median per exact pair), 5-bp bins over -300..300 bp
-75.0	-70.0	1047	physical locus	297793	the unit named in view_unit	units with a defined signed distance (CANONICAL placements; their median per physical locus; the landed median per exact pair), 5-bp bins over -300..300 bp
-70.0	-65.0	3477	physical locus	297793	the unit named in view_unit	units with a defined signed distance (CANONICAL placements; their median per physical locus; the landed median per exact pair), 5-bp bins over -300..300 bp
-65.0	-60.0	703	physical locus	297793	the unit named in view_unit	units with a defined signed distance (CANONICAL placements; their median per physical locus; the landed median per exact pair), 5-bp bins over -300..300 bp
-60.0	-55.0	935	physical locus	297793	the unit named in view_unit	units with a defined signed distance (CANONICAL placements; their median per physical locus; the landed median per exact pair), 5-bp bins over -300..300 bp
-55.0	-50.0	9447	physical locus	297793	the unit named in view_unit	units with a defined signed distance (CANONICAL placements; their median per physical locus; the landed median per exact pair), 5-bp bins over -300..300 bp
-50.0	-45.0	5395	physical locus	297793	the unit named in view_unit	units with a defined signed distance (CANONICAL placements; their median per physical locus; the landed median per exact pair), 5-bp bins over -300..300 bp
-45.0	-40.0	3227	physical locus	297793	the unit named in view_unit	units with a defined signed distance (CANONICAL placements; their median per physical locus; the landed median per exact pair), 5-bp bins over -300..300 bp
-40.0	-35.0	22515	physical locus	297793	the unit named in view_unit	units with a defined signed distance (CANONICAL placements; their median per physical locus; the landed median per exact pair), 5-bp bins over -300..300 bp
-35.0	-30.0	32019	physical locus	297793	the unit named in view_unit	units with a defined signed distance (CANONICAL placements; their median per physical locus; the landed median per exact pair), 5-bp bins over -300..300 bp
-30.0	-25.0	6954	physical locus	297793	the unit named in view_unit	units with a defined signed distance (CANONICAL placements; their median per physical locus; the landed median per exact pair), 5-bp bins over -300..300 bp
-25.0	-20.0	11570	physical locus	297793	the unit named in view_unit	units with a defined signed distance (CANONICAL placements; their median per physical locus; the landed median per exact pair), 5-bp bins over -300..300 bp
-20.0	-15.0	16302	physical locus	297793	the unit named in view_unit	units with a defined signed distance (CANONICAL placements; their median per physical locus; the landed median per exact pair), 5-bp bins over -300..300 bp
-15.0	-10.0	1991	physical locus	297793	the unit named in view_unit	units with a defined signed distance (CANONICAL placements; their median per physical locus; the landed median per exact pair), 5-bp bins over -300..300 bp
-10.0	-5.0	2469	physical locus	297793	the unit named in view_unit	units with a defined signed distance (CANONICAL placements; their median per physical locus; the landed median per exact pair), 5-bp bins over -300..300 bp
-5.0	0.0	4020	physical locus	297793	the unit named in view_unit	units with a defined signed distance (CANONICAL placements; their median per physical locus; the landed median per exact pair), 5-bp bins over -300..300 bp
0.0	5.0	34578	physical locus	297793	the unit named in view_unit	units with a defined signed distance (CANONICAL placements; their median per physical locus; the landed median per exact pair), 5-bp bins over -300..300 bp
10.0	15.0	3	physical locus	297793	the unit named in view_unit	units with a defined signed distance (CANONICAL placements; their median per physical locus; the landed median per exact pair), 5-bp bins over -300..300 bp
15.0	20.0	2	physical locus	297793	the unit named in view_unit	units with a defined signed distance (CANONICAL placements; their median per physical locus; the landed median per exact pair), 5-bp bins over -300..300 bp
20.0	25.0	1	physical locus	297793	the unit named in view_unit	units with a defined signed distance (CANONICAL placements; their median per physical locus; the landed median per exact pair), 5-bp bins over -300..300 bp
25.0	30.0	2	physical locus	297793	the unit named in view_unit	units with a defined signed distance (CANONICAL placements; their median per physical locus; the landed median per exact pair), 5-bp bins over -300..300 bp
35.0	40.0	3	physical locus	297793	the unit named in view_unit	units with a defined signed distance (CANONICAL placements; their median per physical locus; the landed median per exact pair), 5-bp bins over -300..300 bp
