stratum	n_chains	n_groups	n_X_interval_from_blocks	n_X_interval_wide_window	n_X_undefined	n_NAXXH_strict	n_AXXH_relaxed	n_no_motif_in_scanned_interval	frac_NAXXH_of_scanned	n_Y_interval_from_VTG	frac_Y_defined	n_no_VTG_like_in_window	median_Y_length	n_chains_with_nucleic_acid	unit	note
family:RVT-Retrons (Ec86)	6	1	0	0	6	0	0	0		6	1.0000	0	69.0000	6	chain	a motif absence is not a region absence; X scanning depends on the GII-centred mapper reaching SB2p/SB3
family:RVT-Retrons (Eco8)	6	1	0	0	6	0	0	0		0	0.0000	6		6	chain	a motif absence is not a region absence; X scanning depends on the GII-centred mapper reaching SB2p/SB3
family:RVT-Retrons (St85)	1	1	0	1	0	1	0	0	1.0000	1	1.0000	0	74	1	chain	a motif absence is not a region absence; X scanning depends on the GII-centred mapper reaching SB2p/SB3
family:RVT-UG1 (DRT1)	1	1	0	0	1	0	0	0		0	0.0000	1		0	chain	a motif absence is not a region absence; X scanning depends on the GII-centred mapper reaching SB2p/SB3
family:RVT-UG12 (DRT6)	1	1	0	1	0	0	0	1	0.0000	0	0.0000	1		0	chain	a motif absence is not a region absence; X scanning depends on the GII-centred mapper reaching SB2p/SB3
family:RVT-UG15 (DRT4)	1	1	0	0	1	0	0	0		0	0.0000	1		0	chain	a motif absence is not a region absence; X scanning depends on the GII-centred mapper reaching SB2p/SB3
family:RVT-UG2	1	1	0	0	1	0	0	0		0	0.0000	1		1	chain	a motif absence is not a region absence; X scanning depends on the GII-centred mapper reaching SB2p/SB3
family:RVT-UG2 (DRT2)	1	1	0	0	1	0	0	0		0	0.0000	1		1	chain	a motif absence is not a region absence; X scanning depends on the GII-centred mapper reaching SB2p/SB3
family:RVT-UG26	1	1	0	0	1	0	0	0		0	0.0000	1		0	chain	a motif absence is not a region absence; X scanning depends on the GII-centred mapper reaching SB2p/SB3
family:RVT-UG28	1	1	1	0	0	0	0	1	0.0000	0	0.0000	1		1	chain	a motif absence is not a region absence; X scanning depends on the GII-centred mapper reaching SB2p/SB3
family:RVT-UG3 / RVT-UG8 (EcDRT3)	4	2	0	2	2	0	2	0	0.0000	0	0.0000	4		4	chain	a motif absence is not a region absence; X scanning depends on the GII-centred mapper reaching SB2p/SB3
family:RVT-UG8	1	1	0	0	1	0	0	0		1	1.0000	0	344	1	chain	a motif absence is not a region absence; X scanning depends on the GII-centred mapper reaching SB2p/SB3
family:non-LTR (LINE-1 ORF2p)	5	1	5	0	0	0	0	5	0.0000	0	0.0000	5		5	chain	a motif absence is not a region absence; X scanning depends on the GII-centred mapper reaching SB2p/SB3
family:non-LTR (R2Bm)	1	1	0	0	1	0	0	0		0	0.0000	1		1	chain	a motif absence is not a region absence; X scanning depends on the GII-centred mapper reaching SB2p/SB3
family:non-LTR (R2Pm)	1	1	1	0	0	0	0	1	0.0000	0	0.0000	1		1	chain	a motif absence is not a region absence; X scanning depends on the GII-centred mapper reaching SB2p/SB3
family:non-LTR (R2Tg)	2	1	0	0	2	0	0	0		0	0.0000	2		2	chain	a motif absence is not a region absence; X scanning depends on the GII-centred mapper reaching SB2p/SB3
family:retroviral (HIV-1)	1	1	0	0	1	0	0	0		0	0.0000	1		1	chain	a motif absence is not a region absence; X scanning depends on the GII-centred mapper reaching SB2p/SB3
family:retroviral (MMLV)	1	1	0	0	1	0	0	0		0	0.0000	1		1	chain	a motif absence is not a region absence; X scanning depends on the GII-centred mapper reaching SB2p/SB3
non-retron	41	25	21	4	16	0	2	23	0.0000	4	0.0976	37	185.5000	31	chain	a motif absence is not a region absence; X scanning depends on the GII-centred mapper reaching SB2p/SB3
