sequence_id	membership_class	population	exact_sequence_present	best_hit_target	best_hit_identity	best_hit_query_coverage	best_hit_target_coverage	best_hit_evalue	leakage_class	population_role	unit	denominator
RETRON_t1163	ANCHOR	align000044	NO	B.h.	0.2980	0.3060	0.4640	2.51e-14	DISTANT_OR_NO_HIT	the historical reconstruction substrate; overlap here would mean the old seed and the new frame share sequences	old-seed sequence vs one population	167 seed sequences vs 66 in align000044
RETRON_t812	ANCHOR	align000044	NO	P.p.	0.2900	0.5790	0.3950	8.18e-12	DISTANT_OR_NO_HIT	the historical reconstruction substrate; overlap here would mean the old seed and the new frame share sequences	old-seed sequence vs one population	167 seed sequences vs 66 in align000044
UNIPROT_P0DV89	ANCHOR	align000044	NO	S.p.cox2I1	0.2310	0.4910	0.2390	8.44e-04	DISTANT_OR_NO_HIT	the historical reconstruction substrate; overlap here would mean the old seed and the new frame share sequences	old-seed sequence vs one population	167 seed sequences vs 66 in align000044
RETRON_t1049	ANCHOR	align000044	NO	B.h.	0.2130	0.3640	0.4900	3.92e-05	DISTANT_OR_NO_HIT	the historical reconstruction substrate; overlap here would mean the old seed and the new frame share sequences	old-seed sequence vs one population	167 seed sequences vs 66 in align000044
RETRON_t208	ANCHOR	align000044	NO	S.p.	0.2630	0.5820	0.4450	3.42e-08	DISTANT_OR_NO_HIT	the historical reconstruction substrate; overlap here would mean the old seed and the new frame share sequences	old-seed sequence vs one population	167 seed sequences vs 66 in align000044
RETRON_t803	ANCHOR	align000044	NO	E.c.B	0.2140	0.8570	0.7450	9.23e-09	DISTANT_OR_NO_HIT	the historical reconstruction substrate; overlap here would mean the old seed and the new frame share sequences	old-seed sequence vs one population	167 seed sequences vs 66 in align000044
RETRON_t824	ANCHOR	align000044	NO	P.a.	0.3190	0.4410	0.3310	1.35e-14	REMOTE_GE_30	the historical reconstruction substrate; overlap here would mean the old seed and the new frame share sequences	old-seed sequence vs one population	167 seed sequences vs 66 in align000044
RETRON_t257	ANCHOR	align000044	NO	B.h.	0.2420	0.8080	0.6290	1.75e-07	DISTANT_OR_NO_HIT	the historical reconstruction substrate; overlap here would mean the old seed and the new frame share sequences	old-seed sequence vs one population	167 seed sequences vs 66 in align000044
RETRON_t953	ANCHOR	align000044	NO	B.h.	0.2850	0.2940	0.4140	4.92e-11	DISTANT_OR_NO_HIT	the historical reconstruction substrate; overlap here would mean the old seed and the new frame share sequences	old-seed sequence vs one population	167 seed sequences vs 66 in align000044
RETRON_t290	ANCHOR	align000044	NO	S.p.	0.2510	0.6840	0.5060	1.52e-10	DISTANT_OR_NO_HIT	the historical reconstruction substrate; overlap here would mean the old seed and the new frame share sequences	old-seed sequence vs one population	167 seed sequences vs 66 in align000044
UNIPROT_P71276	ANCHOR	align000044	NO	S.ma.	0.2650	0.4730	0.4100	2.48e-05	DISTANT_OR_NO_HIT	the historical reconstruction substrate; overlap here would mean the old seed and the new frame share sequences	old-seed sequence vs one population	167 seed sequences vs 66 in align000044
RETRON_t1732	ANCHOR	align000044	NO	S.p.	0.2380	0.6670	0.7550	3.04e-13	DISTANT_OR_NO_HIT	the historical reconstruction substrate; overlap here would mean the old seed and the new frame share sequences	old-seed sequence vs one population	167 seed sequences vs 66 in align000044
RETRON_t1710	ANCHOR	align000044	NO	S.p.	0.2680	0.2740	0.4090	2.96e-13	DISTANT_OR_NO_HIT	the historical reconstruction substrate; overlap here would mean the old seed and the new frame share sequences	old-seed sequence vs one population	167 seed sequences vs 66 in align000044
RETRON_t1673	ANCHOR	align000044	NO	S.p.	0.2520	0.5650	0.7060	1.13e-16	DISTANT_OR_NO_HIT	the historical reconstruction substrate; overlap here would mean the old seed and the new frame share sequences	old-seed sequence vs one population	167 seed sequences vs 66 in align000044
RETRON_t1928	ANCHOR	align000044	NO	S.p.	0.2540	0.4550	0.5250	1.22e-07	DISTANT_OR_NO_HIT	the historical reconstruction substrate; overlap here would mean the old seed and the new frame share sequences	old-seed sequence vs one population	167 seed sequences vs 66 in align000044
RETRON_t1894	ANCHOR	align000044	NO	S.p.	0.2750	0.3250	0.3010	2.09e-10	DISTANT_OR_NO_HIT	the historical reconstruction substrate; overlap here would mean the old seed and the new frame share sequences	old-seed sequence vs one population	167 seed sequences vs 66 in align000044
RETRON_t161	ANCHOR	align000044	NO	S.p.	0.2650	0.3850	0.3810	2.31e-06	DISTANT_OR_NO_HIT	the historical reconstruction substrate; overlap here would mean the old seed and the new frame share sequences	old-seed sequence vs one population	167 seed sequences vs 66 in align000044
RETRON_t1703	ANCHOR	align000044	NO	P.a.	0.2910	0.2880	0.4020	3.82e-08	DISTANT_OR_NO_HIT	the historical reconstruction substrate; overlap here would mean the old seed and the new frame share sequences	old-seed sequence vs one population	167 seed sequences vs 66 in align000044
RETRON_t1687	ANCHOR	align000044	NO	V.i.cob1I1	0.2670	0.2850	0.2050	3.65e-06	DISTANT_OR_NO_HIT	the historical reconstruction substrate; overlap here would mean the old seed and the new frame share sequences	old-seed sequence vs one population	167 seed sequences vs 66 in align000044
RETRON_t1323	ANCHOR	align000044	NO	B.h.	0.2390	0.7270	0.6320	1.91e-12	DISTANT_OR_NO_HIT	the historical reconstruction substrate; overlap here would mean the old seed and the new frame share sequences	old-seed sequence vs one population	167 seed sequences vs 66 in align000044
RETRON_t1374	ANCHOR	align000044	NO	B.h.	0.3040	0.2890	0.2560	3.67e-08	REMOTE_GE_30	the historical reconstruction substrate; overlap here would mean the old seed and the new frame share sequences	old-seed sequence vs one population	167 seed sequences vs 66 in align000044
RETRON_t1352	ANCHOR	align000044	NO	S.p.	0.2960	0.5220	0.4240	1.16e-08	DISTANT_OR_NO_HIT	the historical reconstruction substrate; overlap here would mean the old seed and the new frame share sequences	old-seed sequence vs one population	167 seed sequences vs 66 in align000044
RETRON_t1353	ANCHOR	align000044	NO	C.s.	0.2690	0.6030	0.4010	1.79e-10	DISTANT_OR_NO_HIT	the historical reconstruction substrate; overlap here would mean the old seed and the new frame share sequences	old-seed sequence vs one population	167 seed sequences vs 66 in align000044
RETRON_t1421	ANCHOR	align000044	NO	S.p.	0.2510	0.8040	0.6940	6.09e-14	DISTANT_OR_NO_HIT	the historical reconstruction substrate; overlap here would mean the old seed and the new frame share sequences	old-seed sequence vs one population	167 seed sequences vs 66 in align000044
RETRON_t1609	ANCHOR	align000044	NO	B.h.	0.2540	0.4520	0.4950	2.25e-10	DISTANT_OR_NO_HIT	the historical reconstruction substrate; overlap here would mean the old seed and the new frame share sequences	old-seed sequence vs one population	167 seed sequences vs 66 in align000044
RETRON_t1391	ANCHOR	align000044	NO	B.h.	0.2450	0.7510	0.6320	2.49e-12	DISTANT_OR_NO_HIT	the historical reconstruction substrate; overlap here would mean the old seed and the new frame share sequences	old-seed sequence vs one population	167 seed sequences vs 66 in align000044
RETRON_t1294	ANCHOR	align000044	NO	B.h.	0.2500	0.6360	0.5260	2.60e-12	DISTANT_OR_NO_HIT	the historical reconstruction substrate; overlap here would mean the old seed and the new frame share sequences	old-seed sequence vs one population	167 seed sequences vs 66 in align000044
RETRON_t1422	ANCHOR	align000044	NO	B.h.	0.2580	0.5920	0.5020	1.75e-11	DISTANT_OR_NO_HIT	the historical reconstruction substrate; overlap here would mean the old seed and the new frame share sequences	old-seed sequence vs one population	167 seed sequences vs 66 in align000044
RETRON_t749	ANCHOR	align000044	NO	B.m.rbcLI1	0.2910	0.4110	0.3210	2.24e-06	DISTANT_OR_NO_HIT	the historical reconstruction substrate; overlap here would mean the old seed and the new frame share sequences	old-seed sequence vs one population	167 seed sequences vs 66 in align000044
UNIPROT_P0DV94	ANCHOR	align000044	NO	P.p.	0.2420	0.6250	0.4210	2.05e-12	DISTANT_OR_NO_HIT	the historical reconstruction substrate; overlap here would mean the old seed and the new frame share sequences	old-seed sequence vs one population	167 seed sequences vs 66 in align000044
PDB_9YFD_1	ANCHOR	align000044	NO	S.p.cox1I1	0.2650	0.1100	0.1630	1.29e-07	DISTANT_OR_NO_HIT	the historical reconstruction substrate; overlap here would mean the old seed and the new frame share sequences	old-seed sequence vs one population	167 seed sequences vs 66 in align000044
PDB_9WY8_1	ANCHOR	align000044	NO	C.s.	0.2630	0.1400	0.2400	4.59e-06	DISTANT_OR_NO_HIT	the historical reconstruction substrate; overlap here would mean the old seed and the new frame share sequences	old-seed sequence vs one population	167 seed sequences vs 66 in align000044
PDB_24NC_1	ANCHOR	align000044	NO	P.p.LSUI1	0.2820	0.2460	0.2350	2.44e-07	DISTANT_OR_NO_HIT	the historical reconstruction substrate; overlap here would mean the old seed and the new frame share sequences	old-seed sequence vs one population	167 seed sequences vs 66 in align000044
PDB_9LJE_1	ANCHOR	align000044	NO	P.p.	0.3220	0.2650	0.2580	1.16e-09	REMOTE_GE_30	the historical reconstruction substrate; overlap here would mean the old seed and the new frame share sequences	old-seed sequence vs one population	167 seed sequences vs 66 in align000044
PDB_8BGJ_1	ANCHOR	align000044	NO	S.p.	0.2800	0.7100	0.3980	2.31e-14	DISTANT_OR_NO_HIT	the historical reconstruction substrate; overlap here would mean the old seed and the new frame share sequences	old-seed sequence vs one population	167 seed sequences vs 66 in align000044
PDB_9IOA_2	ANCHOR	align000044	NO	B.h.	0.2460	0.6790	0.7080	2.26e-21	DISTANT_OR_NO_HIT	the historical reconstruction substrate; overlap here would mean the old seed and the new frame share sequences	old-seed sequence vs one population	167 seed sequences vs 66 in align000044
PDB_9Z6Z_1	ANCHOR	align000044	NO	P.p.	0.2890	0.2510	0.2330	3.03e-07	DISTANT_OR_NO_HIT	the historical reconstruction substrate; overlap here would mean the old seed and the new frame share sequences	old-seed sequence vs one population	167 seed sequences vs 66 in align000044
PDB_26CZ_1	ANCHOR	align000044	NO	B.a.-07	0.2790	0.1690	0.2150	4.26e-05	DISTANT_OR_NO_HIT	the historical reconstruction substrate; overlap here would mean the old seed and the new frame share sequences	old-seed sequence vs one population	167 seed sequences vs 66 in align000044
PDB_9Z6Z_2	ANCHOR	align000044	NO	C.s.	0.2350	0.3230	0.3420	2.39e-04	DISTANT_OR_NO_HIT	the historical reconstruction substrate; overlap here would mean the old seed and the new frame share sequences	old-seed sequence vs one population	167 seed sequences vs 66 in align000044
CAND_AbiK_16	CANDIDATE	align000044	NO	P.li.LSUI2	0.2680	0.1940	0.2350	6.42e-05	DISTANT_OR_NO_HIT	the historical reconstruction substrate; overlap here would mean the old seed and the new frame share sequences	old-seed sequence vs one population	167 seed sequences vs 66 in align000044
CAND_AbiK_31	CANDIDATE	align000044	NO	C.s.	0.2430	0.2300	0.2590	6.76e-06	DISTANT_OR_NO_HIT	the historical reconstruction substrate; overlap here would mean the old seed and the new frame share sequences	old-seed sequence vs one population	167 seed sequences vs 66 in align000044
CAND_AbiK_51	CANDIDATE	align000044	NO	C.s.	0.2920	0.2120	0.2410	8.80e-06	DISTANT_OR_NO_HIT	the historical reconstruction substrate; overlap here would mean the old seed and the new frame share sequences	old-seed sequence vs one population	167 seed sequences vs 66 in align000044
CAND_AbiK_98	CANDIDATE	align000044	NO	S.p.	0.3100	0.1220	0.1740	6.52e-04	REMOTE_GE_30	the historical reconstruction substrate; overlap here would mean the old seed and the new frame share sequences	old-seed sequence vs one population	167 seed sequences vs 66 in align000044
CAND_AbiP2_108	CANDIDATE	align000044	NO	C.s.	0.2670	0.2580	0.2570	5.45e-09	DISTANT_OR_NO_HIT	the historical reconstruction substrate; overlap here would mean the old seed and the new frame share sequences	old-seed sequence vs one population	167 seed sequences vs 66 in align000044
CAND_AbiP2_172	CANDIDATE	align000044	NO	B.h.	0.2640	0.2130	0.3090	2.73e-05	DISTANT_OR_NO_HIT	the historical reconstruction substrate; overlap here would mean the old seed and the new frame share sequences	old-seed sequence vs one population	167 seed sequences vs 66 in align000044
CAND_AbiP2_208	CANDIDATE	align000044	NO	C.s.	0.2280	0.2660	0.2450	8.79e-06	DISTANT_OR_NO_HIT	the historical reconstruction substrate; overlap here would mean the old seed and the new frame share sequences	old-seed sequence vs one population	167 seed sequences vs 66 in align000044
CAND_AbiP2_270	CANDIDATE	align000044	NO	B.a.-07	0.3640	0.1510	0.1410	1.08e-08	REMOTE_GE_30	the historical reconstruction substrate; overlap here would mean the old seed and the new frame share sequences	old-seed sequence vs one population	167 seed sequences vs 66 in align000044
CAND_AbiP2_81	CANDIDATE	align000044	NO	B.a.-07	0.2640	0.3000	0.2950	2.76e-10	DISTANT_OR_NO_HIT	the historical reconstruction substrate; overlap here would mean the old seed and the new frame share sequences	old-seed sequence vs one population	167 seed sequences vs 66 in align000044
CAND_CRISPR_33	CANDIDATE	align000044	NO	B.m.	0.2450	0.4700	0.4030	8.12e-12	DISTANT_OR_NO_HIT	the historical reconstruction substrate; overlap here would mean the old seed and the new frame share sequences	old-seed sequence vs one population	167 seed sequences vs 66 in align000044
CAND_CRISPR_47	CANDIDATE	align000044	NO	B.m.rbcLI1	0.2210	0.4730	0.4260	4.20e-12	DISTANT_OR_NO_HIT	the historical reconstruction substrate; overlap here would mean the old seed and the new frame share sequences	old-seed sequence vs one population	167 seed sequences vs 66 in align000044
CAND_CRISPR_58	CANDIDATE	align000044	NO	P.a.	0.2390	0.5620	0.5020	2.10e-11	DISTANT_OR_NO_HIT	the historical reconstruction substrate; overlap here would mean the old seed and the new frame share sequences	old-seed sequence vs one population	167 seed sequences vs 66 in align000044
CAND_CRISPR_62	CANDIDATE	align000044	NO	B.m.rbcLI1	0.2390	0.7020	0.6000	1.06e-14	DISTANT_OR_NO_HIT	the historical reconstruction substrate; overlap here would mean the old seed and the new frame share sequences	old-seed sequence vs one population	167 seed sequences vs 66 in align000044
CAND_DGRs_11	CANDIDATE	align000044	NO	B.m.rbcLI1	0.2230	0.6570	0.5240	5.59e-04	DISTANT_OR_NO_HIT	the historical reconstruction substrate; overlap here would mean the old seed and the new frame share sequences	old-seed sequence vs one population	167 seed sequences vs 66 in align000044
CAND_DGRs_4	CANDIDATE	align000044	NO	B.m.rbcLI1	0.2550	0.5030	0.4800	2.25e-14	DISTANT_OR_NO_HIT	the historical reconstruction substrate; overlap here would mean the old seed and the new frame share sequences	old-seed sequence vs one population	167 seed sequences vs 66 in align000044
CAND_DGRs_6	CANDIDATE	align000044	NO	B.m.rbcLI1	0.2320	0.5870	0.5930	1.30e-07	DISTANT_OR_NO_HIT	the historical reconstruction substrate; overlap here would mean the old seed and the new frame share sequences	old-seed sequence vs one population	167 seed sequences vs 66 in align000044
CAND_DGRs_9	CANDIDATE	align000044	NO	C.p.I1	0.2290	0.4860	0.2850	5.56e-07	DISTANT_OR_NO_HIT	the historical reconstruction substrate; overlap here would mean the old seed and the new frame share sequences	old-seed sequence vs one population	167 seed sequences vs 66 in align000044
CAND_G2L4_1	CANDIDATE	align000044	NO	S.p.	0.2530	0.6140	0.8420	5.24e-24	DISTANT_OR_NO_HIT	the historical reconstruction substrate; overlap here would mean the old seed and the new frame share sequences	old-seed sequence vs one population	167 seed sequences vs 66 in align000044
CAND_G2L4_4	CANDIDATE	align000044	NO	S.p.	0.2590	0.4470	0.5530	8.00e-16	DISTANT_OR_NO_HIT	the historical reconstruction substrate; overlap here would mean the old seed and the new frame share sequences	old-seed sequence vs one population	167 seed sequences vs 66 in align000044
CAND_G2L4_5	CANDIDATE	align000044	NO	B.a.-07	0.4160	0.9240	0.9040	5.87e-138	REMOTE_GE_30	the historical reconstruction substrate; overlap here would mean the old seed and the new frame share sequences	old-seed sequence vs one population	167 seed sequences vs 66 in align000044
CAND_G2L4_68	CANDIDATE	align000044	NO	B.h.	0.2540	0.7940	0.7510	2.52e-21	DISTANT_OR_NO_HIT	the historical reconstruction substrate; overlap here would mean the old seed and the new frame share sequences	old-seed sequence vs one population	167 seed sequences vs 66 in align000044
CAND_G2L_57	CANDIDATE	align000044	NO	B.h.	0.3210	0.1850	0.1910	2.65e-08	REMOTE_GE_30	the historical reconstruction substrate; overlap here would mean the old seed and the new frame share sequences	old-seed sequence vs one population	167 seed sequences vs 66 in align000044
CAND_G2L_87	CANDIDATE	align000044	NO	P.a.	0.2920	0.7320	0.4920	1.80e-20	DISTANT_OR_NO_HIT	the historical reconstruction substrate; overlap here would mean the old seed and the new frame share sequences	old-seed sequence vs one population	167 seed sequences vs 66 in align000044
CAND_UG10_12	CANDIDATE	align000044	NO	P.p.LSUI1	0.3260	0.2660	0.2300	2.93e-09	REMOTE_GE_30	the historical reconstruction substrate; overlap here would mean the old seed and the new frame share sequences	old-seed sequence vs one population	167 seed sequences vs 66 in align000044
CAND_UG10_26	CANDIDATE	align000044	NO	P.p.LSUI2	0.3220	0.2440	0.2000	1.27e-07	REMOTE_GE_30	the historical reconstruction substrate; overlap here would mean the old seed and the new frame share sequences	old-seed sequence vs one population	167 seed sequences vs 66 in align000044
CAND_UG11_61	CANDIDATE	align000044	NO	P.li.LSUI2	0.2610	0.5620	0.3590	2.98e-05	DISTANT_OR_NO_HIT	the historical reconstruction substrate; overlap here would mean the old seed and the new frame share sequences	old-seed sequence vs one population	167 seed sequences vs 66 in align000044
CAND_UG11_70	CANDIDATE	align000044	NO	NO_HIT					DISTANT_OR_NO_HIT	the historical reconstruction substrate; overlap here would mean the old seed and the new frame share sequences	old-seed sequence vs one population	167 seed sequences vs 66 in align000044
CAND_UG12_12	CANDIDATE	align000044	NO	C.s.	0.5570	0.8720	0.9690	5.14e-211	MODERATE_GE_50	the historical reconstruction substrate; overlap here would mean the old seed and the new frame share sequences	old-seed sequence vs one population	167 seed sequences vs 66 in align000044
CAND_UG12_147	CANDIDATE	align000044	NO	B.a.-07	0.2540	0.3590	0.2580	2.79e-06	DISTANT_OR_NO_HIT	the historical reconstruction substrate; overlap here would mean the old seed and the new frame share sequences	old-seed sequence vs one population	167 seed sequences vs 66 in align000044
CAND_UG12_21	CANDIDATE	align000044	NO	C.s.	0.5310	0.9000	0.9860	2.46e-190	MODERATE_GE_50	the historical reconstruction substrate; overlap here would mean the old seed and the new frame share sequences	old-seed sequence vs one population	167 seed sequences vs 66 in align000044
CAND_UG12_230	CANDIDATE	align000044	NO	NO_HIT					DISTANT_OR_NO_HIT	the historical reconstruction substrate; overlap here would mean the old seed and the new frame share sequences	old-seed sequence vs one population	167 seed sequences vs 66 in align000044
CAND_UG12_3	CANDIDATE	align000044	NO	C.s.	0.2550	0.1940	0.2480	1.56e-04	DISTANT_OR_NO_HIT	the historical reconstruction substrate; overlap here would mean the old seed and the new frame share sequences	old-seed sequence vs one population	167 seed sequences vs 66 in align000044
CAND_UG12_37	CANDIDATE	align000044	NO	C.s.	0.2610	0.2380	0.2590	1.04e-05	DISTANT_OR_NO_HIT	the historical reconstruction substrate; overlap here would mean the old seed and the new frame share sequences	old-seed sequence vs one population	167 seed sequences vs 66 in align000044
CAND_UG13_0	CANDIDATE	align000044	NO	P.a.	0.2350	0.4670	0.5270	4.53e-09	DISTANT_OR_NO_HIT	the historical reconstruction substrate; overlap here would mean the old seed and the new frame share sequences	old-seed sequence vs one population	167 seed sequences vs 66 in align000044
CAND_UG13_16	CANDIDATE	align000044	NO	B.h.	0.2060	0.3110	0.4040	1.41e-08	DISTANT_OR_NO_HIT	the historical reconstruction substrate; overlap here would mean the old seed and the new frame share sequences	old-seed sequence vs one population	167 seed sequences vs 66 in align000044
