set_id	member_id	z6_locus_keys	physical_locus_key	genome	source_database	contig	rt_start	rt_end	rt_strand	cand_start	cand_end	cand_strand	model	cm_E	cm_score	z6_status	overlaps_retained_intergenic	n_nonRT_cds_overlapping_hit	cds_nt_over_hit	hit_len	assigned_to_neighbour_record	other_record	other_call	production_artifact_inspected	class	final_status
PIL_S12_HOMOLOG_HAS_CM_4	m07	3300028532.a:Ga0233363_1003934:2800-3999:-	3300028532.a:Ga0233363_1003934:2800-3999:-	3300028532_3	gem	3300028532.a:Ga0233363_1003934	2800	3999	-	4023	4117	-	TypeIV	1.9e-14	68.0	NO_NCRNA_CALL_IN_RETAINED_WINDOW	False	1	95	95	False			local: raw June corpus record, rt_ncrna_calls_v1, producer code copies; Ibex (read-only, 2026-09-19): /ibex/project/c2366/RETRONS listed (8 entries; FINAL_RETRON_PROJECT_v7/ -> embeddings only; RESEARCH-retron-db/ -> nbhd only) — no per-genome June Infernal tblout / integrated_results found	R1_NO_INTERGENIC_OVERLAP	RECONCILED_R1: hit not in any retained intergenic region (producer version for June run unrecorded -> provenance uncertainty)
PIL_S12_HOMOLOG_HAS_CM_1	m07	JBALXO010000059.1:15636-16586:-	JBALXO010000059.1:15636-16586:-	GCA_036960615.1	gtdb_bacteria	JBALXO010000059.1	15636	16586	-	16592	16725	-	TypeIX	6.1e-14	58.6	NO_NCRNA_CALL_IN_RETAINED_WINDOW	False	1	134	134	False			local: raw June corpus record, rt_ncrna_calls_v1, producer code copies; Ibex (read-only, 2026-09-19): /ibex/project/c2366/RETRONS listed (8 entries; FINAL_RETRON_PROJECT_v7/ -> embeddings only; RESEARCH-retron-db/ -> nbhd only) — no per-genome June Infernal tblout / integrated_results found	R1_NO_INTERGENIC_OVERLAP	RECONCILED_R1: hit not in any retained intergenic region (producer version for June run unrecorded -> provenance uncertainty)
PIL_S12_HOMOLOG_HAS_CM_1	m10	JAPJEA010000002.1:340263-341225:-;NZ_JAPJEA010000002.1:340263-341225:-	JAPJEA010000002.1:340263-341225:-	GCA_030737935.1	ncbi_bacteria	JAPJEA010000002.1	340263	341225	-	341230	341359	-	TypeIX	3.1e-13	56.0	NO_NCRNA_CALL_IN_RETAINED_WINDOW	False	1	130	130	False			local: raw June corpus record, rt_ncrna_calls_v1, producer code copies; Ibex (read-only, 2026-09-19): /ibex/project/c2366/RETRONS listed (8 entries; FINAL_RETRON_PROJECT_v7/ -> embeddings only; RESEARCH-retron-db/ -> nbhd only) — no per-genome June Infernal tblout / integrated_results found	R1_NO_INTERGENIC_OVERLAP	RECONCILED_R1: hit not in any retained intergenic region (producer version for June run unrecorded -> provenance uncertainty)
PIL_S12_HOMOLOG_HAS_CM_5	m06	JBHIXT010000122.1:6021-7610:-	JBHIXT010000122.1:6021-7610:-	GCA_041984625.1	ncbi_bacteria	JBHIXT010000122.1	6021	7610	-	7707	7909	-	TypeXIIIC_Mx162	7.1e-13	63.2	NO_NCRNA_CALL_IN_RETAINED_WINDOW	True	0	0	203	False			local: raw June corpus record, rt_ncrna_calls_v1, producer code copies; Ibex (read-only, 2026-09-19): /ibex/project/c2366/RETRONS listed (8 entries; FINAL_RETRON_PROJECT_v7/ -> embeddings only; RESEARCH-retron-db/ -> nbhd only) — no per-genome June Infernal tblout / integrated_results found	R3_UNRESOLVED	UNRESOLVED_R3: production per-genome output not located; not inferred
PIL_S12_HOMOLOG_HAS_CM_2	m08	JAPMXW010000001.1:2161305-2162441:+;NZ_JAPMXW010000001.1:2161305-2162441:+	JAPMXW010000001.1:2161305-2162441:+	GCF_032227185.1	gtdb_bacteria	JAPMXW010000001.1	2161305	2162441	+	2161069	2161304	+	TypeIIIA3	5.5e-10	35.7	NO_NCRNA_CALL_IN_RETAINED_WINDOW	True	1	63	236	True	master_Retron_merged_oriented.jsonl:634655	TypeIIIA3:2161069-2161326	local: raw June corpus record, rt_ncrna_calls_v1, producer code copies; Ibex (read-only, 2026-09-19): /ibex/project/c2366/RETRONS listed (8 entries; FINAL_RETRON_PROJECT_v7/ -> embeddings only; RESEARCH-retron-db/ -> nbhd only) — no per-genome June Infernal tblout / integrated_results found	R2_NEIGHBOUR_RECORD	RECONCILED_R2: call registered under neighbouring Retron record
PIL_S12_HOMOLOG_HAS_CM_2	m07	NZ_SAQH01000043.1:4222-5370:+;SAQH01000043.1:4222-5370:+	SAQH01000043.1:4222-5370:+	GCF_004020745.1	gtdb_bacteria	SAQH01000043.1	4222	5370	+	3987	4221	+	TypeIIIA3	1.9e-07	27.6	NO_NCRNA_CALL_IN_RETAINED_WINDOW	True	1	53	235	True	master_Retron_merged_oriented.jsonl:194366	TypeIIIA3:3987-4239	local: raw June corpus record, rt_ncrna_calls_v1, producer code copies; Ibex (read-only, 2026-09-19): /ibex/project/c2366/RETRONS listed (8 entries; FINAL_RETRON_PROJECT_v7/ -> embeddings only; RESEARCH-retron-db/ -> nbhd only) — no per-genome June Infernal tblout / integrated_results found	R2_NEIGHBOUR_RECORD	RECONCILED_R2: call registered under neighbouring Retron record
PIL_S3_FUSED_4	m00	JAXKBJ010000240.1:190-2151:-	JAXKBJ010000240.1:190-2151:-	GCA_036553045.1	ncbi_bacteria	JAXKBJ010000240.1	190	2151	-	2174	2356	-	TypeIC1_IC2	2.2e-07	37.0	NO_NCRNA_CALL_IN_RETAINED_WINDOW	True	0	0	183	False			local: raw June corpus record, rt_ncrna_calls_v1, producer code copies; Ibex (read-only, 2026-09-19): /ibex/project/c2366/RETRONS listed (8 entries; FINAL_RETRON_PROJECT_v7/ -> embeddings only; RESEARCH-retron-db/ -> nbhd only) — no per-genome June Infernal tblout / integrated_results found	R3_UNRESOLVED	UNRESOLVED_R3: production per-genome output not located; not inferred
PIL_S3_FUSED_4	m02	CP150847.1:1584844-1586838:-	CP150847.1:1584844-1586838:-	GCA_046531625.1	ncbi_bacteria	CP150847.1	1584844	1586838	-	1586863	1587045	-	TypeIC1_IC2	2.2e-07	37.0	NO_NCRNA_CALL_IN_RETAINED_WINDOW	True	0	0	183	False			local: raw June corpus record, rt_ncrna_calls_v1, producer code copies; Ibex (read-only, 2026-09-19): /ibex/project/c2366/RETRONS listed (8 entries; FINAL_RETRON_PROJECT_v7/ -> embeddings only; RESEARCH-retron-db/ -> nbhd only) — no per-genome June Infernal tblout / integrated_results found	R3_UNRESOLVED	UNRESOLVED_R3: production per-genome output not located; not inferred
PIL_S12_HOMOLOG_HAS_CM_2	m00	CALOPG020000115.1:5989-7113:+	CALOPG020000115.1:5989-7113:+	GCA_942643775.2	ncbi_bacteria	CALOPG020000115.1	5989	7113	+	5725	5983	+	TypeIIIA3	1.2e-06	25.0	NO_NCRNA_CALL_IN_RETAINED_WINDOW	True	1	56	259	True	master_Retron_merged_oriented.jsonl:636869	TypeIIIA3:5725-5983	local: raw June corpus record, rt_ncrna_calls_v1, producer code copies; Ibex (read-only, 2026-09-19): /ibex/project/c2366/RETRONS listed (8 entries; FINAL_RETRON_PROJECT_v7/ -> embeddings only; RESEARCH-retron-db/ -> nbhd only) — no per-genome June Infernal tblout / integrated_results found	R2_NEIGHBOUR_RECORD	RECONCILED_R2: call registered under neighbouring Retron record
PIL_S12_HOMOLOG_HAS_CM_4	m01	DALZLF010000079.1:12825-14009:+	DALZLF010000079.1:12825-14009:+	GCA_032008065.1	gtdb_bacteria	DALZLF010000079.1	12825	14009	+	12720	12815	+	TypeIV	1.6e-06	36.0	NO_NCRNA_CALL_IN_RETAINED_WINDOW	True	0	0	96	False			local: raw June corpus record, rt_ncrna_calls_v1, producer code copies; Ibex (read-only, 2026-09-19): /ibex/project/c2366/RETRONS listed (8 entries; FINAL_RETRON_PROJECT_v7/ -> embeddings only; RESEARCH-retron-db/ -> nbhd only) — no per-genome June Infernal tblout / integrated_results found	R3_UNRESOLVED	UNRESOLVED_R3: production per-genome output not located; not inferred
PIL_S5_SEQONLY_2	m02	JBGAHJ010000006.1:261093-261893:-	JBGAHJ010000006.1:261093-261893:-	GCA_044226255.1	ncbi_bacteria	JBGAHJ010000006.1	261093	261893	-	261912	262044	-	OutgroupA	2.9e-06	35.4	NO_NCRNA_CALL_IN_RETAINED_WINDOW	True	0	0	133	False			local: raw June corpus record, rt_ncrna_calls_v1, producer code copies; Ibex (read-only, 2026-09-19): /ibex/project/c2366/RETRONS listed (8 entries; FINAL_RETRON_PROJECT_v7/ -> embeddings only; RESEARCH-retron-db/ -> nbhd only) — no per-genome June Infernal tblout / integrated_results found	R3_UNRESOLVED	UNRESOLVED_R3: production per-genome output not located; not inferred
PIL_S12_HOMOLOG_HAS_CM_4	m10	MGYG000478301_77:444-1616:-	MGYG000478301_77:444-1616:-	MGYG000478301	mgnify_marine	MGYG000478301_77	444	1616	-	1647	1730	-	TypeIV	4.7e-06	34.1	NO_NCRNA_CALL_IN_RETAINED_WINDOW	True	0	0	84	True	master_Retron_merged_oriented.jsonl:130582	TypeIV:1647-1730	local: raw June corpus record, rt_ncrna_calls_v1, producer code copies; Ibex (read-only, 2026-09-19): /ibex/project/c2366/RETRONS listed (8 entries; FINAL_RETRON_PROJECT_v7/ -> embeddings only; RESEARCH-retron-db/ -> nbhd only) — no per-genome June Infernal tblout / integrated_results found	R2_NEIGHBOUR_RECORD	RECONCILED_R2: call registered under neighbouring Retron record
PIL_S12_HOMOLOG_HAS_CM_3	m06	JAIPIQ010000092.1:4571-5527:-	JAIPIQ010000092.1:4571-5527:-	GCA_021734645.1	gtdb_bacteria	JAIPIQ010000092.1	4571	5527	-	5539	5763	-	TypeXIIIC_Mx162	8.3e-06	31.4	NO_NCRNA_CALL_IN_RETAINED_WINDOW	True	1	17	225	False			local: raw June corpus record, rt_ncrna_calls_v1, producer code copies; Ibex (read-only, 2026-09-19): /ibex/project/c2366/RETRONS listed (8 entries; FINAL_RETRON_PROJECT_v7/ -> embeddings only; RESEARCH-retron-db/ -> nbhd only) — no per-genome June Infernal tblout / integrated_results found	R3_UNRESOLVED	UNRESOLVED_R3: production per-genome output not located; not inferred
