rt50	pool_loci	pool_exact_rt	pool_rt90	pool_rt70	type_modal	divergence_rt70_per_rt90	depth_bin	loci	exact_rt	rt90	genomes	genera	phyla	round1_exposed	split	stratum	n_members	gid	stability_testable	evaluable
0a5f202fd45814bb0147bca521c98414712b14e7919650ae1c3a55c0d5c21317	42	28	25	21	IX	0.84	>=20	139	52	44	139	33	4	False	DEV	IX|>=20	20.0	0a5f202fd45814bb	True	True
0aa6b2246c2a9bf6699d764f1c8d2a18e8bbb6eb23ff3c8985e245223379cb75	48	16	15	7	IX	0.4666666666666667	10-19	176	50	22	171	22	4	True	DEV	IX|10-19	15.0	0aa6b2246c2a9bf6	True	True
0defd6652dd7bd7e54722d897d1fc4c8ea324facddf87794a7d505dea2977a2c	49	17	11	8	I-C	0.7272727272727273	10-19	55	21	14	55	13	3	False	HELDOUT	I-C|10-19	11.0	0defd6652dd7bd7e	False	True
0efb463136764449fca6f8afb7074f89ea2903f1230ca2ac70e9533f14ee430d	118	44	29	12	I-C	0.41379310344827586	>=20	133	55	37	132	41	2	False	DEV	I-C|>=20	20.0	0efb463136764449	True	True
1098fca26d1a35244fe20cefd51824d63082fac6958cc54eb27a647b987534b6	56	28	25	21	IX	0.84	>=20	137	68	55	136	48	3	False	HELDOUT	IX|>=20	20.0	1098fca26d1a3524	True	True
10e640a14b669f3468a05201de5952884b709c4e2b90decc1f17baa23ce6f4f4	533	69	25	13	I-B	0.52	>=20	3300	193	33	3284	30	3	True	DEV	I-B|>=20	20.0	10e640a14b669f34	True	True
125ed024481686be16edcfe0fa1fed79758cd205458bc35948890a3bcbfab257	144	71	49	26	III-A	0.5306122448979592	>=20	182	89	61	181	54	6	False	DEV	III-A|>=20	20.0	125ed024481686be	True	True
15d428ec4ae35cc5ed86076170b768fb5db919c392b23a3ca16ac0c1ac359927	219	30	14	7	I-C	0.5	10-19	326	70	22	326	7	2	False	HELDOUT	I-C|10-19	14.0	15d428ec4ae35cc5	True	True
17efd3f7185ae028dcef3baa0334d4f4de441e8e7432c1e18dfc8ff05591712d	4613	307	150	79	I-A	0.5266666666666666	>=20	6214	419	178	5669	110	4	False	HELDOUT	I-A|>=20	20.0	17efd3f7185ae028	True	True
186dceba21899f7bc677c3b507f221a405d0ab8db7f6776d4b51d968e2bc7fbf	4000	166	38	15	I-A	0.39473684210526316	>=20	4462	263	40	4309	39	4	True	DEV	I-A|>=20	20.0	186dceba21899f7b	True	True
19819d72c63b67a5c6d78f5cb76ec7da23ac5c98568e58ad19d488a660e4ff41	49	41	36	20	XIII	0.5555555555555556	>=20	74	65	55	74	33	7	False	DEV	XIII|>=20	20.0	19819d72c63b67a5	True	True
19f104611bfbc3cbfc291934a3acee451f07929d7343cddff28a3e4abcf8b123	1156	174	16	6	I-C	0.375	10-19	1177	178	16	1172	30	3	False	DEV	I-C|10-19	16.0	19f104611bfbc3cb	True	True
1a20d44d94436c194f44599e5ffccd0c3ae74dcf6cf31b9fe0a39d111a1aef14	337	50	21	11	III-A	0.5238095238095238	>=20	350	54	23	347	26	3	False	HELDOUT	III-A|>=20	20.0	1a20d44d94436c19	True	True
1c6ec0690edafe821e82638d460643de336f2a14b4ccf9513e6df6dc31a5454f	321	50	23	15	I-A	0.6521739130434783	>=20	355	63	26	354	27	3	False	DEV	I-A|>=20	20.0	1c6ec0690edafe82	True	True
1c6f584d09f0a5e6dac16a365418d262eb6457cb56996ed12014f5b83283def8	186	65	38	15	III-A	0.39473684210526316	>=20	225	87	48	225	56	4	False	HELDOUT	III-A|>=20	20.0	1c6f584d09f0a5e6	True	True
1d3c51de2216fd8c272d79cdb8c306e3d37520556acc327df031ccf8e571089f	92	67	42	21	XIII	0.5	>=20	113	86	54	113	37	6	False	HELDOUT	XIII|>=20	20.0	1d3c51de2216fd8c	True	True
1d5778fb61beb2af7c874150374110f9b85bc3fd099413190810a1a24a3544e8	98	24	8	6	I-B	0.75	6-9	100	26	8	100	5	2	False	DEV	I-B|6-9	8.0	1d5778fb61beb2af	False	True
1e100cc1024ef7a68fabde5495a53d62dfbb8052a699aba8989220560d6c7e93	9411	822	227	120	I-C	0.5286343612334802	>=20	9837	944	250	9804	235	14	False	HELDOUT	I-C|>=20	20.0	1e100cc1024ef7a6	True	True
1f69a766a0ac3c628f5947a7c6cd524531fdd5dad588abd06286027591785891	677	28	15	5	I-A	0.3333333333333333	10-19	873	39	18	872	9	3	False	DEV	I-A|10-19	15.0	1f69a766a0ac3c62	True	True
2046942939648498455c7b59cda6cf0d34fe116a3de4e49ef756c218394a991a	7	6	6	2	I-C	0.3333333333333333	6-9	8	7	7	8	7	2	False	DEV	I-C|6-9	6.0	2046942939648498	False	True
236145096f3023e87d36a451b3f50573e9c912f83f9b9871bac3c7bd6914681a	8	7	7	4	II-A	0.5714285714285714	6-9	15	9	8	15	6	2	False	DEV	II-A|6-9	5.0	236145096f3023e8	False	False
24c1a8882e1032d45cd77c7d2ebf9d6f68aac267d0ffb43de83979431a96bde1	16	11	8	6	III-A	0.75	6-9	56	30	21	56	21	2	True	DEV	III-A|6-9	8.0	24c1a8882e1032d4	False	True
252d3ea9cf1c984b725fa2142eadf2ed339b76c304d33dac865ba1c888e7e785	478	105	53	34	III-A	0.6415094339622641	>=20	2577	300	108	2566	102	9	False	DEV	III-A|>=20	20.0	252d3ea9cf1c984b	True	True
2613b4c80ec96f07b65303cbd98b78d82dca962552d141b7dd44bd5b9ca1ad99	74	7	7	3	III-A	0.42857142857142855	6-9	267	12	9	267	4	2	False	HELDOUT	III-A|6-9	7.0	2613b4c80ec96f07	False	True
2787e085ffc7a35c88bcdb033a820693141929b684cb694b811e3d314bad1cb4	19	16	13	3	XIII	0.23076923076923078	10-19	29	24	16	29	7	2	False	HELDOUT	XIII|10-19	12.0	2787e085ffc7a35c	True	True
290c9fea04d686e3b9e19392836e291db3d4f8c90b340f2926d60fe8c0766c1b	1734	76	13	5	I-A	0.38461538461538464	10-19	2006	144	14	2004	26	4	False	DEV	I-A|10-19	13.0	290c9fea04d686e3	True	True
29c9146923c64dba7f65d0b4bdbe3ab25a084c45622c4e21ac77a6ce12c6e7b0	55	29	25	11	III-A	0.44	>=20	69	30	26	69	23	2	False	HELDOUT	III-A|>=20	20.0	29c9146923c64dba	True	True
30baca29e8cc11772c68a4a7941eda65dcf02ecbc3595dcae50664844699de79	747	57	7	4	I-B	0.5714285714285714	6-9	823	63	8	823	13	3	False	HELDOUT	I-B|6-9	7.0	30baca29e8cc1177	False	True
3124a83eed341d7329e549fc89d3b1ef644230915ba9e2e43af1e372edc9770f	2608	470	139	50	I-C	0.3597122302158273	>=20	2763	525	159	2723	91	4	False	DEV	I-C|>=20	20.0	3124a83eed341d73	True	True
318794bae28ca946c90d2dad1f6dd3d732bb5c5ba806a4b9fef243a71038b192	474	133	41	13	XIII	0.3170731707317073	>=20	479	137	43	479	26	2	False	HELDOUT	XIII|>=20	20.0	318794bae28ca946	True	True
318981fcc560bcd4ee5f7438cd388b2cf7cd9f457d3a21ceeec5cfdcf6c996cc	1057	217	119	79	III-A	0.6638655462184874	>=20	1122	251	139	1111	106	9	False	DEV	III-A|>=20	20.0	318981fcc560bcd4	True	True
318e3e73c910f004012d1d2643bd3a1daf4fc765c8ba81f007bc418192263731	15	8	7	5	IV	0.7142857142857143	6-9	16	9	8	16	5	2	True	DEV	IV|6-9	7.0	318e3e73c910f004	False	True
34eef4ff57673988f82c6136cd354c56d510cc5d1cddcf34d8d7848d02852224	15	11	10	6	I-C	0.6	10-19	20	14	12	20	10	2	False	DEV	I-C|10-19	10.0	34eef4ff57673988	False	True
35e8a719e7fd949be91d4ad31def7334097a10cc88377784488654932adbc636	62	16	10	7	III-A	0.7	10-19	185	38	20	180	27	3	False	DEV	III-A|10-19	10.0	35e8a719e7fd949b	False	True
360ec6a133f0565cadb7d7105a2282b685339b9137b2eb2316665f0307729b99	584	341	111	37	XIII	0.3333333333333333	>=20	727	459	163	724	60	3	False	HELDOUT	XIII|>=20	20.0	360ec6a133f0565c	True	True
36ce49776369d77da2c83487a0b51977d85a0b54a55ecb733fc22f696286816c	60	31	20	13	I-C	0.65	>=20	68	38	22	67	20	3	False	HELDOUT	I-C|>=20	19.0	36ce49776369d77d	True	True
383e23a685a3f8de7676463e017b03295c21d136f45f355f2df1191d195cfb79	52	14	10	4	I-C	0.4	10-19	54	15	10	52	8	2	False	HELDOUT	I-C|10-19	10.0	383e23a685a3f8de	False	True
38ccf250c6f248233cdc3fa4714376064dadfca0aef11e9b87649492a4a7f17a	165	89	43	17	XIII	0.3953488372093023	>=20	195	113	56	194	32	3	False	HELDOUT	XIII|>=20	20.0	38ccf250c6f24823	True	True
39ec37829c0558428a743e724c1a9c3256694b05e502730f37357789f0392f48	11	10	10	8	II-A	0.8	10-19	29	24	24	29	18	5	False	DEV	II-A|10-19	9.0	39ec37829c055842	False	True
3a9af2485aac89b1b40797ef845467e59eb6f3e58147946f11e7dc144e6e5dcc	518	32	7	1	I-B	0.14285714285714285	6-9	534	44	7	534	14	3	False	DEV	I-B|6-9	7.0	3a9af2485aac89b1	False	True
3ac2a7ca4319417d7012b143bc0d900448479326508fb4634120aa49d5a9466c	59	46	37	28	XIII	0.7567567567567568	>=20	84	63	51	84	33	6	False	HELDOUT	XIII|>=20	20.0	3ac2a7ca4319417d	True	True
3b586e6a94df63ad32421e9adc52c9bcb799961e7c459ef670acacb2e582f1ee	140	19	12	10	I-B	0.8333333333333334	10-19	486	111	35	486	5	2	False	HELDOUT	I-B|10-19	6.0	3b586e6a94df63ad	False	True
3c6eab406ee5458ad6cd7375beac7ee010badaf0e79ae3faf50a42e68a1d6951	694	14	6	4	II-A	0.6666666666666666	6-9	735	24	7	735	10	4	False	HELDOUT	II-A|6-9	6.0	3c6eab406ee5458a	False	True
3d2a300b511c42c97188e53bd3dd20d6a031b2e809de5f7a99cc76e4a38a7827	6	6	6	4	XIII	0.6666666666666666	6-9	98	81	66	97	37	3	False	HELDOUT	XIII|6-9	6.0	3d2a300b511c42c9	False	True
3e8b4ba4f27592804b1febb6952a14c5ffaba3dcb2c80411823cc5d856476ee6	19	10	6	3	I-C	0.5	6-9	24	13	7	24	15	2	False	HELDOUT	I-C|6-9	6.0	3e8b4ba4f2759280	False	True
421d91e2bc7777e9cec858e710ae7174180c848b03ba0749fe1267c04ef9d766	97	16	9	7	I-C	0.7777777777777778	6-9	102	17	9	102	11	3	False	HELDOUT	I-C|6-9	9.0	421d91e2bc7777e9	False	True
4313805906ad350a4c836a28e71c75c46f3992d2f83da2a65b6f60985436e85a	77	52	41	20	I-C	0.4878048780487805	>=20	94	65	46	94	52	3	False	HELDOUT	I-C|>=20	20.0	4313805906ad350a	True	True
450a398b75fe350818067d419c30132a77687c1b500f546f6c03a6c95509df0f	164	17	8	5	I-A	0.625	6-9	486	120	11	483	2	3	False	DEV	I-A|6-9	8.0	450a398b75fe3508	False	True
485feefcab1b21e841a631640491473043f8d3e24866c00af851023a19a9a7bf	1229	53	7	3	I-B	0.42857142857142855	6-9	1279	73	8	1279	15	3	False	DEV	I-B|6-9	7.0	485feefcab1b21e8	False	True
487b72945afee6767b7cbf532ce7102d7bfcdfc2647da10d3b8759c1d8630a48	282	29	14	12	I-A	0.8571428571428571	10-19	306	41	23	306	18	2	False	HELDOUT	I-A|10-19	13.0	487b72945afee676	True	True
4897759bb02ccd4849e432ab89a75b6efed16581bda4b7796ab20f09ad9e699e	25	18	6	6	I-B	1.0	6-9	154	94	13	154	8	2	False	HELDOUT	I-B|6-9	5.0	4897759bb02ccd48	False	False
4ba5c38dee4829b387e2f078fe902369d5024a5dc1b890885b41eceb62302b36	763	23	11	6	II-A	0.5454545454545454	10-19	776	24	11	774	9	3	False	HELDOUT	II-A|10-19	11.0	4ba5c38dee4829b3	False	True
4bae89207a2c311657c4e3e380a660630a5b0415dcec8e98bde5b27d05e2b55a	22	9	6	3	I-C	0.5	6-9	22	9	6	22	5	2	False	HELDOUT	I-C|6-9	6.0	4bae89207a2c3116	False	True
4c8f84f239bf0fb93aef6a76190333f340cc46b0423bf538d0a909137b2e4604	676	251	63	40	I-C	0.6349206349206349	>=20	893	347	87	891	55	8	False	HELDOUT	I-C|>=20	20.0	4c8f84f239bf0fb9	True	True
4d567d6d6e3c04c7538385c245cfa3a11111ed95e0a56c9784cf648972ecd3dd	310	75	32	13	V	0.40625	>=20	313	76	33	312	27	3	False	DEV	V|>=20	20.0	4d567d6d6e3c04c7	True	True
4deaafe66612f533c0b99dcbc2af7aa98a56a0b4a4dba1660bfe7eb54728e029	913	56	7	4	III-A	0.5714285714285714	6-9	1686	95	9	1671	20	3	False	DEV	III-A|6-9	7.0	4deaafe66612f533	False	True
4e10d035a059f56783d46c63a3f8523aaab16382bbc2b5df9c663023f47c59a9	483	137	32	22	I-C	0.6875	>=20	571	160	33	568	58	8	False	HELDOUT	I-C|>=20	20.0	4e10d035a059f567	True	True
4f2157d3ded3ffae087774464d1cec983586d740187fc1c92a717aa5de88d7d3	130	27	11	8	III-A	0.7272727272727273	10-19	171	36	18	171	27	3	False	HELDOUT	III-A|10-19	11.0	4f2157d3ded3ffae	False	True
4f4a7615b530ad6611be87e39747527c22000f21aa6a81e10fd776fe3b1155dc	107	86	41	24	XIII	0.5853658536585366	>=20	174	144	84	173	33	4	False	DEV	XIII|>=20	20.0	4f4a7615b530ad66	True	True
4fa61784fe085139fe1142e4795e6d31fcb9cdef37a6ce5bd77780e136f072b9	11	10	10	9	I-C	0.9	10-19	18	15	15	18	13	5	False	DEV	I-C|10-19	10.0	4fa61784fe085139	False	True
505cebc4e8503e5fb28b01f31412c04eba7a625117cec294100f34ca7983705c	16	7	6	5	IX	0.8333333333333334	6-9	24	13	12	24	13	3	False	DEV	IX|6-9	6.0	505cebc4e8503e5f	False	True
506454c901426f91173ae83a473162427b0d8d13daf2dba61e17ebbc28a287e3	17	12	10	8	III-A	0.8	10-19	25	15	13	25	14	2	False	DEV	III-A|10-19	10.0	506454c901426f91	False	True
50ed59ac2905305d9465c1cb49e1476db412eb084bde12943fbf43597756da95	13	6	6	3	I-C	0.5	6-9	16	9	8	16	6	2	False	HELDOUT	I-C|6-9	6.0	50ed59ac2905305d	False	True
52c6d134f8abe7a007aa341b579fdb52d2b5fa6d940b2911e12178623a5156a6	22	11	9	6	III-A	0.6666666666666666	6-9	46	24	17	46	12	2	False	HELDOUT	III-A|6-9	9.0	52c6d134f8abe7a0	False	True
5390de52cea666511ed2f80ce272bc65ec7a20f8d425699d99aeb1f28ba22e35	27840	300	6	3	I-B	0.5	6-9	28681	353	9	28674	21	4	False	HELDOUT	I-B|6-9	5.0	5390de52cea66651	False	False
585cf1b128947ccaf6bf72aa7c437f06b3e52da92d679d95c84e2e19096e96a7	29	17	9	8	XIII	0.8888888888888888	6-9	44	28	13	44	10	5	False	HELDOUT	XIII|6-9	8.0	585cf1b128947cca	False	True
591de7fe91356c175f671c8150cf80bc72abbfda0e46c5a219e176cdf4a61307	7	6	6	2	IX	0.3333333333333333	6-9	27	17	16	27	16	2	False	DEV	IX|6-9	5.0	591de7fe91356c17	False	False
5920070f0e0784db085b495f5f2b6432a915e64327d35906eb552e123c28e4fe	189	25	9	9	I-B	1.0	6-9	220	35	15	220	26	6	False	HELDOUT	I-B|6-9	9.0	5920070f0e0784db	False	True
5b0aa8588cbc7388e9546be008c26978c2a760c246b006634ef8b0713ff737ad	79	42	34	23	III-A	0.6764705882352942	>=20	354	187	96	352	40	2	True	DEV	III-A|>=20	20.0	5b0aa8588cbc7388	True	True
5b1d4e37ce54cbeaa741261c5404c48a3f648e73d83ec79603e8c893119b5ff8	118	32	19	9	V	0.47368421052631576	10-19	118	32	19	116	7	2	False	DEV	V|10-19	19.0	5b1d4e37ce54cbea	True	True
5c5f7870778d1a411210c2ab6ce0ea3faa3a9b84bf578a29334d84c316130a59	196	32	13	10	I-C	0.7692307692307693	10-19	370	78	28	369	35	4	False	DEV	I-C|10-19	13.0	5c5f7870778d1a41	True	True
5c694a9dbecbf1a5387573f88a367eecea9ea1047264c8d8ebf265ad96dba630	14	6	6	4	III-A	0.6666666666666666	6-9	14	6	6	14	5	2	False	DEV	III-A|6-9	6.0	5c694a9dbecbf1a5	False	True
5cf1550444c7013f1afe0889222ea303632a4a2795adaf6d9dde98329a6b5490	495	44	20	14	III-A	0.7	>=20	514	51	26	506	48	4	False	DEV	III-A|>=20	20.0	5cf1550444c7013f	True	True
622c10b6364c4c9f2d6e2a4a9e0bfaf89b928ca8413d132d68880c8439a6a161	233	30	12	5	I-B	0.4166666666666667	10-19	238	32	12	238	8	2	True	DEV	I-B|10-19	12.0	622c10b6364c4c9f	True	True
63afe61bbedc12263962bc7d3afda3428fd8fb21006d11e2fd3ccbe8048fdb99	1355	207	71	28	II-A	0.39436619718309857	>=20	1412	227	73	1409	64	6	False	HELDOUT	II-A|>=20	20.0	63afe61bbedc1226	True	True
6687b64b00cdcc94d62f094bbc4d06bb71540cc97aa140ca3a3a4a075204395e	187	25	17	15	III-A	0.8823529411764706	10-19	251	51	26	251	19	3	False	DEV	III-A|10-19	16.0	6687b64b00cdcc94	True	True
672030cf71b54aacb65b33bd355f8ff61eaecf3c0461932ad12cf023c985ec3c	219	31	17	8	I-C	0.47058823529411764	10-19	237	32	18	235	13	3	False	DEV	I-C|10-19	17.0	672030cf71b54aac	True	True
69239d0154af3bfdd1a7fbcb35e103f9ddff278602b70c8519943be644142e3b	17	10	9	7	III-A	0.7777777777777778	6-9	21	12	11	21	14	2	False	HELDOUT	III-A|6-9	9.0	69239d0154af3bfd	False	True
69785952089c79b448cf5e3e08086f4676ccd6572e5a47ede743372bd7ea9329	184	51	22	11	I-C	0.5	>=20	192	55	23	189	25	3	False	HELDOUT	I-C|>=20	20.0	69785952089c79b4	True	True
6ce60f576140051370d02a146a40b94efc21f721079143a1a1cf89d208fbe326	31	10	7	5	III-A	0.7142857142857143	6-9	60	14	9	60	8	2	False	DEV	III-A|6-9	7.0	6ce60f5761400513	False	True
6e5f58049467eb4d3132d73b6af8724aa0a3f156571c61b1fb77110765639980	19	7	6	5	I-C	0.8333333333333334	6-9	21	8	6	21	6	4	False	DEV	I-C|6-9	6.0	6e5f58049467eb4d	False	True
6f53e98ece3c9c1ddb81388126a1c8104ae0c7694ef6c073195c57386e122126	55	19	15	13	II-A	0.8666666666666667	10-19	57	20	16	57	14	3	False	DEV	II-A|10-19	14.0	6f53e98ece3c9c1d	True	True
72a36fa19fe3d404b1fb48274acc02851f262450d4c09eff2de8b6a4922b031d	163	27	9	5	I-C	0.5555555555555556	6-9	165	29	9	165	9	3	False	HELDOUT	I-C|6-9	9.0	72a36fa19fe3d404	False	True
74545cada67d80fe6251008b6321916a2ea63c301eaa6e8f951b7061836b285e	322	125	35	2	I-C	0.05714285714285714	>=20	936	409	56	936	3	4	False	DEV	I-C|>=20	4.0	74545cada67d80fe	False	False
75b244cdc0a4c235e3acfc3de07d8bc655542d1a1c264c6d06a72327090568c0	140	59	19	14	XIII	0.7368421052631579	10-19	272	101	40	272	36	3	False	DEV	XIII|10-19	19.0	75b244cdc0a4c235	True	True
7ab38dd5eed23e6103a232bac6561595a2571e5841ea62ad0a87c21a5dbbd7c4	10	7	7	6	XIII	0.8571428571428571	6-9	18	15	10	18	9	2	False	DEV	XIII|6-9	6.0	7ab38dd5eed23e61	False	True
7be69237244cc5120a6c5f7a340e78f46388b8c67172de1b38e7e373a7a8e4eb	170	75	41	36	I-C	0.8780487804878049	>=20	223	108	54	223	49	8	False	DEV	I-C|>=20	20.0	7be69237244cc512	True	True
7cbd1dbfc01a08c1a4c058b95cef724f5bf50449292376d8fc06f71f9a8a2b23	69	23	22	8	III-A	0.36363636363636365	>=20	71	24	23	71	24	2	False	HELDOUT	III-A|>=20	20.0	7cbd1dbfc01a08c1	True	True
7e94c2e1f033c9ea773bace4f02521b242b47343ab176f69b45009a0565eba60	40	16	9	6	I-C	0.6666666666666666	6-9	52	17	9	52	7	2	False	HELDOUT	I-C|6-9	9.0	7e94c2e1f033c9ea	False	True
800456be41a8be95035aa4ee9930338a154af52df1f14b8e0fc20ad05c7067c7	55	45	12	7	I-C	0.5833333333333334	10-19	233	145	29	233	13	3	False	HELDOUT	I-C|10-19	10.0	800456be41a8be95	False	True
80a6eef4a418e603be1c6e1b9cb45b9c49814017804e9bc6fd5bd07cf0129053	93	39	25	9	I-C	0.36	>=20	101	43	29	101	18	2	False	HELDOUT	I-C|>=20	20.0	80a6eef4a418e603	True	True
8120394c21a5bcc7127f6486b8a7b6d11b8210ede17f590a961df25141c17fd5	477	50	18	12	V	0.6666666666666666	10-19	958	74	27	863	15	2	True	DEV	V|10-19	18.0	8120394c21a5bcc7	True	True
836a2fc62058adb38426ee3ff04465d0b7738eff1181830d13679471b59f67bc	72	16	7	5	I-A	0.7142857142857143	6-9	2856	429	52	2842	24	4	False	DEV	I-A|6-9	6.0	836a2fc62058adb3	False	True
8396be309faadcc18ee26009480c222569327ba4469b6de3fdef531f995f97ca	27	12	7	4	II-A	0.5714285714285714	6-9	28	12	7	27	8	2	False	HELDOUT	II-A|6-9	7.0	8396be309faadcc1	False	True
84d02396d0a0cb116ff23018d0e788d912ee81529b7a1adf7010c8e015225f36	485	45	6	3	I-B	0.5	6-9	532	66	6	529	14	3	False	HELDOUT	I-B|6-9	6.0	84d02396d0a0cb11	False	True
8545e4500d59c158a5afe71990f7c7652b37e2d4151646481204565c342503e6	99	51	6	4	III-A	0.6666666666666666	6-9	136	71	6	136	5	2	False	HELDOUT	III-A|6-9	3.0	8545e4500d59c158	False	False
86e08f8b606add2aad35f485c73accba2c3ebeca410cef14016cc13f6024e9c3	13	6	6	2	I-C	0.3333333333333333	6-9	13	6	6	13	6	2	False	DEV	I-C|6-9	6.0	86e08f8b606add2a	False	True
87c68f39addcee630238a4f45b89aec37c1c19043d03eddb8056166537820aeb	17	8	6	5	III-A	0.8333333333333334	6-9	19	10	7	19	14	2	False	DEV	III-A|6-9	6.0	87c68f39addcee63	False	True
88298ccb7afd1e9414c8969e44cf6da270e96ccdd93e10f2ba1462609a16fe9d	486	70	39	7	I-B	0.1794871794871795	>=20	526	78	45	525	31	2	False	DEV	I-B|>=20	20.0	88298ccb7afd1e94	True	True
89ee0d022c299562ccf512e97bf9815966ebcf2987c8bb12f5b2154ccaf38205	15	10	8	7	XIII	0.875	6-9	26	18	11	26	12	3	True	DEV	XIII|6-9	7.0	89ee0d022c299562	False	True
8b159a32141abe21c13d770797221a590c2927316a3b3e05a5ea863ebac9d8b6	27	9	6	5	I-A	0.8333333333333334	6-9	36	18	6	36	6	2	False	HELDOUT	I-A|6-9	6.0	8b159a32141abe21	False	True
8b525b2b440763845120b46e832cb3392ff8fa40a132b7534df95717de999ab2	84	62	8	5	I-C	0.625	6-9	98	75	9	98	4	2	False	DEV	I-C|6-9	8.0	8b525b2b44076384	False	True
8ea0f62d7be411611bcca8d5424f08933844bd3c40d2a055f65aaaac5add47ba	45	18	9	6	III-A	0.6666666666666666	6-9	100	26	11	100	34	3	False	DEV	III-A|6-9	9.0	8ea0f62d7be41161	False	True
91cf01fd5aba3702f4c76c25d082496dfef21d0604a1d52e56bb7b13b01b8d09	137	72	7	18	I-C	2.5714285714285716	6-9	797	620	76	797	3	3	False	DEV	I-C|6-9	5.0	91cf01fd5aba3702	False	False
91ec3d1539f4bfcefadaf644fd154e11a629d7d9912db72d0252957c8bb7b0d1	262	50	17	3	II-A	0.17647058823529413	10-19	389	71	18	385	59	9	False	DEV	II-A|10-19	16.0	91ec3d1539f4bfce	True	True
921bde4efcde6dcf4a47d395655e4c2e34c12a111066b838cdde91a069c908ea	53	8	6	6	IX	1.0	6-9	60	13	10	60	11	2	False	HELDOUT	IX|6-9	5.0	921bde4efcde6dcf	False	False
9607e388e7a82831cc8fe383b034cd9a651db8547cefd03f7bc850b7b937b428	472	76	36	21	I-A	0.5833333333333334	>=20	525	96	38	521	22	3	False	DEV	I-A|>=20	20.0	9607e388e7a82831	True	True
9c0d9e75fc77a4400f4c246d9a07d665e5f1d8cf4a79792d4d096009f52588e9	115	74	57	40	I-C	0.7017543859649122	>=20	172	113	93	172	72	7	False	DEV	I-C|>=20	20.0	9c0d9e75fc77a440	True	True
9c62f124538e32ab44cea176bee5061bba2488245c819af513dbef2fd50e6049	14	6	6	6	III-A	1.0	6-9	18	9	9	18	7	2	False	HELDOUT	III-A|6-9	6.0	9c62f124538e32ab	False	True
a6f15dab5abadb3d49610a9e172c2d9f846848abe6b189137efbaa04c694d530	144	33	9	3	I-C	0.3333333333333333	6-9	484	109	26	483	9	5	False	HELDOUT	I-C|6-9	9.0	a6f15dab5abadb3d	False	True
a900b7588e4e41fff0aadaa04553d133ae9abbfeba1020c8a7e08c654d1f9750	290	65	37	13	I-C	0.35135135135135137	>=20	315	81	45	315	39	2	False	DEV	I-C|>=20	20.0	a900b7588e4e41ff	True	True
aca195e88bd5b62d62c97c787c9c845776ee0b8edd8fdcf5f9f48ef68d55e95c	23	14	13	7	I-C	0.5384615384615384	10-19	31	18	17	31	17	2	False	HELDOUT	I-C|10-19	11.0	aca195e88bd5b62d	False	True
