replicate	decoy_sequence_id	n_states_mapped	pct_mapped
0	WP_073312471.1_G2L_SHUF0	0	0.0
0	WP_073483196.1_G2L_SHUF0	0	0.0
0	WP_075849433.1_G2L_SHUF0	0	0.0
0	WP_078983422.1_G2L_SHUF0	0	0.0
0	WP_081926074.1_G2L_SHUF0	0	0.0
0	WP_092414825.1_G2L_SHUF0	0	0.0
0	ZP_08470761.1_G2L_SHUF0	0	0.0
1	AGA92426.1_G2L_SHUF1	0	0.0
1	ATI12522.1_G2L_SHUF1	0	0.0
1	CCA58983.1_G2L_SHUF1	1	0.7
1	CCH17786.1_G2L_SHUF1	27	18.0
1	CCT60821.1_G2L_SHUF1	0	0.0
1	CP004385.1_1408759_1409709_+_G2L_SHUF1	1	0.7
1	CP005587.1_2247168_2248427_+_G2L_SHUF1	0	0.0
1	CP018369.1_1678395_1679591_-_G2L_SHUF1	0	0.0
1	CP019322.1_1283679_1284887_+_G2L_SHUF1	0	0.0
1	CP020390.1_3686208_3687404_-_G2L_SHUF1	33	22.0
1	CP020397.1_1076542_1077738_+_G2L_SHUF1	0	0.0
1	CP023657.1_1851784_1852992_+_G2L_SHUF1	1	0.7
1	CP028901.1_3181383_3182723_-_G2L_SHUF1	0	0.0
1	CP032345.1_2878885_2880129_+_G2L_SHUF1	0	0.0
1	CP038026.1_5552810_5554066_+_G2L_SHUF1	0	0.0
1	CP038262.1_2811866_2813086_+_G2L_SHUF1	0	0.0
1	CP040077.1_890709_891905_+_G2L_SHUF1	0	0.0
1	CRK55203.1_G2L_SHUF1	0	0.0
1	EFI52015.1_G2L_SHUF1	0	0.0
1	EHB91710.1_G2L_SHUF1	1	0.7
1	EKA88804.1_G2L_SHUF1	0	0.0
1	ETR70225.1_G2L_SHUF1	1	0.7
1	KOY81891.1_G2L_SHUF1	0	0.0
1	KRD11792.1_G2L_SHUF1	0	0.0
1	NP_811761.1_G2L_SHUF1	0	0.0
1	OGW91992.1_G2L_SHUF1	1	0.7
1	OJI07300.1_G2L_SHUF1	0	0.0
1	OTG72349.1_G2L_SHUF1	28	18.7
1	PFG50180.1_G2L_SHUF1	0	0.0
1	PFH20450.1_G2L_SHUF1	1	0.7
1	PIQ87175.1_G2L_SHUF1	0	0.0
1	PKV73035.1_G2L_SHUF1	0	0.0
1	SAK23902.1_G2L_SHUF1	16	10.7
1	SFJ98198.1_G2L_SHUF1	0	0.0
1	SHH90620.1_G2L_SHUF1	1	0.7
1	SOB75353.1_G2L_SHUF1	0	0.0
1	SOD41170.1_G2L_SHUF1	1	0.7
1	WP_002069401.1_G2L_SHUF1	0	0.0
1	WP_005404755.1_G2L_SHUF1	0	0.0
1	WP_031977679.1_G2L_SHUF1	0	0.0
1	WP_046739911.1_G2L_SHUF1	0	0.0
1	WP_055414610.1_G2L_SHUF1	0	0.0
1	WP_059273163.1_G2L_SHUF1	0	0.0
1	WP_072029177.1_G2L_SHUF1	0	0.0
1	WP_073312471.1_G2L_SHUF1	1	0.7
1	WP_073483196.1_G2L_SHUF1	0	0.0
1	WP_075849433.1_G2L_SHUF1	0	0.0
1	WP_078983422.1_G2L_SHUF1	0	0.0
1	WP_081926074.1_G2L_SHUF1	0	0.0
1	WP_092414825.1_G2L_SHUF1	0	0.0
1	ZP_08470761.1_G2L_SHUF1	0	0.0
2	AGA92426.1_G2L_SHUF2	30	20.0
2	ATI12522.1_G2L_SHUF2	1	0.7
2	CCA58983.1_G2L_SHUF2	0	0.0
2	CCH17786.1_G2L_SHUF2	1	0.7
2	CCT60821.1_G2L_SHUF2	0	0.0
2	CP004385.1_1408759_1409709_+_G2L_SHUF2	1	0.7
2	CP005587.1_2247168_2248427_+_G2L_SHUF2	0	0.0
2	CP018369.1_1678395_1679591_-_G2L_SHUF2	0	0.0
2	CP019322.1_1283679_1284887_+_G2L_SHUF2	0	0.0
2	CP020390.1_3686208_3687404_-_G2L_SHUF2	0	0.0
2	CP020397.1_1076542_1077738_+_G2L_SHUF2	1	0.7
2	CP023657.1_1851784_1852992_+_G2L_SHUF2	0	0.0
2	CP028901.1_3181383_3182723_-_G2L_SHUF2	0	0.0
2	CP032345.1_2878885_2880129_+_G2L_SHUF2	0	0.0
2	CP038026.1_5552810_5554066_+_G2L_SHUF2	1	0.7
2	CP038262.1_2811866_2813086_+_G2L_SHUF2	0	0.0
2	CP040077.1_890709_891905_+_G2L_SHUF2	0	0.0
2	CRK55203.1_G2L_SHUF2	0	0.0
2	EFI52015.1_G2L_SHUF2	9	6.0
2	EHB91710.1_G2L_SHUF2	0	0.0
2	EKA88804.1_G2L_SHUF2	0	0.0
2	ETR70225.1_G2L_SHUF2	1	0.7
2	KOY81891.1_G2L_SHUF2	0	0.0
2	KRD11792.1_G2L_SHUF2	0	0.0
2	NP_811761.1_G2L_SHUF2	0	0.0
2	OGW91992.1_G2L_SHUF2	0	0.0
2	OJI07300.1_G2L_SHUF2	0	0.0
2	OTG72349.1_G2L_SHUF2	0	0.0
2	PFG50180.1_G2L_SHUF2	9	6.0
2	PFH20450.1_G2L_SHUF2	0	0.0
2	PIQ87175.1_G2L_SHUF2	0	0.0
2	PKV73035.1_G2L_SHUF2	1	0.7
2	SAK23902.1_G2L_SHUF2	0	0.0
2	SFJ98198.1_G2L_SHUF2	0	0.0
2	SHH90620.1_G2L_SHUF2	0	0.0
2	SOB75353.1_G2L_SHUF2	0	0.0
2	SOD41170.1_G2L_SHUF2	1	0.7
2	WP_002069401.1_G2L_SHUF2	0	0.0
2	WP_005404755.1_G2L_SHUF2	1	0.7
2	WP_031977679.1_G2L_SHUF2	0	0.0
2	WP_046739911.1_G2L_SHUF2	1	0.7
2	WP_055414610.1_G2L_SHUF2	0	0.0
2	WP_059273163.1_G2L_SHUF2	0	0.0
2	WP_072029177.1_G2L_SHUF2	16	10.7
2	WP_073312471.1_G2L_SHUF2	0	0.0
2	WP_073483196.1_G2L_SHUF2	1	0.7
2	WP_075849433.1_G2L_SHUF2	0	0.0
2	WP_078983422.1_G2L_SHUF2	0	0.0
2	WP_081926074.1_G2L_SHUF2	0	0.0
2	WP_092414825.1_G2L_SHUF2	1	0.7
2	ZP_08470761.1_G2L_SHUF2	0	0.0
