evidence_id	region	object_named_in_source	evidence_class	source_citation	pmid	pmcid	doi	retrieval_status	locator	verbatim_quote	protein_studied	numbering_system	residues_stated	what_it_shows	what_it_does_not_show	cached_text_sha256
Y-07	Y	66-residue C-terminal fragment / thumb domain	EXPERIMENTAL_SEQUENCE	Inouye M, Ke H, Yashio A, Yamanaka K, Nariya H, Shimamoto T, Inouye S. Complex formation between a putative 66-residue thumb domain of bacterial reverse transcriptase RT-Ec86 and the primer recognition RNA. J Biol Chem 2004;279:50735-50742.	15371452		10.1074/jbc.M408462200	ABSTRACT_ONLY	PubMed/Europe PMC abstract	Here, we purified the 66-residue, C-terminal fragment of RT-Ec86, RT from E. coli, which is responsible for the synthesis of multicopy single-stranded DNA-Ec86. This fragment, RT-Ec86-(255-320), was found to consist mainly of alpha-helical structures on the basis of its CD spectrum, which is consistent with the prediction of this region as the thumb domain from the structural alignment of RT-Ec86 with human immunodeficiency virus-1 RT.	RT-Ec86	RT-Ec86 own numbering	RT-Ec86-(255-320)	The only residue-numbered C-terminal interval established experimentally: RT-Ec86-(255-320), predicted to be the thumb domain by alignment with HIV-1 RT, is alpha-helical	Does not call this interval 'region Y'; the identification as thumb is a prediction from alignment, not a structure	51dde48f9e39d9e53c643ea15ec49348400f1ee2aa4727cae0976b6a63785f6e
Y-08	Y	66-residue C-terminal fragment	FUNCTIONAL	Inouye M, Ke H, Yashio A, Yamanaka K, Nariya H, Shimamoto T, Inouye S. Complex formation between a putative 66-residue thumb domain of bacterial reverse transcriptase RT-Ec86 and the primer recognition RNA. J Biol Chem 2004;279:50735-50742.	15371452		10.1074/jbc.M408462200	ABSTRACT_ONLY	PubMed/Europe PMC abstract	RT-Ec86-(255-320) was able to bind to a 28-base synthetic RNA consisting of the 5'-end single-stranded RNA containing the branching G residue and the recognition stem-loop structure in the RT-Ec86 primer-template RNA with a Kd value of 5 x 10(-8) M. By stepwise shortening of the 5'-end single-stranded region of the RNA, RT-Ec86-(255-320) was found still to be able to form a stable complex with only the stem-loop structure consisting of an 8-bp stem and a 3-base loop. In this stem-loop structure, the UUU loop was essential for the complex formation. RT-Ec73-(251-316) from another E. coli RT could not bind to the 28-base RNA for RT-Ec86 but could bind to its own stem-loop structure having a 3-base AGU loop. These results support the notion that the highly diverse C-terminal regions of bacterial RTs play an important role in recognizing their own specific primer-template RNA structure for the cDNA priming reaction.	RT-Ec86, RT-Ec73	each RT's own numbering	RT-Ec86-(255-320); RT-Ec73-(251-316)	In vitro binding: Ec86 C-terminal fragment binds its own primer-template RNA (Kd 5e-8 M), needs only the 8-bp stem + UUU loop; Ec73 fragment cannot bind the Ec86 RNA but binds its own AGU-loop stem-loop -> reciprocal specificity for exactly 2 retrons	No msDNA synthesis readout, no in vivo data, no third retron, no chimera; term 'region Y' not used; Ec73 fragment ends at 316, not 311 as reported by Simon et al. 2019	51dde48f9e39d9e53c643ea15ec49348400f1ee2aa4727cae0976b6a63785f6e
TERM-01	GROUPII_DOMAIN_X	thumb domain (of retron RT-Ec86)	TERMINOLOGY	Inouye M, Ke H, Yashio A, Yamanaka K, Nariya H, Shimamoto T, Inouye S. Complex formation between a putative 66-residue thumb domain of bacterial reverse transcriptase RT-Ec86 and the primer recognition RNA. J Biol Chem 2004;279:50735-50742.	15371452		10.1074/jbc.M408462200	ABSTRACT_ONLY	Title and abstract	Complex formation between a putative 66-residue thumb domain of bacterial reverse transcriptase RT-Ec86 and the primer recognition RNA. Reverse transcriptases (RT) are found in a minor population of Escherichia coli and are responsible for the synthesis of multicopy single-stranded DNA. These RTs specifically recognize RNA structures in their individual primer-template RNAs to initiate cDNA synthesis from the 2'-OH group of a specific internal G residue (branching G residue). Here, we purified the 66-residue, C-terminal fragment of RT-Ec86, RT from E. coli, which is responsible for the synthesis of multicopy single-stranded DNA-Ec86. This fragment, RT-Ec86-(255-320), was found to consist mainly of alpha-helical structures on the basis of its CD spectrum, which is consistent with the prediction of this region as the thumb domain from the structural alignment of RT-Ec86 with human immunodeficiency virus-1 RT.	RT-Ec86	RT-Ec86 own numbering	255-320	HAZARD SOURCE: the retron C-terminal msr-recognition element (which later reviews call region Y) is itself called the THUMB - the same word used for group II intron 'domain X'. Region Y and the thumb overlap; group II 'domain X' and retron 'region X' do not.	Does not discuss group II intron domain X	51dde48f9e39d9e53c643ea15ec49348400f1ee2aa4727cae0976b6a63785f6e
XY-01	BOTH	regions X and Y	OPERATIONAL_INTERVAL	Simon DM, Zimmerly S. A diversity of uncharacterized reverse transcriptases in bacteria. Nucleic Acids Res 2008;36:7219-7229.	19004871	PMC2602772	10.1093/nar/gkn867	FULL_TEXT	Results, 'Retrons/Retron-like RTs'	Members of this group share the retron-specific regions X and Y ( 15 ). Region Y lies within RT domain 7 and has been shown to be functionally important for recognizing the msRNA structure for the priming reaction ( 32 ). The role of region X, which lies between domains 2 and 3, is less clear but also seems to be important for the synthesis of msDNA.	113 retron RTs from genome survey	motif-relative	none	Earliest retrieved use of the X/Y labels in the genomic-survey lineage; attributes the regions to ref 15 = Lampson, Inouye & Inouye 2005 (Cytogenet Genome Res) and the Y function to ref 32 = Inouye et al. 1999	No residue numbers; no new experiment; note it places region Y 'within RT domain 7' rather than 'from VTG to the C-terminus'	01fbf95b6bc2644929d4ea160c56756548790be7d8b3b813e0435d9bfe60c651
TERM-02	GROUPII_DOMAIN_X	domain X (group II intron)	TERMINOLOGY	Simon DM, Zimmerly S. A diversity of uncharacterized reverse transcriptases in bacteria. Nucleic Acids Res 2008;36:7219-7229.	19004871	PMC2602772	10.1093/nar/gkn867	FULL_TEXT	Introduction	Downstream of the RT domain is domain X, which corresponds to the thumb of the polymerase, and has a second function in facilitating splicing of its host intron (maturase activity) ( 24 , 25 ).	group II intron-encoded proteins	n/a	none	Group II 'domain X' = thumb, located DOWNSTREAM of RT motifs 1-7; a different object from retron region X (between motifs 2 and 3)	n/a	01fbf95b6bc2644929d4ea160c56756548790be7d8b3b813e0435d9bfe60c651
TERM-03	GROUPII_DOMAIN_X	domain X vs regions X and Y	TERMINOLOGY	Simon DM, Zimmerly S. A diversity of uncharacterized reverse transcriptases in bacteria. Nucleic Acids Res 2008;36:7219-7229.	19004871	PMC2602772	10.1093/nar/gkn867	FULL_TEXT	Materials and Methods, sequence classification	in order to identify sequence hallmarks unique for each group (domain X for group II introns, regions X and Y for retrons, TR–VR repeats for DGRs).	group II intron / retron / DGR RTs	n/a	none	Both labels are used side by side in one methods sentence as hallmarks of DIFFERENT element classes - direct evidence that the two 'X' objects are distinct and easily confused	n/a	01fbf95b6bc2644929d4ea160c56756548790be7d8b3b813e0435d9bfe60c651
TERM-04	GROUPII_DOMAIN_X	domain X	TERMINOLOGY	Blocker FJH, Mohr G, Conlan LH, Qi L, Belfort M, Lambowitz AM. Domain structure and three-dimensional model of a group II intron-encoded reverse transcriptase. RNA 2005;11:14-28.	15574519	PMC1370687	10.1261/rna.7181105	ABSTRACT_ONLY	Abstract (PMC record; body is scanned/not machine-readable)	The LtrA protein encoded by the Lactococcus lactis Ll.LtrB group II intron contains an N-terminal RT domain, with conserved sequence motifs RT1 to 7 found in the fingers and palm of retroviral RTs; domain X, associated with maturase activity; and C-terminal DNA-binding and DNA endonuclease domains. Here, partial proteolysis of LtrA with trypsin and Arg-C shows major cleavage sites in RT1, and between the RT and X domains. Group II intron and related non-LTR retroelement RTs contain an N-terminal extension and several insertions relative to retroviral RTs, some with conserved features implying functional importance. Sequence alignments, secondary-structure predictions, and hydrophobicity profiles suggest that domain X is related structurally to the thumb of retroviral RTs.	LtrA (Ll.LtrB group II intron RT)	n/a	none	Canonical group II definition: domain X follows the RT1-7 motifs and corresponds structurally to the retroviral thumb	Says nothing about retrons or retron region X/Y	a3922408bcc3b010c8c7b8269723edeb1ab8c5e7bbeb83ea139957493087a34e
XY-02	BOTH	"Y" region / region "X"	MOTIF	Toro N, Nisa-Martinez R. Comprehensive phylogenetic analysis of bacterial reverse transcriptases. PLoS One 2014;9:e114083. [NOTE: PLoS One, not Front Microbiol]	25423096	PMC4244168	10.1371/journal.pone.0114083	FULL_TEXT	Results, 'Retrons/retron-like RTs'	The retron-specific conserved motif (VTG) within RT domain 7 in the “Y” region crucial for specific recognition and binding to the template-primer RNA used for the synthesis of msDNA [45] was present in 47% of the sequences, with variants including sequences with isoleucine/leucine (I/L) residue (26% of the sequences) in the first position. Moreover, the conserved NAXXH amino-acid motif in region “X”, located between domains 2 and 3, could be identified in 59% of the sequences. The histidine (H) residue displayed 100% conservation in these sequences, whereas the alanine (A) and asparagine (N) residues were conserved in 87% and 62% of cases, respectively.	102 retron/retron-like RT sequences (<=85% identity) from a bacterial genome survey	n/a	none	Source of the commonly quoted percentages. Denominator = the 102 retron-lineage RT sequences of this survey: VTG 47% (+26% with I/L at position 1); NAXXH identifiable in 59%, with H 100%, A 87%, N 62% WITHIN those 59%	No experiment; the Y function statement is cited only to Inouye et al. 1999 (ref 45); the NAXXH sentence carries NO citation at all in this paper; percentages are conditional on the 59% subset for N/A/H	6f0c5bba9acb511de0d0bc70484c06ec1974e22e7a3c5302f7ab3f7674c3c2f6
TERM-05	GROUPII_DOMAIN_X	the X domain (group II intron IEP)	TERMINOLOGY	Toro N, Nisa-Martinez R. Comprehensive phylogenetic analysis of bacterial reverse transcriptases. PLoS One 2014;9:e114083.	25423096	PMC4244168	10.1371/journal.pone.0114083	FULL_TEXT	Introduction	This IEP consists of an RT followed by a putative RNA-binding domain with RNA splicing or maturase activity (the X domain), and, in some intron lineages, a C-terminal DNA-binding and endonuclease domain	group II intron IEPs	n/a	none	HAZARD: the SAME paper uses 'the X domain' for the group II maturase/thumb domain and region 'X' for the retron NAXXH region between motifs 2 and 3 - the two objects co-occur in one text	The paper does not warn about the collision	6f0c5bba9acb511de0d0bc70484c06ec1974e22e7a3c5302f7ab3f7674c3c2f6
XY-03	BOTH	region Y / region X	OPERATIONAL_INTERVAL	Mestre MR, Gonzalez-Delgado A, Gutierrez-Rus LI, Martinez-Abarca F, Toro N. Systematic prediction of genes functionally associated with bacterial retrons and classification of the encoded tripartite systems. Nucleic Acids Res 2020;48:12632-12647.	33275130	PMC7736814	10.1093/nar/gkaa1149	FULL_TEXT	Results, retron RT phylogeny section	All these RTs displayed features characteristic of retron-type RTs, including region Y and region X ( 28 ). Region Y, which is located at the C-terminus, contains a highly conserved VTG triplet within the RT7 domain (with G the most conserved residue), and directs the RT to its cognate msr. By contrast, region X, located between the RT2 and RT3 domains, presents a characteristic NAXXH motif (with H the most conserved residue) and may be essential for reverse transcription initiation or catalysis (Figure 1 ).	retron/retron-like RTs from a genome survey	motif-relative	none	The wording the project's secondary notes reproduce ('G the most conserved residue' in VTG; 'H the most conserved residue' in NAXXH; Y 'directs the RT to its cognate msr'). Cited ONLY to ref 28 = Simon, Ellington & Finkelstein 2019 (a review), not to any primary experiment	No new data on X or Y; no residue numbers; 'G most conserved' is not supported by the Toro 2014 numbers it descends from (which report H, A, N conservation for NAXXH and give no per-position numbers for VTG)	e79a219aea3a7b42f2be034ddbf756c764ca19a06eb8f8f32935f0676378993e
Y-09	Y	'VTG' signature in RT motif 7	MOTIF	Mestre MR, Gonzalez-Delgado A, Gutierrez-Rus LI, Martinez-Abarca F, Toro N. Prokaryotic reverse transcriptases: from retroelements to specialized defense systems. FEMS Microbiol Rev 2021;45:fuab025.	33983378	PMC8632793	10.1093/femsre/fuab025	FULL_TEXT	Retrons section	The recent expansion of the range and diversity of known retrons based on genome survey analyses has made it possible to increase the number of putative retrons from tens to thousands, with most of these elements containing in RT motif 7 the characteristic ‘VTG’ signature (Toro et al . 2019a ).	thousands of putative retron RTs	n/a	none	Later restatement that VTG in RT motif 7 is the diagnostic retron signature at scale, citing Toro et al. 2019a	Gives no percentage or denominator here; makes no claim about region Y function in this sentence	8c3e9dad16a7159e744f3fdc7694ea08460cacc08c1214b3ab77a1731a3df25e
S-01	BOTH	regions designated X and Y	STRUCTURAL	Wang Y, Guan Z, Wang C, et al. Cryo-EM structures of Escherichia coli Ec86 retron complexes reveal architecture and defence mechanism. Nat Microbiol 2022;7:1480-1489. [PDB 7V9U, 7XJG]	35982312		10.1038/s41564-022-01197-7	FULL_TEXT	Results, 'Ec86 reverse transcriptase adopts a right-hand-like fold'	Two retron-specific regions, designated X and Y 37 , contain the conserved amino acid sequences NAxxH (residues 105–109) and VTG (residues 243–245), respectively (Extended Data Fig. 6 ). The NAxxH and VTG residues are in close proximity to the YADD active site (Extended Data Fig. 7 ).	RT-Ec86 (retron-Eco1)	Ec86 RT own numbering (320 aa)	NAxxH 105-109; VTG 243-245; YADD 195-198	First structure-based residue numbering of both motifs in a retron RT; both sit close to the YADD active site; the X/Y designation is attributed to ref 37 = Inouye et al. 1999	Does not delimit region Y as a ~90 aa C-terminal segment, does not test msr specificity, and does not attribute msr recognition to VTG	ed884d8e1ec8788299a7735f2422690f801903da132e091d7aa482716909e2ae
S-02	BOTH	The X and Y regions in Ec86 RT	STRUCTURAL	Wang Y, Guan Z, Wang C, et al. Cryo-EM structures of Escherichia coli Ec86 retron complexes reveal architecture and defence mechanism. Nat Microbiol 2022;7:1480-1489.	35982312		10.1038/s41564-022-01197-7	FULL_TEXT	Extended Data Fig. 7 legend	a , The X and Y regions in Ec86 RT. The X region (dodger blue) contains a long loop (between α4 and α5) and α5 and interacts with the RNA segment of DNA-RNA duplex and a short loop (between α5 and β3). The Y region (light sky blue) contains a long loop (between β6–α11) and α11. The conserved residues N105, A106, and H109 in X region and VTG (243-245) in Y region are close to the catalytic core YADD.	RT-Ec86	Ec86 RT own numbering	N105, A106, H109 (X); VTG 243-245 (Y); X = loop alpha4-alpha5 plus alpha5; Y = loop beta6-alpha11 plus alpha11	Structural delimitation: in the Ec86 structure 'the Y region' is only the beta6-alpha11 loop plus helix alpha11 around VTG, near the active site - NOT the whole C-terminal ~90 aa msr-binding element	No end residue for the Y region is given; no functional test of either region in this paper	ed884d8e1ec8788299a7735f2422690f801903da132e091d7aa482716909e2ae
S-03	NA_CONTACT	thumb domain / RSLb	STRUCTURAL	Wang Y, Guan Z, Wang C, et al. Cryo-EM structures of Escherichia coli Ec86 retron complexes reveal architecture and defence mechanism. Nat Microbiol 2022;7:1480-1489.	35982312		10.1038/s41564-022-01197-7	FULL_TEXT	Results, msDNA-RT interactions	RSLb extensively interacts with the thumb domain of reverse transcriptase (Fig. 4d ), which is consistent with previously biochemical results 37 , 38 . Specifically, the tight contact between the RSLb stem region and reverse transcriptase is mediated by rG44-R238, rG45-Q240, rA46-S249, rG48-R257/R298, rU49-K261/R298, rU50-K261, rG51-K261/R264 and rG56-K261 interactions. In the RSLb three-base loop region, rU52 and rU54 flip out while rU53 interacts with H268 and Y302 (Fig. 4d ).	RT-Ec86 with its msDNA/msrRNA	Ec86 RT own numbering; msrRNA nucleotide numbering	R238, Q240, S249, R257, R298, K261, R264, H268, Y302 contacting RSLb nucleotides rG44-rG56	Residue-level structural basis for cognate msr stem-loop (RSLb) recognition: all contacts lie in the thumb (238-320), i.e. inside the ~90 aa C-terminal region Y interval and overlapping the Inouye 2004 fragment 255-320; explicitly said to be consistent with the earlier biochemistry (refs 37, 38)	The paper does not call these residues 'region Y'; no swap/specificity experiment; VTG (243-245) is not among the listed RSLb-contacting residues	ed884d8e1ec8788299a7735f2422690f801903da132e091d7aa482716909e2ae
S-04	NA_CONTACT	thumb domain	STRUCTURAL	Wang Y, Guan Z, Wang C, et al. Cryo-EM structures of Escherichia coli Ec86 retron complexes reveal architecture and defence mechanism. Nat Microbiol 2022;7:1480-1489.	35982312		10.1038/s41564-022-01197-7	FULL_TEXT	Results, RT fold	Residues 238–320 in the thumb domain form a 2-stranded antiparallel β-sheet (β7–8), followed by a 3-helix bundle (α11–13).	RT-Ec86	Ec86 RT own numbering	thumb = 238-320	Structure-defined thumb of Ec86 RT is residues 238-320 - essentially co-extensive with the operationally defined region Y (VTG at 243-245 to C-terminus 320)	Does not state the region Y = thumb equivalence itself (INFERENCE by this audit)	ed884d8e1ec8788299a7735f2422690f801903da132e091d7aa482716909e2ae
S-05	BOTH	NAxxH and VTG motifs	STRUCTURAL	Wang X, et al. Phage nuclease-mediated defense activation of the bacterial Retron-Eco7 toxin-antitoxin system. Nucleic Acids Res 2025;gkaf1173. [PDB 9VHE and related]	41277685	PMC12640716	10.1093/nar/gkaf1173	FULL_TEXT	Results, RT-msDNA architecture	Two conserved motifs, NAxxH (residues 82–86) at α2 helix and VTG (residues 236–238) at the loop between β6 and α10, flank the YADD active site and likely stabilize it to promote catalysis (Fig. 3B and F).	RT-Eco7 (Ec107-type retron Eco7)	RT-Eco7 own numbering	NAxxH 82-86; VTG 236-238; YADD 185-188	Second retron RT with structure-based residue numbers for NAxxH and VTG; both flank the YADD active site, supporting a catalytic/active-site-stabilizing role rather than an RNA-specificity role for these motifs	Does not use the labels region X / region Y; the stabilization role is stated as 'likely', no mutagenesis of NAxxH or VTG reported in this quote	53017da5fa5d3800fc9455ba84864822a79e5764d86f913b2cee1ca82479bd0b
