id	kind	subject	statement	evidence	status	consequence_for_interpretation
X11	INSTRUMENT_LIMIT	Region X interval in retrons	The X interval is undefined in 13 of 21 retron chains, and scanned only in a wide window in 5 more, because the GII-centred mapper does not reach block SB2p in them (SB2p unavailable in 38 of 62 chains).	XY_REGION_ANNOTATIONS.tsv; tables/B_unavailable_cases.tsv	MEASURED	Region-X statements about retrons cannot be made from this instrument. This is a statement about the frame, not about retron biology.
X12	SCOPE_EXCLUSION	Stage-3B evidence on retrons	Every retron chain is Tier B or Tier C in Stage 3B, which closed with Tier B never opened. Comparison A therefore covers 19 Tier-A truth-bearing chains, none of them a retron.	STRUCTURE_STAGE3B_CROSSWALK.tsv (scope_3C); docs/BLOCKED.md 2026-09-19	OPERATOR DECISION PENDING	Comparison A says nothing about retron catalytic architecture. Admitting Tier-B truth labels descriptively is an operator decision.
X13	LABEL_DOES_NOT_TRACK_FUNCTION	palm-like call vs catalytic site	In 4 of 9 chains with a palm-like CALL the catalytic aspartates lie in a different unit (8GH6_A, 8UW3_A, 9YFD_A, and 9NL3_A where they lie in the fingers-like unit).	STRUCTURE_STAGE3B_CROSSWALK.tsv; tables/A_summary.tsv	MEASURED	The Stage-3A palm-like heuristic identifies a beta-sheet-rich unit, which is not always the catalytic unit. The two must not be equated.
X14	SCALE_MISMATCH	Stage-2 blocks vs structural units	Blocks SB3 and SB56 are contained in the same single unit in 28/28 chains where both are contained; SB56+SB7 in 35/36. Most of the numbered series collapses into one structural unit.	tables/B_split_merge.tsv	MEASURED	RT0-RT7 and contact-density units describe different scales. Neither refutes the other.
X15	INSTRUMENT_ARTEFACT	mapper positive control on LtrA	3 of 143 g7a-MAPPED states disagree (states 253-255 land at author residues 247-249 instead of 297-299). 5G2X_C has an unmodelled gap 251->302; the input is the gap-collapsed modelled sequence, so the alignment shifts at that boundary.	tables/B_control_K5_ltra.tsv; tables/chain_sequences.tsv	EXPLAINED - control passed at 140/143 = 0.979 against the declared 0.95	Structure-derived sequences are not construct sequences. State-to-residue placements adjacent to unmodelled gaps carry this uncertainty.
X16	MEASURE_BLINDNESS	internal insertions	No gap between consecutive mapped anchors reaches the declared 20-residue excess (maximum 19), yet the instrument's own insertion counts reach 774 residues in a single run (9YFD_A; median maximum run 108 over mapped chains). The gap measure is blind wherever the anchors are deleted.	tables/E_insertions.tsv; TERMINI_FUSION_SUMMARY.tsv	MEASURED - both numbers reported, neither alone	A "no insertions detected" statement from the gap rule would be false. Insertion architecture needs a measure that does not depend on anchors being mapped.
X17	INTERPRETATION_TRAP	terminal extensions	Residues outside the mapped anchor span are only extensions where the anchor series reached both ends; it did so in 20 of 62 chains. In 39 chains the series is truncated, mostly because the GII-centred frame does not commit N-terminally.	TERMINI_FUSION_SUMMARY.tsv (anchor_series_coverage)	MEASURED	Extension statistics are reported only over the 20 complete-series chains. The truncated cases are unseen RT sequence, not architecture.
X18	POPULATION_LIMIT	chains the mapper cannot place	5VBS_A (246 aa) and 8BGJ_A (203 aa) fall below the instrument's registered 250-residue minimum; 1RTD_A returns ABSTAIN (no qualifying domain).	tables/mapper/s3c.failures.tsv; STRUCTURE_STAGE2_CROSSWALK.tsv	MEASURED	Three chains carry no Stage-2 evidence in 3C. Abstention is not absence.
X19	PACKAGING_DEFECT	Stage-3B bundles	cat3b_g1 and cat3b_g2 seal three __pycache__/*.pyc paths in OUTPUTS.tsv that git never tracked, contrary to BS-16.	INPUT_PROVENANCE.tsv (verdict PYCACHE_SEALED_NOT_PRESENT)	RECORDED - no result of those bundles is affected	A fresh clone cannot satisfy those three hash rows. Every scientific file of both bundles matched.
X20	NAMING_UNRESOLVED	9L7P and the St85/Ec78 label	The Stage-3A register records 9L7P_E as RVT-Retrons (St85) with accession A0AAW7FAU3; a retrieval pass reported "St85" as a family label for the Ec78 system (Q46666). The two accessions differ.	analysis/stage3a_structural_core/STRUCTURE_REGISTER.tsv; tables/C_sources.tsv	OPEN - not resolved here	Family labels are metadata and are never used as evidence in this stage; the disagreement is carried forward.
X21	COVERAGE_GAP	literature boundaries not retrievable	Of the sources sought, publisher sites returned 403 or paywalls for Ec86 (7V9U/7V9X/7XJG/8QBK-M), 9LPA, 24NC, 26CZ, 9IOA, 9WY8, 9K6G, 9LJE; MMLV RT has no obtainable numbered boundary; and for most proteins the canonical subdomains appear only as unnumbered figure schematics.	tables/C_sources.tsv; tables/C_audit_notes.md	OPEN - nothing unread was recorded	Comparison C rests on 17 usable boundary statements over 8 chains. It is a sample of the literature, not a census of it.
X22	CIRCULARITY_CAUTION	Comparison A concordance	Stage 3A was blind to Stage 3B by design, but both describe the same fold core, and the catalytic site is inside the RT core by definition. The size-expected baseline (median 0.309 of modelled residues in the target unit) prices how much of the agreement is structural inevitability.	tables/A_summary.tsv	RECORDED	Site-in-unit concordance is a description, not a validation of either instrument.
