component_id	n_pairs	n_tokens	nll_U	nll_T	nll_R	d_R_minus_T	d_T_minus_U	d_R_minus_U	majority_retron_type	n_retron_types	n_pairs_T3	n_pairs_T4	in_sensitivity_population	median_rt_aa_len
CMP00063	33	5546	1.4262630904232427	1.4060399041380471	1.3562613761343338	-0.049778528003713296	-0.020223186285195593	-0.07000171428890889	TypeIA_IIAI	1	0	0	0	310.0
CMP00060	33	5810	1.4200495577104737	1.4007445159754532	1.4119893505733312	0.01124483459787795	-0.019305041735020456	-0.008060207137142505	TypeIIIA2	1	28	10	1	301.0
CMP00066	32	5255	1.4338005174805617	1.3803173990730555	1.3411871767633876	-0.039130222309667895	-0.05348311840750619	-0.09261334071717409	TypeIA_IIAI	1	0	0	1	313.5
CMP00069	31	4089	1.3748480352978742	1.2956329106876394	1.245157060368949	-0.050475850318690396	-0.07921512461023483	-0.12969097492892523	OutgroupA	2	31	5	0	452.0
CMP00072	30	7859	1.4186743316281492	1.4031498597496141	1.4012807648757408	-0.0018690948738733226	-0.015524471878535007	-0.01739356675240833	TypeIIIA3	2	25	6	0	391.0
CMP00075	29	3377	1.441416045988951	1.4280059606604651	1.4313047509028214	0.003298790242356242	-0.013410085328485755	-0.010111295086129513	TypeIB1	1	8	4	0	316.0
CMP00078	27	3979	1.4183624605043177	1.3951756395146786	1.3962701613892858	0.001094521874607235	-0.02318682098963909	-0.022092299115031855	TypeIB1	1	26	9	0	320.0
CMP00080	26	3332	1.4254720763427442	1.3719085152982091	1.2790383731617647	-0.0928701421364444	-0.05356356104453508	-0.14643370318097948	TypeIC1_IC2	1	8	5	0	578.0
CMP00082	24	4466	1.4038252738682722	1.3796849436574168	1.3532299959120386	-0.026454947745378155	-0.024140330210855376	-0.05059527795623353	Ec107_like	1	20	3	1	297.0
CMP00085	23	3844	1.4235526848037832	1.4583269252241216	1.35940271510542	-0.09892421011870156	0.03477424042033839	-0.06414996969836317	TypeIA_IIAI	1	0	0	0	306.0
CMP00088	22	3965	1.423657796121335	1.3935255360934051	1.3448990349210377	-0.04862650117236744	-0.030132260027929902	-0.07875876120029734	TypeIA_IIAI	1	1	1	1	312.5
CMP00092	20	2503	1.4342594184829767	1.2752006674022422	1.2787326960576995	0.003532028655457209	-0.15905875108073442	-0.1555267224252772	TypeIC1_IC2	1	9	1	0	579.0
CMP00095	19	2523	1.387644782502926	1.3356831384659569	1.3003986916559063	-0.03528444681005061	-0.051961644036969235	-0.08724609084701984	OutgroupA	2	18	4	1	435.0
CMP00098	18	2772	1.436797159918803	1.3041556167052077	1.3097149847561835	0.005559368050975788	-0.13264154321359523	-0.12708217516261944	TypeIA_IIAI	1	0	0	0	310.0
CMP00101	18	2372	1.4293618933949463	1.418089385780476	1.3195681258357597	-0.09852125994471628	-0.011272507614470406	-0.10979376755918668	TypeIC1_IC2	1	18	6	1	581.0
CMP00110	17	1800	1.399968965318468	1.398337983025445	1.3815763176812066	-0.016761665344238397	-0.0016309822930229423	-0.01839264763726134	TypeIB1	1	5	0	1	317.0
CMP00107	17	2758	1.4240174379964252	1.4167093577118695	1.4059880777404652	-0.010721279971404263	-0.007308080284555762	-0.018029360255960025	TypeIIIA2	1	6	2	1	322.0
CMP00104	17	2192	1.3862046777766988	1.2583570549957943	1.2231466822380568	-0.03521037275773753	-0.12784762278090445	-0.16305799553864198	OutgroupA	2	16	3	0	443.0
CMP00113	16	4195	1.4183894488183477	1.400870460264731	1.3918813275779387	-0.008989132686792356	-0.017518988553616666	-0.02650812124040902	TypeIIIA3	1	16	4	0	409.0
CMP00116	15	2566	1.4286712444302447	1.405860330012285	1.3922247288288405	-0.013635601183444424	-0.022810914417959793	-0.03644651560140422	Ec107_like	1	11	0	1	344.0
CMP00118	15	2599	1.425697071270651	1.407381340282245	1.34220590330904	-0.06517543697320494	-0.018315730988405887	-0.08349116796161082	TypeIA_IIAI	2	0	0	1	308.0
CMP00121	14	1771	1.4080073282854628	1.3268744858020716	1.289083074809871	-0.037791410992200625	-0.08113284248339125	-0.11892425347559188	OutgroupA	1	11	5	0	456.0
CMP00124	14	2124	1.4136773951758548	1.3824165329870306	1.3918311914706185	0.009414658483587912	-0.03126086218882418	-0.021846203705236267	TypeIB1	1	13	3	0	357.5
CMP00127	13	3259	1.4126668849873667	1.4081297386054723	1.406258277857951	-0.001871460747521203	-0.004537146381894397	-0.0064086071294156	TypeIIIA3	1	12	3	1	394.0
CMP00130	13	1749	1.3917168453122766	1.3223266252590766	1.2309142036939635	-0.09141242156511309	-0.06939022005319995	-0.16080264161831304	TypeIC1_IC2	1	7	5	1	586.0
CMP00136	12	1963	1.361718907018614	1.3226618404845103	1.3034743213313487	-0.019187519153161636	-0.03905706653410368	-0.058244585687265316	Ec107_like	1	11	6	1	312.0
CMP00133	12	2897	1.4197302157606468	1.4037700175086836	1.3884374890444318	-0.015332528464251816	-0.015960198251963265	-0.03129272671621508	TypeXIIIB_Ne144	1	6	1	1	518.5
CMP00139	11	1414	1.4487630798253515	1.5607341782544255	1.3841436512905267	-0.17659052696389876	0.11197109842907405	-0.06461942853482472	TypeIC1_IC2	1	1	0	1	579.0
CMP00142	11	1425	1.4087384461520012	1.3639412006578948	1.2751159453810308	-0.08882525527686402	-0.04479724549410635	-0.13362250077097038	OutgroupA	1	4	0	1	443.0
CMP00145	10	1257	1.40518950809063	1.3424102249084813	1.348790705156592	0.006380480248110665	-0.06277928318214876	-0.056398802934038095	OutgroupA	1	9	1	1	502.0
CMP00148	10	1279	1.4332518767714035	1.3459143858574814	1.3009837659846255	-0.04493061987285585	-0.08733749091392218	-0.13226811078677803	OutgroupA	1	3	0	1	450.0
CMP00151	10	2191	1.4252143835488218	1.4164981537352737	1.4005416250294171	-0.01595652870585651	-0.008716229813548138	-0.024672758519404647	TypeXIIIB_Ne144	2	0	0	1	475.5
CMP00164	9	2352	1.4190255508941858	1.4015816669074856	1.3920935027453365	-0.009488164162149149	-0.01744388398670016	-0.026932048148849308	TypeIIIA3	1	9	2	1	401.0
CMP00158	9	1458	1.385419073745874	1.3727637501574022	1.3695453282736947	-0.0032184218837074674	-0.012655323588471878	-0.015873745472179346	TypeXIII_Mx65	1	3	1	1	376.0
CMP00155	9	1830	1.3921668214224727	1.3630256360997268	1.3777586890048668	0.014733052905139932	-0.0291411853227459	-0.014408132417605968	TypeIB2	1	8	3	1	353.0
CMP00161	9	1613	1.42608915968704	1.326120649740996	1.3640786612617697	0.037958011520773605	-0.0999685099460439	-0.06201049842527029	TypeV	1	9	3	1	394.0
CMP00168	8	1649	1.3915923369010337	1.398922376013872	1.394519942395249	-0.004402433618623025	0.00733003911283836	0.002927605494215335	TypeIB2	1	8	3	1	351.0
CMP00171	8	1207	1.402084439079329	1.371139185035535	1.369076391439746	-0.002062793595789092	-0.030945254043794	-0.033008047639583094	TypeIIIA1	1	6	1	1	344.0
CMP00174	8	1259	1.428461609613905	1.3794154014920696	1.4276508940317216	0.04823549253965198	-0.049046208121835244	-0.0008107155821832635	TypeIB2	1	7	1	1	370.0
CMP00177	8	1928	1.4158960714379782	1.3973543317486141	1.3897917814769192	-0.0075625502716949455	-0.018541739689364123	-0.02610428996105907	TypeIIIA3	1	7	2	1	395.5
CMP00180	7	941	1.4323078929807884	1.4229201054345029	1.3398076380730688	-0.08311246736143407	-0.009387787546285553	-0.09250025490771963	TypeIC1_IC2	1	2	0	1	601.0
CMP00182	7	1373	1.4040874083894757	1.3764709117025333	1.3833681066281067	0.006897194925573391	-0.027616496686942327	-0.020719301761368936	TypeIB2	1	7	3	1	372.0
CMP00185	7	981	1.4159001341653525	1.3214446368202886	1.3587346285976523	0.037289991777363696	-0.09445549734506398	-0.05716550556770028	Ec107_like	1	1	1	1	522.0
CMP00188	7	891	1.4291144134487233	1.416595219227869	1.3860885500238935	-0.03050666920397549	-0.012519194220854235	-0.043025863424829724	OutgroupA	1	2	0	1	428.0
CMP00191	7	1157	1.4283061114074653	1.3943842671096789	1.4392823241554464	0.04489805704576755	-0.03392184429778644	0.010976212747981107	TypeIB2	1	6	3	0	380.0
CMP00194	7	967	1.4288415918675672	1.3595647486437192	1.3893746471700896	0.029809898526370393	-0.06927684322384797	-0.03946694469747758	TypeIA_IIAI	1	0	0	1	323.0
CMP00197	7	964	1.4079723753869782	1.4003848158966952	1.396338561758461	-0.004046254138234229	-0.007587559490283002	-0.011633813628517231	TypeIX	1	6	4	0	267.0
CMP00200	7	888	1.3529607411977407	1.242508415703301	1.2194547910948057	-0.02305362460849536	-0.11045232549443962	-0.13350595010293498	OutgroupA	1	7	2	0	441.0
CMP00209	6	548	1.4426987641049127	1.4324247819663833	1.4887265393333713	0.05630175736698795	-0.01027398213852937	0.04602777522845858	TypeIV	1	1	1	1	389.0
CMP00212	6	1080	1.4322418919316044	1.345515470151548	1.3137910348397714	-0.03172443531177649	-0.08672642178005652	-0.118450857091833	TypeIA_IIAI	1	0	0	1	317.5
CMP00215	6	729	1.433812124411919	1.4043265971954304	1.3554130313491297	-0.04891356584630069	-0.02948552721648867	-0.07839909306278936	OutgroupA	1	1	0	0	429.5
CMP00206	6	1642	1.4140711237248782	1.3942592681252854	1.3848483867389711	-0.009410881386314296	-0.019811855599592754	-0.02922273698590705	TypeIIIA3	1	6	0	1	382.5
CMP00203	6	975	1.4505853897485979	1.4149885754707532	1.427494866786859	0.012506291316105811	-0.03559681427784467	-0.023090522961738857	TypeIIA2	1	6	1	1	339.0
CMP00232	5	711	1.3844874901107596	1.3974217496676116	1.371617270253714	-0.02580447941389763	0.012934259556852012	-0.012870219857045617	OutgroupA	2	0	0	1	441.0
CMP00244	5	775	1.4191287920551916	1.3975877724924395	1.420624744046119	0.023036971553679564	-0.021541019562752117	0.0014959519909274466	TypeIIIA2	1	0	0	1	331.0
CMP00241	5	644	1.3889858648643731	1.2205375529224087	1.1685295341918187	-0.05200801873059002	-0.1684483119419644	-0.22045633067255443	OutgroupA	1	5	1	0	442.0
CMP00235	5	597	1.43727295842003	1.427101045797019	1.4587049116840713	0.03160386588705233	-0.01017191262301087	0.02143195326404146	TypeIB1	1	5	1	0	318.0
CMP00238	5	694	1.4222496538409581	1.408492096562894	1.3810202079135334	-0.027471888649360565	-0.013757557278064159	-0.041229445927424724	TypeIIIA1	1	5	0	1	347.0
CMP00229	5	834	1.424598016898981	1.448592700546594	1.356060055520037	-0.09253264502655689	0.023994683647613035	-0.06853796137894386	TypeIA_IIAI	1	0	0	1	317.0
CMP00226	5	776	1.4117259192712528	1.4209225644770356	1.4094396964790894	-0.011482867997946178	0.009196645205782783	-0.002286222792163395	TypeIA_IIAI	2	0	0	1	313.0
CMP00223	5	685	1.3716045296105155	1.4577794875541743	1.3765889634181112	-0.08119052413606309	0.08617495794365881	0.004984433807595723	TypeIC1_IC2	1	0	0	1	464.0
CMP00220	5	1202	1.4190457259954112	1.4097055190811538	1.3940968442082207	-0.01560867487293316	-0.00934020691425741	-0.02494888178719057	TypeIIIA3	1	2	1	1	388.0
CMP00218	5	1106	1.401667562143281	1.3480178529487596	1.3278986566967819	-0.020119196251977778	-0.05364970919452139	-0.07376890544649917	TypeXIIIB_Ne144	1	4	2	1	780.0
CMP00268	4	744	1.3999319589266213	1.3705357582338396	1.423017112157678	0.05248135392383846	-0.029396200692781704	0.023085153231056754	TypeIB2	1	4	4	1	396.5
CMP00286	4	530	1.4075659122107165	1.4055537961563973	1.3190878238318102	-0.08646597232458708	-0.0020121160543191685	-0.08847808837890625	OutgroupA	1	2	0	1	489.5
CMP00283	4	904	1.4037855367744918	1.358411299443878	1.311580185341624	-0.046831114102253935	-0.045374237330613854	-0.09220535143286779	TypeXIIIB_Ne144	1	4	0	1	636.5
CMP00280	4	509	1.4227869599647747	1.3540750140057096	1.3330363515318024	-0.021038662473907177	-0.06871194595906505	-0.08975060843297222	OutgroupA	1	0	0	1	480.0
CMP00277	4	541	1.3831668931322927	1.359056934631686	1.2881254241999769	-0.0709315104317092	-0.0241099585006066	-0.0950414689323158	TypeIC1_IC2	1	2	1	1	604.0
CMP00274	4	525	1.399226829892113	1.258216814313616	1.2801736886160715	0.02195687430245541	-0.14101001557849702	-0.11905314127604161	OutgroupA	1	3	1	1	379.5
CMP00271	4	617	1.3976047954837545	1.3807245436904882	1.3747557851831569	-0.005968758507331362	-0.016880251793266243	-0.022849010300597605	TypeXIII_Mx65	1	0	0	1	454.0
CMP00265	4	775	1.4112235776839717	1.358578609343498	1.3595206180695565	0.0009420087260585408	-0.05264496834047372	-0.05170295961441518	Ec107_like	1	4	1	1	349.0
CMP00259	4	560	1.4092070988246372	1.5146028791155135	1.413751574925014	-0.10085130419049948	0.10539578029087626	0.004544476100376782	TypeIC1_IC2	1	0	0	1	592.0
CMP00256	4	687	1.4064437888421693	1.357932144897994	1.3304800508324235	-0.027452094065570476	-0.04851164394417529	-0.07596373800974576	Ec107_like	1	4	0	1	295.0
CMP00253	4	516	1.3733547713405403	1.3398994918941527	1.3684318601623062	0.02853236826815353	-0.0334552794463876	-0.004922911178234068	TypeIIIA1	1	0	0	1	335.0
CMP00250	4	678	1.4286880718219948	1.4185914796362233	1.4084923443189412	-0.010099135317282126	-0.010096592185771414	-0.02019572750305354	TypeIB1	1	0	0	1	322.0
CMP00247	4	665	1.3916354989646968	1.3803989725901669	1.4031593035934562	0.022760331003289336	-0.011236526374529987	0.011523804628759349	TypeIB2	1	4	1	0	361.5
CMP00262	4	594	1.4148286761659565	1.2395985664341989	1.3169595223885995	0.07736095595440062	-0.17523010973175768	-0.09786915377735705	TypeIA_IIAI	1	3	2	0	316.0
CMP00326	3	458	1.382973516872356	1.3821625688711108	1.3678525566534183	-0.014310012217692458	-0.0008109480012452597	-0.015120960218937718	TypeIB2_firmi	1	1	0	1	344.0
CMP00341	3	712	1.4176566734742582	1.3986093756857882	1.3769884859577994	-0.021620889727988812	-0.01904729778846992	-0.04066818751645873	TypeXIIIA_firmi	1	0	0	1	464.0
CMP00332	3	394	1.457379413740284	1.4395368547003886	1.3434711979125358	-0.09606565678785284	-0.0178425590398954	-0.11390821582774824	OutgroupA	1	3	1	1	423.0
CMP00335	3	663	1.4240035435373068	1.3851488208339224	1.3643507000907333	-0.020798120743189097	-0.038854722703384414	-0.05965284344657351	TypeXIIIB_Ne144	1	1	0	1	619.0
CMP00338	3	392	1.3819169803541533	1.268262512829839	1.1819032163036114	-0.08635929652622765	-0.1136544675243143	-0.20001376405054194	OutgroupA	1	3	1	0	474.0
CMP00353	3	388	1.4338998696238725	1.3567575277741422	1.3284848006730228	-0.028272727101119388	-0.07714234184973034	-0.10541506895084973	TypeIC1_IC2	1	3	0	1	575.0
CMP00344	3	462	1.4124856924081777	1.3988394799170556	1.350453166218547	-0.04838631369850854	-0.013646212491122078	-0.06203252618963062	TypeIA_IIAI	1	0	0	1	309.0
CMP00347	3	378	1.4218154584289229	1.5976099084924769	1.3695412287636408	-0.22806867972883604	0.175794450063554	-0.05227422966528206	TypeIC1_IC2	1	3	0	0	633.0
CMP00350	3	470	1.4328113312416888	1.392768340415143	1.4087103985725564	0.015942058157413452	-0.04004299082654583	-0.02410093266913238	TypeIA_IIAI	1	0	0	1	316.0
CMP00356	3	479	1.3688112071760015	1.367081325586753	1.406712064165661	0.039630738578907865	-0.001729881589248361	0.037900856989659504	TypeIB2_firmi	1	3	1	1	327.0
CMP00329	3	389	1.3674141851979233	1.2870161355614356	1.2357328360981683	-0.05128329946326726	-0.08039804963648778	-0.13168134909975504	OutgroupA	1	3	0	1	393.0
CMP00317	3	818	1.4274121869747096	1.4198700175017192	1.3977008623715426	-0.022169155130176588	-0.007542169472990468	-0.029711324603167055	TypeIIIA3	1	3	0	1	397.0
CMP00323	3	384	1.3774745464324951	1.2789347966512044	1.238248626391093	-0.04068617026011134	-0.09853974978129076	-0.1392259200414021	OutgroupA	1	2	0	1	437.0
CMP00302	3	397	1.4351228959013893	1.4177508606418254	1.3986380935015545	-0.01911276714027088	-0.01737203525956388	-0.03648480239983476	OutgroupA	1	1	0	1	452.0
CMP00320	3	282	1.433156872472019	1.4375241868039395	1.4707684888907357	0.033244302086796296	0.004367314331920502	0.0376116164187168	TypeIV	1	3	3	1	402.0
CMP00290	3	453	1.4209980743610306	1.3804934335333885	1.386902865984582	0.006409432451193409	-0.04050464082764216	-0.03409520837644875	TypeIA_IIAI	1	0	0	1	316.0
CMP00296	3	867	1.4200258529997476	1.3936767578125	1.3879701466983851	-0.005706611114114857	-0.026349095187247595	-0.03205570630136245	TypeIIIA3	1	0	0	1	356.0
CMP00299	3	387	1.3674652730463703	1.1476675028640786	1.1900980552653626	0.042430552401284016	-0.21979777018229174	-0.17736721778100772	OutgroupA	1	3	1	1	442.0
CMP00293	3	440	1.4296086398037997	1.5235596743496982	1.4161863500421696	-0.10737332430752855	0.09395103454589848	-0.013422289761630068	Ec107_like	1	2	0	1	372.0
CMP00305	3	389	1.4457407267357205	1.4257737971210234	1.3457015167471682	-0.08007228037385516	-0.01996692961469715	-0.10003920998855231	OutgroupA	1	3	0	1	443.0
CMP00308	3	655	1.4196301176347805	1.3562151493916985	1.3211191890803913	-0.03509596031130724	-0.06341496824308201	-0.09851092855438925	TypeXIIIB_Ne144	1	3	0	1	530.0
CMP00311	3	458	1.3689550874535172	1.3956398776524972	1.2851130722912119	-0.11052680536128534	0.026684790198979957	-0.08384201516230538	TypeIC1_IC2	1	2	0	0	613.0
CMP00314	3	378	1.4181594848632812	1.3533354663344288	1.4096188015407987	0.056283335206369856	-0.06482401852885245	-0.00854068332248259	Ec107_like	1	3	0	1	308.0
CMP00461	2	342	1.4219841315732364	1.425044009560033	1.3985686720463268	-0.02647533751370612	0.003059877986796522	-0.0234154595269096	TypeXIII_Mx65	1	0	0	1	445.5
CMP00437	2	401	1.3849998721458074	1.3638600565846126	1.3570958848606025	-0.006764171724010115	-0.02113981556119482	-0.027903987285204934	TypeIIIA2	1	2	0	1	338.5
CMP00440	2	402	1.4302595148039101	1.440337299707517	1.3989282105099503	-0.041409089197566695	0.01007778490360689	-0.031331304293959805	TypeXIIIA_firmi	1	2	0	1	876.0
CMP00443	2	288	1.4285817676120334	1.4087672763400607	1.419194433424208	0.01042715708414721	-0.019814491271972656	-0.009387334187825447	TypeIIA3_proteo	1	0	0	1	337.0
CMP00446	2	480	1.424965222676595	1.4146658579508464	1.4103750228881835	-0.004290835062662923	-0.01029936472574855	-0.014590199788411473	TypeIIIA3	1	2	0	1	382.0
CMP00434	2	285	1.4344986765008223	1.4343662195038378	1.319768644634046	-0.11459757486979183	-0.00013245699698449798	-0.11473003186677633	TypeIC1_IC2	1	0	0	0	572.5
CMP00449	2	261	1.4437196811953723	1.3711321600552262	1.291296772573186	-0.07983538748204011	-0.0725875211401461	-0.15242290862218622	OutgroupA	1	2	0	0	445.0
CMP00452	2	260	1.381651364839994	1.3073840801532453	1.1954635033240686	-0.11192057682917667	-0.0742672846867487	-0.18618786151592537	OutgroupA	1	2	0	1	445.0
CMP00455	2	275	1.3971558726917614	1.388825850053267	1.371911954012784	-0.0169138960404831	-0.008330022638494361	-0.02524391867897746	TypeIIA3_proteo	1	2	0	1	318.5
CMP00458	2	235	1.4404053383685174	1.440618896484375	1.4457579917096077	0.005139095225232815	0.00021355811585754836	0.005352653341090363	TypeIIIA3	2	0	0	1	463.5
CMP00479	2	259	1.3861653095967061	1.3538522020730273	1.3010596198004645	-0.05279258227256278	-0.032313107523678886	-0.08510568979624167	OutgroupA	1	0	0	1	190.5
CMP00464	2	308	1.3747992577490868	1.3642396803026076	1.289432228385628	-0.07480745191697946	-0.010559577446479285	-0.08536702936345875	TypeIB2_firmi	1	2	0	1	392.0
CMP00467	2	315	1.4150938488188245	1.3725658113994295	1.4307423909505208	0.058176579551091345	-0.04252803741939504	0.015648542131696308	TypeIIIA2	1	1	0	1	369.5
CMP00470	2	262	1.4030607966066317	1.2585601806640625	1.2088001047381918	-0.04976007592587073	-0.14450061594256924	-0.19426069186843997	OutgroupA	1	1	0	1	240.0
CMP00473	2	260	1.4226407564603365	1.4066891009990985	1.396822239802434	-0.009866861196664578	-0.015951655461238	-0.02581851665790258	TypeIX	1	1	0	1	320.5
CMP00476	2	276	1.4335572615913723	1.4060820427493772	1.4122868966365205	0.006204853887143313	-0.027475218841995108	-0.021270364954851795	TypeIX	1	2	1	1	320.0
CMP00482	2	311	1.3921632920047478	1.5327339295022357	1.3636422601926748	-0.169091669309561	0.140570637497488	-0.028521031812072994	TypeIA_IIAI	1	0	0	1	283.5
CMP00485	2	289	1.4279255586511947	1.4077471036812013	1.4008995504940258	-0.006847553187175448	-0.020178454969993487	-0.027026008157168935	TypeIX	1	2	0	1	320.0
CMP00488	2	268	1.421367132841651	1.2520421725600512	1.3196100832811042	0.06756791072105295	-0.16932496028159982	-0.10175704956054688	TypeIC1_IC2	1	0	0	1	552.0
CMP00491	2	286	1.440086738212959	1.5035901369748417	1.3227547065361396	-0.1808354304387021	0.06350339876188271	-0.11733203167681938	TypeIC1_IC2	1	0	0	1	570.5
CMP00428	2	272	1.378863390754251	1.398103489595301	1.2869688482845532	-0.1111346413107479	0.019240098841050157	-0.09189454246969775	OutgroupA	1	2	0	1	442.5
CMP00431	2	262	1.3952358915605618	1.3164317589679748	1.2800956900793177	-0.03633606888865715	-0.078804132592587	-0.11514020148124415	OutgroupA	1	1	0	1	385.5
CMP00392	2	280	1.3774039132254465	1.281670924595424	1.2541314806256976	-0.027539443969726518	-0.09573298863002244	-0.12327243259974896	TypeIC1_IC2	1	0	0	1	559.0
CMP00425	2	290	1.453942239695582	1.430524365655307	1.4584941995554956	0.02796983390018859	-0.023417874040274844	0.004551959859913746	TypeIIIA1	1	0	0	0	310.5
CMP00389	2	261	1.4152933756510417	1.3090476551275143	1.2568628303849378	-0.05218482474257646	-0.10624572052352743	-0.1584305452661039	OutgroupA	1	1	0	1	452.5
CMP00422	2	258	1.3670120830683745	1.366182844768199	1.3139965441799903	-0.05218630058820861	-0.000829238300175561	-0.05301553888838417	OutgroupA	1	0	0	0	309.0
CMP00359	2	169	1.4261719291732156	1.4049526417749167	1.5378924939759384	0.13293985220102167	-0.021219287398298814	0.11172056480272285	TypeIX	2	0	0	0	401.5
CMP00362	2	310	1.430739470451109	1.4009129678049395	1.4014937862273185	0.0005808184223790036	-0.029826502646169484	-0.02924568422379048	TypeIB1	1	0	0	0	316.0
CMP00365	2	259	1.4304860236561896	1.3103032056889479	1.297119258453487	-0.013183947235460902	-0.12018281796724173	-0.13336676520270263	OutgroupA	1	0	0	1	457.0
CMP00368	2	260	1.3978252704326923	1.2349214407113882	1.2065293532151442	-0.028392087496244	-0.16290382972130413	-0.19129591721754813	TypeIC1_IC2	1	2	2	1	569.0
CMP00371	2	514	1.3799240171677407	1.3686450409054292	1.3773374446171267	0.00869240371169755	-0.011278976262311557	-0.002586572550614008	TypeIIIA3	1	1	0	1	293.0
CMP00374	2	308	1.4357180905032467	1.402174912489854	1.3772887688178521	-0.024886143672001815	-0.033543178013392794	-0.05842932168539461	TypeXIII_Mx65	1	2	0	1	404.5
CMP00380	2	406	1.4250091402401477	1.4460731844596675	1.4293749579067887	-0.01669822655287878	0.021064044219519795	0.004365817666641014	TypeIIIA2	1	2	1	1	321.0
CMP00383	2	428	1.420861787885149	1.4425672014182973	1.4130353838483865	-0.029531817569910856	0.021705413533148255	-0.007826404036762602	TypeIIIA2	1	2	0	1	343.0
CMP00386	2	265	1.4317963798091096	1.2981543774874704	1.26082366367556	-0.03733071381191033	-0.13364200232163914	-0.17097271613354947	OutgroupA	1	2	0	1	459.0
CMP00377	2	198	1.456838511457347	1.4288574372879181	1.447342766655816	0.01848532936789793	-0.027981074169428855	-0.009495744801530925	TypeIV	1	1	0	1	393.5
CMP00416	2	265	1.4024343238686616	1.3755124074108196	1.3678523801407725	-0.0076600272700471095	-0.026921916457842032	-0.03458194372788914	TypeIIIA1	1	2	0	0	340.0
CMP00398	2	446	1.412791025478209	1.3956178400014014	1.3815067445216158	-0.014111095479785618	-0.017173185476807573	-0.03128428095659319	TypeXIIIB_Ne144	1	2	0	1	797.0
CMP00401	2	383	1.404945353615066	1.4068194755374919	1.3570010830154617	-0.04981839252203013	0.0018741219224258643	-0.047944270599604266	TypeV	1	1	0	1	392.5
CMP00404	2	252	1.3851558745853485	1.2830258929540241	1.1936784169030568	-0.08934747605096738	-0.10212998163132436	-0.19147745768229174	OutgroupA	1	2	0	0	438.0
