family	in_RVT_All_hmm	in_List_file	has_fst	has_sto	hmm_model_length	hmm_NSEQ	fasta_records	fasta_unique_aa	duplicates_within_family	NSEQ_equals_fasta_records	len_min	len_median	len_max	n_seeds_contained_in_RTs_collection	n_in_RTs_collection_same_label	what_the_sequences_are	unit	stratum	denominator
RVT-UG19	YES	YES	YES	YES	166	16	16	16	0	YES	133	162	228	16	20	RT-domain fragment excised at the Pfam RVT_1 hit coordinates by buildRVT.sh	myRT family seed set	family	45 canonical models in RVT-All.hmm
RVT-UG2	YES	YES	YES	YES	271	22	22	22	0	YES	218	267	283	13	22	RT-domain fragment excised at the Pfam RVT_1 hit coordinates by buildRVT.sh	myRT family seed set	family	45 canonical models in RVT-All.hmm
RVT-UG20	YES	YES	YES	YES	167	8	8	8	0	YES	143	159	203	5	5	RT-domain fragment excised at the Pfam RVT_1 hit coordinates by buildRVT.sh	myRT family seed set	family	45 canonical models in RVT-All.hmm
RVT-UG21	YES	YES	YES	YES	141	15	15	15	0	YES	127	134	209	15	23	RT-domain fragment excised at the Pfam RVT_1 hit coordinates by buildRVT.sh	myRT family seed set	family	45 canonical models in RVT-All.hmm
RVT-UG22	YES	YES	YES	YES	176	11	11	11	0	YES	129	173	202	11	11	RT-domain fragment excised at the Pfam RVT_1 hit coordinates by buildRVT.sh	myRT family seed set	family	45 canonical models in RVT-All.hmm
RVT-UG23	YES	YES	YES	YES	200	12	12	12	0	YES	160	198	204	6	9	RT-domain fragment excised at the Pfam RVT_1 hit coordinates by buildRVT.sh	myRT family seed set	family	45 canonical models in RVT-All.hmm
RVT-UG24	YES	YES	YES	YES	153	11	11	11	0	YES	90	147	163	2	5	RT-domain fragment excised at the Pfam RVT_1 hit coordinates by buildRVT.sh	myRT family seed set	family	45 canonical models in RVT-All.hmm
RVT-UG25	YES	YES	YES	YES	139	25	25	25	0	YES	127	136	161	23	28	RT-domain fragment excised at the Pfam RVT_1 hit coordinates by buildRVT.sh	myRT family seed set	family	45 canonical models in RVT-All.hmm
RVT-UG26	YES	YES	YES	YES	207	16	16	16	0	YES	179	207	213	16	20	RT-domain fragment excised at the Pfam RVT_1 hit coordinates by buildRVT.sh	myRT family seed set	family	45 canonical models in RVT-All.hmm
RVT-UG27	YES	YES	YES	YES	213	9	9	9	0	YES	212	213	216	9	10	RT-domain fragment excised at the Pfam RVT_1 hit coordinates by buildRVT.sh	myRT family seed set	family	45 canonical models in RVT-All.hmm
RVT-UG28	YES	YES	YES	YES	215	18	18	18	0	YES	193	214	230	16	37	RT-domain fragment excised at the Pfam RVT_1 hit coordinates by buildRVT.sh	myRT family seed set	family	45 canonical models in RVT-All.hmm
RVT-UG28b	YES	YES	YES	YES	242	15	15	15	0	YES	213	242	252	15	15	RT-domain fragment excised at the Pfam RVT_1 hit coordinates by buildRVT.sh	myRT family seed set	family	45 canonical models in RVT-All.hmm
RVT-UG3	YES	YES	YES	YES	164	77	77	77	0	YES	96	154	205	77	86	RT-domain fragment excised at the Pfam RVT_1 hit coordinates by buildRVT.sh	myRT family seed set	family	45 canonical models in RVT-All.hmm
RVT-UG4	YES	YES	YES	YES	154	41	41	41	0	YES	138	152	189	38	47	RT-domain fragment excised at the Pfam RVT_1 hit coordinates by buildRVT.sh	myRT family seed set	family	45 canonical models in RVT-All.hmm
RVT-UG5	YES	YES	YES	YES	180	57	57	57	0	YES	72	140	220	56	67	RT-domain fragment excised at the Pfam RVT_1 hit coordinates by buildRVT.sh	myRT family seed set	family	45 canonical models in RVT-All.hmm
RVT-UG6	YES	YES	YES	YES	147	8	8	8	0	YES	112	125	160	7	14	RT-domain fragment excised at the Pfam RVT_1 hit coordinates by buildRVT.sh	myRT family seed set	family	45 canonical models in RVT-All.hmm
RVT-UG7	YES	YES	YES	YES	143	70	70	70	0	YES	126	140	209	67	77	RT-domain fragment excised at the Pfam RVT_1 hit coordinates by buildRVT.sh	myRT family seed set	family	45 canonical models in RVT-All.hmm
RVT-UG8	YES	YES	YES	YES	152	75	75	75	0	YES	135	151	191	75	83	RT-domain fragment excised at the Pfam RVT_1 hit coordinates by buildRVT.sh	myRT family seed set	family	45 canonical models in RVT-All.hmm
RVT-UG9	YES	YES	YES	YES	213	16	16	16	0	YES	135	208	227	16	17	RT-domain fragment excised at the Pfam RVT_1 hit coordinates by buildRVT.sh	myRT family seed set	family	45 canonical models in RVT-All.hmm
RVT-test	NO	NO	YES	NO			21	21	0	n/a	165	204	210	19	0	RT-domain fragment excised at the Pfam RVT_1 hit coordinates by buildRVT.sh	myRT family seed set	family	45 canonical models in RVT-All.hmm
