asset_id	path	kind	sha256	bytes	mtime	n_seqs	includes_substitutes	full_or_extract	interval_definition	producer	command	notes
B04	/home/borg/RESEARCH-in-sleep-RETRON-DB_V4/ARIS_OUTPUT/rt0_rt7_domain_test/cache/projected_coordinates.tsv.gz	per-sequence block coordinates	27fa098bf331cbbf0bf3d74d116e05ee2b5edf33dac231a33ccb8f02fb6680fb	518723	2026-08-16T21:39:07	2668 seqs (1926 Mestre terminals)	Y (112)	coordinates	per sequence x 29 Toro-frame blocks: start_res/end_res in own protein numbering (MAP->RF chain)	V4 s14_per_sequence_coordinates.py	python s14_per_sequence_coordinates.py	77,372 rows / 2,668 seqs (55,854 Mestre rows); gives residue boundaries of blocks 1..29 = usable RT0/RT7 cut coordinates in Toro frame
B05	/home/borg/RESEARCH-in-sleep-RETRON-DB_V4/ARIS_OUTPUT/rt0_rt7_domain_test/tables/rt0_rt7_frame.tsv	frame definition table	1e536c8ac820b5798e386db4aa94e44038773e7016f0e5b7829277c73dc9697f	2807	2026-08-16T18:56:57		NA	NA	29 occupancy>=0.5 width>=4 blocks with RT intervals (RT0-RT1 = blocks 1-3; RT7 = block 29) + LtrA P0A3U0/Ec86 coords	V4 s07 + s11_canonical_rt_numbering.py	python s11_canonical_rt_numbering.py	4 blocks motif-anchored (RPL, PQGG, YADD, FLG), 25 order_interpolated
B06	/home/borg/RESEARCH-in-sleep-RETRON-DB_V4/ARIS_OUTPUT/rt0_rt7_domain_test/tables/mestre_in_toro_frame_occupancy.tsv	result table	746aec947d5496692091807576b74c06937d18469a91ce971cc3910e995444f9	1279	2026-08-16T17:08:05		NA	NA	per-block Mestre-1926 vs Toro-742 occupancy	V4 s09_mestre_in_toro_frame.py	python s09_mestre_in_toro_frame.py	blocks 1-2: 0.166/0.208 vs 0.696/0.716
B07	/home/borg/RESEARCH-in-sleep-RETRON-DB_V4/ARIS_OUTPUT/rt0_rt7_domain_test/tables/absence_vs_nonalignability.tsv	result table	42940ea830a6a5da2ca3d2be7b383a381dcdaac897092320f14b9909397a3c37	573	2026-08-16T17:23:34		NA	NA	upstream-of-col68 residues (Mestre) + Table S1 flank mass	V4 s10_absence_vs_nonalignability.py	python s10_absence_vs_nonalignability.py	verdict: non-alignable, not absent
B08	/home/borg/RESEARCH-in-sleep-RETRON-DB_V4/ARIS_OUTPUT/rt0_rt7_domain_test/cache/nterm/mestre_nterm_ext.faa	extract (N-terminal, pre-RT0)	cd0895b39527efe7bf10fc39008b73bd2df8ca1f4e9a08363e34742643e2a152	167726	2026-08-16T22:07:15	1319	Y (79)	extract	residues upstream of projected column of toro742 state 68 (= Toro col 68 = block-1 start), len>=30; median start anchor-214, end anchor-161	V4 s17_verify_trackD_extensions.py	python s17_verify_trackD_extensions.py (MIN_LEN=30; mmseqs easy-cluster 0.30/c0.5)	1319 terminals incl. 79 substitutes; N-terminal EXTENSION, not RT0-RT7 body
B09	/home/borg/RESEARCH-in-sleep-RETRON-DB_V4/ARIS_OUTPUT/rt0_rt7_domain_test/cache/a9_ibex/nterm.faa	extract (N-terminal)	cd0895b39527efe7bf10fc39008b73bd2df8ca1f4e9a08363e34742643e2a152	167726	2026-08-17T00:01:41	1319	Y (79)	extract	identical content to B08	V4 A9 (InterProScan staging)	copy of B08	
B10	/home/borg/RESEARCH-in-sleep-RETRON-DB_V4/ARIS_OUTPUT/rt0_rt7_domain_test/cache/frameR/frameR.afa	de novo MSA (pre-trim)	0ad6b507724f1c6b3ff30f84c3a2d22f969cf63a846f8ac4607c34c89b5a713a	8575911	2026-08-17T00:54:23	1642 (1540 Mestre terminals)	Y (89)	full-length (Mestre) + Toro retron extracts	no interval; MAFFT of 102 ungapped Toro retron extracts + 1540 full-length Mestre (every 5th held out)	V4 s20_build_frame_R.py	mafft --auto --quiet --thread 8 frameR_seed.faa; hmmbuild --amino --informat afa -n FRAME_R	5088 cols; FRAME_R.hmm 446 states; boundaries mapped back to Frame U
B11	/home/borg/RESEARCH-in-sleep-RETRON-DB_V4/ARIS_OUTPUT/rt0_rt7_domain_test/cache/frameR/frameR.hmm	HMM	c7aece0daa5b9c35a142b9f6c547e3d6aad882ede07e2dd17c49a0dcbe8adf52	208404	2026-08-17T00:54:23		NA	NA	446 states, Mestre-derived retron frame	V4 s20	see B10	not a reporting frame
B12	/home/borg/RESEARCH-in-sleep-RETRON-DB_V4/ARIS_OUTPUT/rt0_rt7_domain_test/scripts/s07_frame_blocks_and_anchors.py	script (frame logic)	7a99d09966960b2903ecdcedf5ad2377353732e86ea7ef85203749d8cb830600	6553	2026-08-16T17:04:48		NA	NA	occupancy>=0.5 blocks, width>=4; motif anchors	V4		
B13	/home/borg/RESEARCH-in-sleep-RETRON-DB_V4/ARIS_OUTPUT/rt0_rt7_domain_test/scripts/s09_mestre_in_toro_frame.py	script (projection readout)	bddf48ff878d913816c994cd6a591cd67f9e32d68688677fa5729049d19464f8	6151	2026-08-16T17:07:35		NA	NA	MAP->RF chain; blocks 1-2 control, 12-18 core, 25-29 C-term	V4		
B14	/home/borg/RESEARCH-in-sleep-RETRON-DB_V4/ARIS_OUTPUT/rt0_rt7_domain_test/scripts/s10_absence_vs_nonalignability.py	script	4529d374d34a5138e585bdfff872332f3cb5980d625c794e5b6fda859a8c819d	8546	2026-08-16T17:23:32		NA	NA	boundary = first state at/after Toro col 68	V4		
B15	/home/borg/RESEARCH-in-sleep-RETRON-DB_V4/ARIS_OUTPUT/rt0_rt7_domain_test/scripts/s14_per_sequence_coordinates.py	script (per-seq coordinates)	4a1489994829528c3f0637c92e896570ae5cf726738a6d708e4c98a84fd5bf65	6753	2026-08-16T21:39:05		NA	NA		V4		
B16	/home/borg/RESEARCH-in-sleep-RETRON-DB_V4/ARIS_OUTPUT/rt0_rt7_domain_test/scripts/s20_build_frame_R.py	script	9e06c4444e16dded7cc0421f3f51990a8b84cbd7bce6bfed5e34495ee6ac4ba8	7958	2026-08-17T00:54:04		NA	NA		V4		
B17	/home/borg/RESEARCH-in-sleep-RETRON-DB_V4/ARIS_OUTPUT/rt0_rt7_domain_test/cache/toro742_rt_class.tsv	join table	33dded0f386c1e0fe09b0a48e96eaabc7d0aab6f6a3db39f9d10984a74b0dc96	109590	2026-08-16T16:59:05		NA	NA	Toro header -> Table S1 key/class	V4 s05 (A1)		723/742 joined
C01	/home/borg/RESEARCH-in-sleep-RETRON-DB_V4/ARIS_OUTPUT/rt0_rt7_domain_test_v4_and_tree/cache/mestre_toro.faa	anchor-window extract	f65e2c6f57c4ec0d685d41e311c63e04d6ce60e8dc4393826de7a8d87de55723	481063	2026-08-21T15:33:09	1843	Y (91)	extract	protein[a-197 : a+57] (inclusive), a = first [YFWH].DD match (0-based Y); clipped at protein ends	V4 rt0_rt7_domain_test_v4_and_tree (G67/G74; producer script not found locally)	inferred & VERIFIED here: 1843/1843 identical from mestre_1926_proteins.faa	'toro' window derived from G55 median offsets vs 80 Toro retron spans; direct Toro-retron median is anchor-174..+55. 83 of 1926 lack [YFWH].DD -> excluded
C02	/home/borg/RESEARCH-in-sleep-RETRON-DB_V4/ARIS_OUTPUT/rt0_rt7_domain_test_v4_and_tree/cache/mestre_narrow.faa	anchor-window extract	e4168852a5019d528a43cbaf2ff3891b249b814cae145d68bf683ca4fd0ae35a	448809	2026-08-21T15:33:09	1843	Y (91)	extract	protein[a-150 : a+80]	as C01	VERIFIED 1843/1843	
C03	/home/borg/RESEARCH-in-sleep-RETRON-DB_V4/ARIS_OUTPUT/rt0_rt7_domain_test_v4_and_tree/cache/mestre_ours.faa	anchor-window extract	571bf698b3556c2f5a9c8e44bfc01ba851d30334581d12474acc899178802c29	610787	2026-08-21T15:33:09	1843	Y (91)	extract (144 whole proteins shorter than window)	protein[a-220 : a+120] (project span17-like window)	as C01 (s4a_build_tipset.py LO,HI)	VERIFIED 1843/1843	
C04	/home/borg/RESEARCH-in-sleep-RETRON-DB_V4/ARIS_OUTPUT/rt0_rt7_domain_test_v4_and_tree/cache/mestre_wide.faa	anchor-window extract	0b92812804cd697ab7024bc573fc4920d5834c4d6d77f2a4c8fa9476b58ea194	665784	2026-08-21T15:33:09	1843	Y (91)	extract (969 whole proteins)	protein[a-260 : a+160]	as C01	VERIFIED 1843/1843	
C05	/home/borg/RESEARCH-in-sleep-RETRON-DB_V4/ARIS_OUTPUT/rt0_rt7_domain_test_v4_and_tree/cache/mestre_tofold.faa	protein_set	6ec9d267641a37e732099503798a494240feba7a5dd99e56e7642184bd8eb443	821959	2026-08-23T17:37:48	1919	Y (105)	full-length	none	V4 s5a_fold_esmfold.py input		1919 terminals
C06	/home/borg/RESEARCH-in-sleep-RETRON-DB_V4/ARIS_OUTPUT/rt0_rt7_domain_test_v4_and_tree/cache/fm/mestre_span	structure set (PDB)	manifest:d052954862d2ddc30d97fc72d523de565b8bfe40ed213a47f2066e559fb46c68	391498677 (1902 files)	2026-08-24T01:52:56	1902	Y (90)	extract (structure sliced)	ESMFold full-length models sliced to a-220..a+120 ([LIV].DD fallback for 59)	V4 s6g_span_pdbs.py	python s6g_span_pdbs.py	1902 PDBs; 90 substitutes; 144 whole-length
C07	/home/borg/RESEARCH-in-sleep-RETRON-DB_V4/ARIS_OUTPUT/rt0_rt7_domain_test_v4_and_tree/cache/mestre_trees	IQ-TREE outputs	manifest:adc3adf905a38ddd6341eaab2e8c03caf9ae2c3debdbc950e3c62df1e2c3ecf8	8339866 (12 files)	2026-08-22T22:58:56		NA	NA	trees on occ50-trimmed MAFFT alignments of C01-C04 windows (input out/*_occ50.afa)	V4 G67/G74 Ibex runs	mafft --auto (ours also FFT-NS-i, L-INS-i) -> drop cols >50% gaps -> IQ-TREE 3.1.3 MFP (LG+F+R10) UFBoot1000	alignments themselves IBEX_UNINSPECTED (not local); sites: toro 231, narrow 219, ours 297, wide 295, fftnsi 290, linsi 303
C08	/home/borg/RESEARCH-in-sleep-RETRON-DB_V4/ARIS_OUTPUT/rt0_rt7_domain_test_v4_and_tree/scripts/s7h_mestre_frames.py	script (tree comparison)	fb8ba77544183594d0c8da086938a20b976adf0b92e439497710d126ce54c12c	2879	2026-08-22T14:41:36		NA	NA	documents ours -220..+120, toro -197..+57	V4		does not write the windows
C09	/home/borg/RESEARCH-in-sleep-RETRON-DB_V4/ARIS_OUTPUT/rt0_rt7_domain_test_v4_and_tree/scripts/s5g_E3_fidelity.py	script (Toro-span measurement)	21fb973822a6467f2f07ccbffd1f5b9967c279dfbf6d9bebae6c99f44f070751	4158	2026-08-20T16:22:28		NA	NA	Toro retron spans matched verbatim in our proteins; anchor [YFWH].DD	V4 G55		basis of the -197..+57 'toro' window
C10	/home/borg/RESEARCH-in-sleep-RETRON-DB_V4/ARIS_OUTPUT/rt0_rt7_domain_test_v4_and_tree/tables/s5g_E3_fidelity.tsv	table	fcb4a74897ae6ab54f54321cc7c96934cc15cd1b26eac3f43c4491d2fbc8cde4	3726	2026-08-24T12:13:34		NA	NA	per-protein Toro span start/end vs our window	V4 s5g		80 retron spans
D01	/home/borg/RESEARCH-in-sleep-RETRON-DB_V4/ARIS_OUTPUT/s5_admission/cache/mestre_ref.mafft.faa	de novo MSA (pre-trim)	6b496183c64b11f582ebed3d6f4dda14feda5f5c0dd7bde23198f7cd2e2eea22	11952838	2026-08-25T23:52:33	1926	Y (112)	full-length aligned	none	V4 s5_admission p5_build_toro_profile.py	mafft --auto --anysymbol --thread 24 mestre_1928_proteins.faa	6056 cols
D02	/home/borg/RESEARCH-in-sleep-RETRON-DB_V4/ARIS_OUTPUT/s5_admission/cache/mestre_ref.trim50.faa	trimmed MSA	a2a740541bca222f5c1f39633a88cecb8e04d8e7efdb4db58557a978bd816886	693442	2026-08-25T23:52:33	1926	Y (112)	column-trimmed (not contiguous extract)	keep cols with <=50% gaps (Toro 2026 rule) -> 310 cols	p5_build_toro_profile.py	python p5_build_toro_profile.py	Toro 2026 states 203 positions 'RT1-RT7 core'; this gives 310
D03	/home/borg/RESEARCH-in-sleep-RETRON-DB_V4/ARIS_OUTPUT/s5_admission/cache/toro_recon_RT1_RT7.hmm	HMM	d193d2fae0252341593a1b5fb95a304e8155e8d29e26da3e97e6e35a8ff4a320	137269	2026-08-25T23:52:33		NA	NA	LENG 293 from D02	p5	hmmbuild --amino -n toro_recon_RT1_RT7	
D04	/home/borg/RESEARCH-in-sleep-RETRON-DB_V4/ARIS_OUTPUT/s5_admission/scripts/p5_build_toro_profile.py	script	93a35d8e843e333e0aead78935ad0c6e66d51978336a8fb02c2d1050e7f9daee	5332	2026-08-25T23:51:00		NA	NA		V4		
E01	/home/borg/RESEARCH-in-sleep-RETRON-DB_V4/ARIS_OUTPUT/stage0_positioning/cache/refbuild/mestre_ref.aln	de novo MSA (pre-trim)	bffc609cdb6c29ce0ae99474122b867a3c2554f663946b4d170ea4c65a9e6e5a	12173140	2026-08-07T17:05:47	1926	Y (112)	full-length aligned	none	V4 stage0 Stage D measurement	mafft --auto (7.62 s, MEASUREMENTS.txt)	6202 cols
E02	/home/borg/RESEARCH-in-sleep-RETRON-DB_V4/ARIS_OUTPUT/stage0_positioning/cache/refbuild/ref_gappyout.aln	trimmed MSA	21f4896e33a40ca329e772945b777a70b1c4d3c7bd8f9d155c31509b2d4cae1b	541745	2026-08-07T17:12:17	1925	Y (111)	column-trimmed	trimal -gappyout -> 262 cols	stage0	trimal -gappyout	drops 1 seq (1925)
E03	/home/borg/RESEARCH-in-sleep-RETRON-DB_V4/ARIS_OUTPUT/stage0_positioning/cache/refbuild/ref_automated1.aln	trimmed MSA	41778a2e805a3f51b192f8eb84dc2a4d3a25b6ce811d9d46735dffd23914de99	152895	2026-08-07T17:12:42	1925	Y (111)	column-trimmed	trimal -automated1 -> 63 cols	stage0	trimal -automated1	
E04	/home/borg/RESEARCH-in-sleep-RETRON-DB_V4/ARIS_OUTPUT/stage0_positioning/cache/refbuild/mestre_ref.faa	protein_set	e32cd39c629420d7b19186b8276f59c69fe8305e6439984e7487da494d2f66cb	837825	2026-08-07T17:05:39	1926	Y (112)	full-length	none	stage0		
E05	/home/borg/RESEARCH-in-sleep-RETRON-DB_V4/ARIS_OUTPUT/stage0_positioning/cache/refbuild/MEASUREMENTS.txt	log	e9e624273a97b704ae663b3d5108225c5a59bdee23f452ad238f8a80a467b674	1179	2026-08-07T17:34:10		NA	NA		stage0		commands/timings
F01	/home/borg/RESEARCH-retron-db/data/derived/reference_msa_v1.afa	de novo MSA (registered derived)	4e864b3fab51e11ba9740dc1575c05bc2bcfca994918a8482be03a8759ea114b	11900045	2026-09-12T16:03:59	1926	Y (112)	full-length aligned	none (trimming deliberately NONE)	retron-db stage3_placement_toolkit s01_build_reference.py	mafft --auto --anysymbol --thread N (7.525); hmmbuild --amino (3.4)	6056 cols; tip-named incl. 16 short names; 112 substitutes
F02	/home/borg/RESEARCH-retron-db/results/stage3_placement_toolkit/cache/reference.hmm	HMM	67fe3c8e082d75d26a19bb5cc73852056c8a3c3506739aad7a2af3daaf596d03	192601	2026-09-12T16:03:59		NA	NA	LENG 412 from full-length MSA	s01_build_reference.py	hmmbuild --amino	
F03	/home/borg/RESEARCH-retron-db/results/stage3_placement_toolkit/scripts/s01_build_reference.py	script	8ec1a99add8ad22b36fe25169a05c2f0874d5570f6b36e2d6d0602ce64284ce1	12687	2026-09-12T16:02:44		NA	NA		retron-db		
G01	/home/borg/RETRONS_january_2026/the-retron-project/PHYLOGENETIC_TREE/PIPELINE_SEQUENCES/outfiles/reference_RTs_aligned.fasta	de novo MSA (pre-trim)	081bc6bce793cdc608741d83f547041fb50bd2163dc8a1797fa8b9bc372ebf74	11420609	2026-04-05T17:42:36	1926	Y (112)	full-length aligned	none (docstring claims 'RT0-7 scope' but input is full proteins)	owner phylo_V4_april.py Block D2	mafft --globalpair --maxiterate 1000 --thread N reference_RTs_raw.fasta	5811 cols
G02	/home/borg/RETRONS_january_2026/the-retron-project/PHYLOGENETIC_TREE/PIPELINE_SEQUENCES/outfiles/retron_RT_custom.hmm	HMM	a0c2ecc3546c83ee4282179d322440a99877e520c9f07ad06ef7742d1ba3909a	157267	2026-04-05T17:42:37		NA	NA	LENG 336 (Apr 5); built on full-length G-INS-i MSA	phylo_V4_april.py D3	hmmbuild --cpu N retron_RT_custom.hmm reference_RTs_aligned.fasta	backup (Mar 9) LENG 408; FINAL_V2_MARCH LENG 405
G03	/home/borg/RETRONS_january_2026/the-retron-project/PHYLOGENETIC_TREE/PIPELINE_SEQUENCES/outfiles/reference_RTs_hmmaligned.fasta	hmmalign --trim (de facto extract)	1d294ed182081efa28b5f59033f28deac34a1d1d76866239f411c68a72b528d1	6355229	2026-04-05T17:43:00	1926	Y (112)	extract (HMM match-span)	first..last match state of G02: median anchor-181..+123 (p05 -225, p95 +162)	phylo_V4_april.py Block E	hmmalign --trim --outformat afa retron_RT_custom.hmm <ref+query>; '.'->'-'	NOT an RT0-RT7 definition; 3224 cols; 112 substitutes
G04	/home/borg/RETRONS_january_2026/the-retron-project/PHYLOGENETIC_TREE/PIPELINE_SEQUENCES/outfiles/reference_RTs_aligned_synced.fasta	hmmalign --trim subset	2948356563dfff344f0ec3ebdca4e8f6ede47dc04d54620560ba75dfc42d001e	6302543	2026-04-05T17:43:00	1910	Y (111)	extract (HMM match-span)	as G03, 1910 tree-synced	phylo_V4_april.py		
G05	/home/borg/RETRONS_january_2026/the-retron-project/PHYLOGENETIC_TREE/IBEX_TESTS/output_files_FINAL_V2_MARCH/reference_RTs_hmmaligned.fasta	hmmalign --trim (earlier run)	a37036fbed223b220a697918290e4e0cb381f28661ac49eec9a9543a3fa9328f	5326745	2026-03-09T11:19:31	1926	Y (112)	extract (HMM match-span)	median anchor-182..+124	phylo_V2/V3 (March)		2699 cols
G06	/home/borg/RETRONS_january_2026/the-retron-project/PHYLOGENETIC_TREE/reference_RTs_aligned.fasta	de novo MSA	27c33e5b079484b5939253ccb7160f4ac42907ae984b8343cfead09e529507d3	11890386	2026-03-08T10:28:26	1926	Y (112)	full-length aligned	none	owner phylo pipeline (earlier)		6037 cols
G07	/home/borg/RETRONS_january_2026/the-retron-project/PHYLOGENETIC_TREE/IBEX_TESTS/phylo_V4_april.py	script (owner pipeline)	4375b8c7e43d728d5ed6cca0eac2f9d9806fd1e1967b33df4151a06d56ebc15d	137304	2026-04-06T09:27:29		NA	NA	no extraction step; MAFFT full-length -> hmmbuild -> hmmalign --trim	owner		
G08	/home/borg/RESEARCH-in-sleep-RETRON-DB_V3/MELISSA_SCRIPTS/phylogenetic_tree/phylo_v4.py	script (owner pipeline)	b238f398f417caf73985a576b0fb9e29d35095684f725f830458e5f547652a8c	74854	2026-07-20T18:22:22		NA	NA	byte-identical prefix (first 74,854 B) of G07	owner		
G09	/home/borg/RETRONS_january_2026/the-retron-project/PHYLOGENETIC_TREE/Supplementary_mestre_Tree.nwk	published tree	7a9a11296dafa3fff7137bfe51cdd1f1365aa53dc87457400b105e2f7d0134ce	122043	2026-07-22T00:17:10		NA	NA	Mestre 2020 Supplementary File S1 (newick only)	Mestre 2020		1928 tips; only Mestre phylogeny artefact published
H01	/home/borg/RESEARCH-in-sleep-RETRON-DB_V3/MELISSA_SCRIPTS/custom_and_hmm_analysis/extract_domain_sequences_171	subdomain extracts + coordinates	manifest:9fb51ff73cec83444cf25f69743db4ef10b56353c4f97dea0e92fab0e70ecf26	390690 (840 files)	2026-07-20T18:22:23	166 x5 domain FASTAs	N	extract (structural subdomains)	fingers/palm/thumb/active-site from foldseek/HHpred structural boundaries (not RT0-RT7)	V3 extract_subdomain_seqs.py <- annotate_rt_domains_v5.py		166 Mestre terminals (Khan validated subset), 0 substitutes; identical copy in V2
I01	/home/borg/RESEARCH-in-sleep-RETRON-DB_V3/ARIS_OUTPUT/mestre_scope_audit/scripts/m5_rt0_placeability.py	script	259ae2cdceb7142b695b79d3641b0dfe87fdfe516483478e943d6cddc2b72f7c	5930	2026-08-04T11:40:31		NA	NA	RT17_CORE states 1-41 = RT0 region	V3		
I02	/home/borg/RESEARCH-in-sleep-RETRON-DB_V3/ARIS_OUTPUT/mestre_scope_audit/tables/x4_mestre_nterminal_reach.tsv	result table	1d1e326e410586a2ab8b1e534566d9c13bf9fe95386210192f2f4751219f02c8	219	2026-08-04T11:40:43		NA	NA	first matched RT17_CORE state	V3 m5		median state 33; 1313/1926 reach <=41
I03	/home/borg/RESEARCH-in-sleep-RETRON-DB_V3/ARIS_OUTPUT/mestre_scope_audit/tables/x5_mestre_rt0_region_profile.tsv	result table	f542ac6b4513c91fc0f176fede3374d3326f9f6aa11c9691728a337ad214a46d	841	2026-08-04T11:41:46		NA	NA	per-state occupancy states 1-41	V3 m5		
I04	/home/borg/RESEARCH-in-sleep-RETRON-DB_V3/ARIS_OUTPUT/mestre_scope_audit/tables/x2_mestre_block_occupancy.tsv	result table	471d2c8db717187d35de9537f2bd2edb8723f36f1a052c2735c2134b22925ff6	338	2026-08-04T11:40:43		NA	NA	RT0 region mean 0.217; 0/41 states >=0.85	V3 m5		VOID E4 retracted conditional 0.89
J01	/home/borg/RESEARCH-in-sleep-RETRON-DB_V4/ARIS_OUTPUT/rt0_rt7_domain_test_v2/scripts/s2_block_extents.py	script (RT1..RT7 extents)	5a3aa512f8c3b5affcfbd7d901ee74a5c788674b2aa3cb93c3d060223c77542c	6211	2026-08-17T19:34:43		NA	NA	IC>=1.0 bits around RT17_CORE anchors, window states 42-276	V4 v2		not Toro frame; no RT0
