evidence_id	element_name	mestre_terminal_id	rt_accession	evidence_tier	rt_ncrna_pairing_evidence	rtdna_production_xEco1	rtdna_sequence_determined	rtdna_len_nt	human_editing_xEco1	bacterial_editing_xEco1	phage_editing_xEco1	experimental_structure	rt_mutagenesis	ncrna_mutagenesis	swap_or_crossreactivity	orthogonality_exchange	rt_seq_local	ncrna_seq_local	exposure_class_vs_project	embed_folds_touched	rt_in_exact_rt_catalogue	exact_pair_in_PAIR_ELIG	independence_status	usable_as	source_paper	caveats
EXP-K011	Tde	terminal_662	fig|364030.3.peg.3554	X4_SYNTHESISED_AND_TESTED_OUTCOME_UNDETERMINED	CO_REPORTED_AND_TESTED_ONLY (no positive readout recorded locally)	0	NO	0	undetermined	undetermined	undetermined	NONE_LOCAL	NOT_IN_LOCAL_ASSETS	NOT_IN_LOCAL_ASSETS	NOT_IN_LOCAL_ASSETS	NOT_IN_LOCAL_ASSETS	YES	YES	CATALOGUE_ONLY	none	YES	NO	NOT_INDEPENDENT - present in the RT catalogue/corpus, outside PAIR-ELIG	assay layer only; check exposure before any evaluation use	Khan et al. 2024 Nat Biotechnol doi:10.1038/s41587-024-02384-z (An experimental census of retrons)	174 of 175 panel rows lie inside Mestre's own reference set by accession, so the panel is an assay layer on the prediction set, NOT independent validation of it. RT_sequence column is empty in all 175 rows (use rt_protein_aa).
EXP-K012	Tdi	terminal_1687	fig|669041.3.peg.843	X2_RTDNA_SEQUENCE_PLUS_FUNCTIONAL_ASSAY	YES_ASSAYED_AS_A_UNIT (RT + its own ncRNA synthesised and measured together)	0.347988202	YES	140	105.6806299	undetermined	undetermined	NONE_LOCAL	NOT_IN_LOCAL_ASSETS	NOT_IN_LOCAL_ASSETS	NOT_IN_LOCAL_ASSETS	NOT_IN_LOCAL_ASSETS	YES	YES	VAL_TEST_EXPOSED	val	YES	NO	NOT_INDEPENDENT - in the X1 val/test fold; X2 trained on all folds	assay layer only; check exposure before any evaluation use	Khan et al. 2024 Nat Biotechnol doi:10.1038/s41587-024-02384-z (An experimental census of retrons)	174 of 175 panel rows lie inside Mestre's own reference set by accession, so the panel is an assay layer on the prediction set, NOT independent validation of it. RT_sequence column is empty in all 175 rows (use rt_protein_aa).
EXP-K013	Ssp	terminal_1191	fig|1802259.3.peg.374	X4_SYNTHESISED_AND_TESTED_OUTCOME_UNDETERMINED	CO_REPORTED_AND_TESTED_ONLY (no positive readout recorded locally)	0	NO	0	undetermined	undetermined	undetermined	NONE_LOCAL	NOT_IN_LOCAL_ASSETS	NOT_IN_LOCAL_ASSETS	NOT_IN_LOCAL_ASSETS	NOT_IN_LOCAL_ASSETS	YES	YES	CATALOGUE_ONLY	none	YES	NO	NOT_INDEPENDENT - present in the RT catalogue/corpus, outside PAIR-ELIG	assay layer only; check exposure before any evaluation use	Khan et al. 2024 Nat Biotechnol doi:10.1038/s41587-024-02384-z (An experimental census of retrons)	174 of 175 panel rows lie inside Mestre's own reference set by accession, so the panel is an assay layer on the prediction set, NOT independent validation of it. RT_sequence column is empty in all 175 rows (use rt_protein_aa).
EXP-K014	Sni	terminal_1400	fig|164115.3.peg.6832	X3_FUNCTIONAL_ASSAY_ONLY	YES_ASSAYED_AS_A_UNIT (RT + its own ncRNA synthesised and measured together)		NO	0	4.813086286	undetermined	undetermined	NONE_LOCAL	NOT_IN_LOCAL_ASSETS	NOT_IN_LOCAL_ASSETS	NOT_IN_LOCAL_ASSETS	NOT_IN_LOCAL_ASSETS	YES	YES	TRAIN_EXPOSED	train	YES	NO	NOT_INDEPENDENT - in the X1 train fold; X2 trained on all folds	assay layer only; check exposure before any evaluation use	Khan et al. 2024 Nat Biotechnol doi:10.1038/s41587-024-02384-z (An experimental census of retrons)	174 of 175 panel rows lie inside Mestre's own reference set by accession, so the panel is an assay layer on the prediction set, NOT independent validation of it. RT_sequence column is empty in all 175 rows (use rt_protein_aa).
EXP-K015	Ssu	terminal_1119	fig|1214190.3.peg.2034	X2b_RTDNA_SEQUENCE_ONLY	CO_REPORTED_AND_TESTED_ONLY (no positive readout recorded locally)	0	YES	97	0	undetermined	undetermined	NONE_LOCAL	NOT_IN_LOCAL_ASSETS	NOT_IN_LOCAL_ASSETS	NOT_IN_LOCAL_ASSETS	NOT_IN_LOCAL_ASSETS	YES	YES	CATALOGUE_ONLY	none	YES	NO	NOT_INDEPENDENT - present in the RT catalogue/corpus, outside PAIR-ELIG	assay layer only; check exposure before any evaluation use	Khan et al. 2024 Nat Biotechnol doi:10.1038/s41587-024-02384-z (An experimental census of retrons)	174 of 175 panel rows lie inside Mestre's own reference set by accession, so the panel is an assay layer on the prediction set, NOT independent validation of it. RT_sequence column is empty in all 175 rows (use rt_protein_aa).
EXP-K016	Ssu	terminal_486	fig|1307.1644.peg.1532	X3_FUNCTIONAL_ASSAY_ONLY	YES_ASSAYED_AS_A_UNIT (RT + its own ncRNA synthesised and measured together)	0	NO	0	22.28096063	undetermined	undetermined	NONE_LOCAL	NOT_IN_LOCAL_ASSETS	NOT_IN_LOCAL_ASSETS	NOT_IN_LOCAL_ASSETS	NOT_IN_LOCAL_ASSETS	YES	YES	CATALOGUE_ONLY	none	YES	NO	NOT_INDEPENDENT - present in the RT catalogue/corpus, outside PAIR-ELIG	assay layer only; check exposure before any evaluation use	Khan et al. 2024 Nat Biotechnol doi:10.1038/s41587-024-02384-z (An experimental census of retrons)	174 of 175 panel rows lie inside Mestre's own reference set by accession, so the panel is an assay layer on the prediction set, NOT independent validation of it. RT_sequence column is empty in all 175 rows (use rt_protein_aa).
EXP-K017	Sag	terminal_1079	fig|1154859.3.peg.955	X4_SYNTHESISED_AND_TESTED_OUTCOME_UNDETERMINED	CO_REPORTED_AND_TESTED_ONLY (no positive readout recorded locally)		NO	0	0	undetermined	undetermined	NONE_LOCAL	NOT_IN_LOCAL_ASSETS	NOT_IN_LOCAL_ASSETS	NOT_IN_LOCAL_ASSETS	NOT_IN_LOCAL_ASSETS	YES	YES	CATALOGUE_ONLY	none	YES	NO	NOT_INDEPENDENT - present in the RT catalogue/corpus, outside PAIR-ELIG	assay layer only; check exposure before any evaluation use	Khan et al. 2024 Nat Biotechnol doi:10.1038/s41587-024-02384-z (An experimental census of retrons)	174 of 175 panel rows lie inside Mestre's own reference set by accession, so the panel is an assay layer on the prediction set, NOT independent validation of it. RT_sequence column is empty in all 175 rows (use rt_protein_aa).
EXP-K018	Retron-Sau1 (Sa163)	terminal_1795	WP_002615305.1	X3_FUNCTIONAL_ASSAY_ONLY	YES_ASSAYED_AS_A_UNIT (RT + its own ncRNA synthesised and measured together)		NO	0	30.4116512	undetermined	undetermined	NONE_LOCAL	NOT_IN_LOCAL_ASSETS	NOT_IN_LOCAL_ASSETS	NOT_IN_LOCAL_ASSETS	NOT_IN_LOCAL_ASSETS	YES	YES	VAL_TEST_EXPOSED	val	YES	NO	NOT_INDEPENDENT - in the X1 val/test fold; X2 trained on all folds	assay layer only; check exposure before any evaluation use	Khan et al. 2024 Nat Biotechnol doi:10.1038/s41587-024-02384-z (An experimental census of retrons)	174 of 175 panel rows lie inside Mestre's own reference set by accession, so the panel is an assay layer on the prediction set, NOT independent validation of it. RT_sequence column is empty in all 175 rows (use rt_protein_aa).
EXP-K019	Sma	terminal_888	fig|40324.334.peg.1103	X2b_RTDNA_SEQUENCE_ONLY	CO_REPORTED_AND_TESTED_ONLY (no positive readout recorded locally)	0	YES	189	0	undetermined	undetermined	NONE_LOCAL	NOT_IN_LOCAL_ASSETS	NOT_IN_LOCAL_ASSETS	NOT_IN_LOCAL_ASSETS	NOT_IN_LOCAL_ASSETS	YES	YES	TRAIN_EXPOSED	train	YES	NO	NOT_INDEPENDENT - in the X1 train fold; X2 trained on all folds	assay layer only; check exposure before any evaluation use	Khan et al. 2024 Nat Biotechnol doi:10.1038/s41587-024-02384-z (An experimental census of retrons)	174 of 175 panel rows lie inside Mestre's own reference set by accession, so the panel is an assay layer on the prediction set, NOT independent validation of it. RT_sequence column is empty in all 175 rows (use rt_protein_aa).
EXP-K020	Sma	terminal_418	fig|40324.292.peg.236	X3_FUNCTIONAL_ASSAY_ONLY	YES_ASSAYED_AS_A_UNIT (RT + its own ncRNA synthesised and measured together)		NO	0	0.565909502	undetermined	undetermined	NONE_LOCAL	NOT_IN_LOCAL_ASSETS	NOT_IN_LOCAL_ASSETS	NOT_IN_LOCAL_ASSETS	NOT_IN_LOCAL_ASSETS	YES	YES	CATALOGUE_ONLY	none	YES	NO	NOT_INDEPENDENT - present in the RT catalogue/corpus, outside PAIR-ELIG	assay layer only; check exposure before any evaluation use	Khan et al. 2024 Nat Biotechnol doi:10.1038/s41587-024-02384-z (An experimental census of retrons)	174 of 175 panel rows lie inside Mestre's own reference set by accession, so the panel is an assay layer on the prediction set, NOT independent validation of it. RT_sequence column is empty in all 175 rows (use rt_protein_aa).
EXP-K021	Ssp	terminal_1122	fig|1881068.3.peg.2940	X2_RTDNA_SEQUENCE_PLUS_FUNCTIONAL_ASSAY	YES_ASSAYED_AS_A_UNIT (RT + its own ncRNA synthesised and measured together)	0.021555336	YES	55	0	undetermined	undetermined	NONE_LOCAL	NOT_IN_LOCAL_ASSETS	NOT_IN_LOCAL_ASSETS	NOT_IN_LOCAL_ASSETS	NOT_IN_LOCAL_ASSETS	YES	YES	CATALOGUE_ONLY	none	YES	NO	NOT_INDEPENDENT - present in the RT catalogue/corpus, outside PAIR-ELIG	assay layer only; check exposure before any evaluation use	Khan et al. 2024 Nat Biotechnol doi:10.1038/s41587-024-02384-z (An experimental census of retrons)	174 of 175 panel rows lie inside Mestre's own reference set by accession, so the panel is an assay layer on the prediction set, NOT independent validation of it. RT_sequence column is empty in all 175 rows (use rt_protein_aa).
EXP-K022	Ssp	terminal_1502	fig|1947498.3.peg.1366	X4_SYNTHESISED_AND_TESTED_OUTCOME_UNDETERMINED	CO_REPORTED_AND_TESTED_ONLY (no positive readout recorded locally)		NO	0	0	undetermined	undetermined	NONE_LOCAL	NOT_IN_LOCAL_ASSETS	NOT_IN_LOCAL_ASSETS	NOT_IN_LOCAL_ASSETS	NOT_IN_LOCAL_ASSETS	YES	YES	CATALOGUE_ONLY	none	YES	NO	NOT_INDEPENDENT - present in the RT catalogue/corpus, outside PAIR-ELIG	assay layer only; check exposure before any evaluation use	Khan et al. 2024 Nat Biotechnol doi:10.1038/s41587-024-02384-z (An experimental census of retrons)	174 of 175 panel rows lie inside Mestre's own reference set by accession, so the panel is an assay layer on the prediction set, NOT independent validation of it. RT_sequence column is empty in all 175 rows (use rt_protein_aa).
EXP-K023	Spu	terminal_733	fig|319224.16.peg.2726	X3_FUNCTIONAL_ASSAY_ONLY	YES_ASSAYED_AS_A_UNIT (RT + its own ncRNA synthesised and measured together)		NO	0	0.268771912	undetermined	undetermined	NONE_LOCAL	NOT_IN_LOCAL_ASSETS	NOT_IN_LOCAL_ASSETS	NOT_IN_LOCAL_ASSETS	NOT_IN_LOCAL_ASSETS	YES	YES	VAL_TEST_EXPOSED	val	YES	NO	NOT_INDEPENDENT - in the X1 val/test fold; X2 trained on all folds	assay layer only; check exposure before any evaluation use	Khan et al. 2024 Nat Biotechnol doi:10.1038/s41587-024-02384-z (An experimental census of retrons)	174 of 175 panel rows lie inside Mestre's own reference set by accession, so the panel is an assay layer on the prediction set, NOT independent validation of it. RT_sequence column is empty in all 175 rows (use rt_protein_aa).
EXP-K024	Ssp	terminal_1644	fig|2024858.3.peg.3711	X3_FUNCTIONAL_ASSAY_ONLY	YES_ASSAYED_AS_A_UNIT (RT + its own ncRNA synthesised and measured together)		NO	0	12.57776227	undetermined	undetermined	NONE_LOCAL	NOT_IN_LOCAL_ASSETS	NOT_IN_LOCAL_ASSETS	NOT_IN_LOCAL_ASSETS	NOT_IN_LOCAL_ASSETS	YES	YES	CATALOGUE_ONLY	none	YES	NO	NOT_INDEPENDENT - present in the RT catalogue/corpus, outside PAIR-ELIG	assay layer only; check exposure before any evaluation use	Khan et al. 2024 Nat Biotechnol doi:10.1038/s41587-024-02384-z (An experimental census of retrons)	174 of 175 panel rows lie inside Mestre's own reference set by accession, so the panel is an assay layer on the prediction set, NOT independent validation of it. RT_sequence column is empty in all 175 rows (use rt_protein_aa).
EXP-K025	Retron-Sen2 (St85)	terminal_116	EDM6246721.1	X2b_RTDNA_SEQUENCE_ONLY	CO_REPORTED_AND_TESTED_ONLY (no positive readout recorded locally)		YES	82	undetermined	undetermined	undetermined	9L7P(RVT-Retrons St85);effector chain named 'retron ST85 family effector' in 7V9X/7XJG	NOT_IN_LOCAL_ASSETS	NOT_IN_LOCAL_ASSETS	NOT_IN_LOCAL_ASSETS	NOT_IN_LOCAL_ASSETS	YES	YES	TRAIN_EXPOSED	train	NO	NO	NOT_INDEPENDENT - in the X1 train fold; X2 trained on all folds	assay layer only; check exposure before any evaluation use	Khan et al. 2024 Nat Biotechnol doi:10.1038/s41587-024-02384-z (An experimental census of retrons)	174 of 175 panel rows lie inside Mestre's own reference set by accession, so the panel is an assay layer on the prediction set, NOT independent validation of it. RT_sequence column is empty in all 175 rows (use rt_protein_aa).
EXP-K026	Sen	terminal_1352	fig|1967657.4.peg.913	X2_RTDNA_SEQUENCE_PLUS_FUNCTIONAL_ASSAY	YES_ASSAYED_AS_A_UNIT (RT + its own ncRNA synthesised and measured together)	0.990479092	YES	162	0	undetermined	undetermined	NONE_LOCAL	NOT_IN_LOCAL_ASSETS	NOT_IN_LOCAL_ASSETS	NOT_IN_LOCAL_ASSETS	NOT_IN_LOCAL_ASSETS	YES	YES	TRAIN_EXPOSED	train	YES	NO	NOT_INDEPENDENT - in the X1 train fold; X2 trained on all folds	assay layer only; check exposure before any evaluation use	Khan et al. 2024 Nat Biotechnol doi:10.1038/s41587-024-02384-z (An experimental census of retrons)	174 of 175 panel rows lie inside Mestre's own reference set by accession, so the panel is an assay layer on the prediction set, NOT independent validation of it. RT_sequence column is empty in all 175 rows (use rt_protein_aa).
EXP-K027	Sen	terminal_1156	fig|1124958.3.peg.5012	X2_RTDNA_SEQUENCE_PLUS_FUNCTIONAL_ASSAY	YES_ASSAYED_AS_A_UNIT (RT + its own ncRNA synthesised and measured together)	0.024610922	YES	75	3.5207122	undetermined	undetermined	NONE_LOCAL	NOT_IN_LOCAL_ASSETS	NOT_IN_LOCAL_ASSETS	NOT_IN_LOCAL_ASSETS	NOT_IN_LOCAL_ASSETS	YES	YES	CATALOGUE_ONLY	none	YES	NO	NOT_INDEPENDENT - present in the RT catalogue/corpus, outside PAIR-ELIG	assay layer only; check exposure before any evaluation use	Khan et al. 2024 Nat Biotechnol doi:10.1038/s41587-024-02384-z (An experimental census of retrons)	174 of 175 panel rows lie inside Mestre's own reference set by accession, so the panel is an assay layer on the prediction set, NOT independent validation of it. RT_sequence column is empty in all 175 rows (use rt_protein_aa).
EXP-K028	Retron-Sen1 (Se72)	terminal_553	KJT50308.1	X3_FUNCTIONAL_ASSAY_ONLY	YES_ASSAYED_AS_A_UNIT (RT + its own ncRNA synthesised and measured together)		NO	0	1.707057395	undetermined	undetermined	NONE_LOCAL	NOT_IN_LOCAL_ASSETS	NOT_IN_LOCAL_ASSETS	NOT_IN_LOCAL_ASSETS	NOT_IN_LOCAL_ASSETS	YES	YES	TRAIN_EXPOSED	train	YES	NO	NOT_INDEPENDENT - in the X1 train fold; X2 trained on all folds	assay layer only; check exposure before any evaluation use	Khan et al. 2024 Nat Biotechnol doi:10.1038/s41587-024-02384-z (An experimental census of retrons)	174 of 175 panel rows lie inside Mestre's own reference set by accession, so the panel is an assay layer on the prediction set, NOT independent validation of it. RT_sequence column is empty in all 175 rows (use rt_protein_aa).
EXP-K029	Rfl	terminal_813	fig|1410670.3.peg.2844	X3_FUNCTIONAL_ASSAY_ONLY	YES_ASSAYED_AS_A_UNIT (RT + its own ncRNA synthesised and measured together)		NO	0	0.616085657	undetermined	undetermined	NONE_LOCAL	NOT_IN_LOCAL_ASSETS	NOT_IN_LOCAL_ASSETS	NOT_IN_LOCAL_ASSETS	NOT_IN_LOCAL_ASSETS	YES	YES	FULLY_EXTERNAL	none	NO	NO	EXTERNAL_BY_SEQUENCE (no exact or near match in any project population)	functional-endpoint external candidate (RT-DNA production / editing) - NOT a compatibility or orthogonality set	Khan et al. 2024 Nat Biotechnol doi:10.1038/s41587-024-02384-z (An experimental census of retrons)	174 of 175 panel rows lie inside Mestre's own reference set by accession, so the panel is an assay layer on the prediction set, NOT independent validation of it. RT_sequence column is empty in all 175 rows (use rt_protein_aa).
EXP-K030	Rfl	terminal_482	fig|1265.9.peg.2602	X2_RTDNA_SEQUENCE_PLUS_FUNCTIONAL_ASSAY	YES_ASSAYED_AS_A_UNIT (RT + its own ncRNA synthesised and measured together)	1.111439727	YES	86	53.85704318	undetermined	undetermined	NONE_LOCAL	NOT_IN_LOCAL_ASSETS	NOT_IN_LOCAL_ASSETS	NOT_IN_LOCAL_ASSETS	NOT_IN_LOCAL_ASSETS	YES	YES	TRAIN_EXPOSED	train	YES	NO	NOT_INDEPENDENT - in the X1 train fold; X2 trained on all folds	assay layer only; check exposure before any evaluation use	Khan et al. 2024 Nat Biotechnol doi:10.1038/s41587-024-02384-z (An experimental census of retrons)	174 of 175 panel rows lie inside Mestre's own reference set by accession, so the panel is an assay layer on the prediction set, NOT independent validation of it. RT_sequence column is empty in all 175 rows (use rt_protein_aa).
EXP-K031	Rsp	terminal_1323	fig|1860090.3.peg.231	X2_RTDNA_SEQUENCE_PLUS_FUNCTIONAL_ASSAY	YES_ASSAYED_AS_A_UNIT (RT + its own ncRNA synthesised and measured together)	0.855035911	YES	162	2.393682542	undetermined	undetermined	NONE_LOCAL	NOT_IN_LOCAL_ASSETS	NOT_IN_LOCAL_ASSETS	NOT_IN_LOCAL_ASSETS	NOT_IN_LOCAL_ASSETS	YES	YES	TRAIN_EXPOSED	train	YES	NO	NOT_INDEPENDENT - in the X1 train fold; X2 trained on all folds	assay layer only; check exposure before any evaluation use	Khan et al. 2024 Nat Biotechnol doi:10.1038/s41587-024-02384-z (An experimental census of retrons)	174 of 175 panel rows lie inside Mestre's own reference set by accession, so the panel is an assay layer on the prediction set, NOT independent validation of it. RT_sequence column is empty in all 175 rows (use rt_protein_aa).
