dataset_id	biological_purpose	row_unit	population_definition	source_files	derivation_dedup_rule	n_rows	hash_or_manifest	required_columns	known_limitations	exposure_state	appropriate_for	inappropriate_for	status
RT-LOCI-2847312	Genomic locus table	genomic locus	2,847,312 loci	/home/borg/RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7/data/derived/rt_loci_v1.parquet	Stage-1 dbchar_g2	2847312	no sha256 recorded (144,404,431 B). ROW COUNT verified 2026-09-20 by parquet metadata	locus_key	NOT the same as RETRON-LOCI. This is all RT families	INSPECTED (Stage 1)	Locus-unit analyses that declare this denominator	Being confused with the retron-labelled locus subset	CANONICAL_WITH_LIMITATION
RT-PHYSICAL-LOCI-2475684	Physical (collapsed) locus table	physical locus	2,475,684 physical loci	/home/borg/RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7/data/derived/rt_physical_loci_v1.parquet	Collapse of RT-LOCI-2847312 to physical positions	2475684	no sha256 recorded (45,017,434 B). ROW COUNT verified 2026-09-20 by parquet metadata	physical_locus_key	As above	INSPECTED (Stage 1)	Physical-locus denominators	Mixing with RT-LOCI-2847312 in one denominator	CANONICAL_WITH_LIMITATION
RETRON-LOCI	The retron-labelled physical locus subset. Reserved for genuinely retron-restricted analyses	physical locus	TWO DENOMINATORS EXIST AND DISAGREE: 630,741 (g3) vs 632,688 (Z6), differing by 1,947	filter over RT-PHYSICAL-LOCI-2475684; Stage-1 g3/g6/g7b	retron family label applied at the physical-locus level - EXACT RULE NOT RE-DERIVED BY THIS SESSION	630741 or 632688 - UNRESOLVED	no artifact, no hash. The two denominators must not be mixed	physical_locus_key; family label	The 1,947-row discrepancy is unresolved. The ~40% zero-ncRNA class at full upstream context is UNEXPLAINED, not attributed. T-N1 DECLARED this population and did not use it - no task has actually consumed it	NOT_USED_BY_N1_OR_N1B. A retron-restricted population may still be defined here	Nothing until the denominator is resolved	Any published count until 630,741 vs 632,688 is settled; conflation with RT-RECORDS-3059700	NEEDS_REDERIVATION
G5A-ELIGIBILITY-369381	The frozen eligibility partition. Source of the g5/g6 denominator for goal 2	exact RT sequence	501,561 partitioned into 369,381 eligible and 132,180 ineligible, every exclusion carrying a reason	/home/borg/RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7/data/derived/rt07_g5a/g5a_eligibility_partition.tsv.gz; g5a_eligible_ids.txt.gz; g5a_ineligible_records.tsv.gz	results/rt07_g5a_eligibility_census/ at commit cf96dd1	501561	sha256 249e334b04b2db7975b498949d57bcc89613e43512baad5a007b47ea21de7dfa (partition); 6f2028fa46563ebedb11442bf21341ce0565b230d5ccf68f748ba3b676d02d11 (eligible ids); 9fd48b77df6d8e3e1af0aa7e2b1358b1690b587cfb6e0911804991da42139a06 (ineligible)	rt_hash; eligibility flag; exclusion reason	Eligibility is a >=250 aa rule plus standard residues. 19,800 of C1b's 67,272 no-hits are >=250 aa with standard residues, so eligibility and detectability are DIFFERENT filters and must not be conflated	Inherits RT-EXACT-501561 exposure	Any g5/g6 denominator; stratifying detection by eligibility	Treating ineligible as not-an-RT	CANONICAL
G5-MAPPED-369381	The canonical mapped dataset: frozen-state calls per eligible RT. The RT0-RT7 coordinate application, goal 2	exact RT x frozen state (states); exact RT (sequences)	369,381 eligible RTs mapped; 55,407,150 state rows	/home/borg/RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7/data/derived/rt07_g5/g5_states.parquet; g5_sequences.parquet; g5_catalytic.parquet; g5_metadata_crosswalk.parquet	results/rt07_g5_catalogue_application/ at commit cf96dd1, instrument rtmap-1.0.0/53a1e738a19b3896	369381	sha256 5bdcb6e3ef4344da8d64a8fe9f59fd641138115b68dc88aff4c3e80b970a4eae (states); 55bd268a1b8ff01bd8d4cf61f85bfda3909919b3faec74da752186a6a6ebbbb5 (sequences); 02c6e54d12e4a1c2ec3d35f8d0260d8104077f87365e16a509a9940d4f47dd14 (crosswalk, 501,561 rows). Verify: bash results/rt07_g5_catalogue_application/verify.sh	rt_hash (all joins); state; in_g5_eligible	Derived through GII.deriv.hmm, a coordinate system built from 66 group II intron ORFs containing ZERO retrons. Transfer to retrons is the open question, not an assumption. RT0 and RT1 remain UNRESOLVED after independent review. Stage 2 is CLOSED with residual limitations recorded	Inherits RT-EXACT-501561 exposure	RT0-RT7 state description on the eligible subset; any denominator via the crosswalk	Treating RT0/RT1 as resolved; assuming the group-II coordinate system transfers to retrons without measuring it	CANONICAL_WITH_LIMITATION
GII-DERIV-HMM	The frozen production coordinate system behind RT0-RT7	profile HMM	derived from 66 group II intron ORFs	/home/borg/RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7/results/rt07_g4a_repaired/work/GII.deriv.hmm	results/rt07_g4a_repaired/; the ONLY file re-included from an otherwise ignored work/ directory	1	220,026 B, tracked in git deliberately	n/a	Contains ZERO retrons. Poor transfer to retrons is a likely and publishable OUTCOME, not a failure of the track	n/a - instrument	RT0-RT7 state mapping with transfer measured honestly	Assuming retron applicability	CANONICAL_WITH_LIMITATION
PANEL-175	The experimental retron panel - the only wet-lab evidence in the project. Goals 4,5,9,12	assayed retron element	175 elements with sequence, taxonomy and assay columns	/home/borg/RESEARCH-retron-db/results/stage1_mestre_replication_and_insights/inputs/support.csv	external published panel, unmodified	175	sha256 80b2f565515c96bb1b9b0082c261dd6184c67672e29bb96c813cf6abdd9d9577 (371,323 B) COMPUTED AND VERIFIED 2026-09-20 by this session	terminal_id; RT_sequence; ncRNA_sequence; RTDNA_sequence; rtdna_production_xeco1; retron_sub; rt_clade	PARTIALLY EXPOSED: 58 train-exposed, 33 val/test-exposed, 56 catalogue-only, 12 sequence-near. ONLY the 16 fully external elements are usable as held-out, and 16 is an ANECDOTE, not a confirmatory population - say so in advance, not at review	PARTIALLY EXPOSED; only the 16 fully external, and only at a functional endpoint	Named positive controls; functional anchoring; descriptive contrast	Any confirmatory claim resting on the 16; treating panel membership as a random sample of retrons	CANONICAL_WITH_LIMITATION
PANEL-RTDNA-81	Elements with an empirically determined RT-DNA sequence. THE STRONGEST ANCHOR IN THE PROJECT. Goal 9	assayed element with a measured RT-DNA sequence	81 of the 175 panel elements have a non-empty RTDNA_sequence	PANEL-175 column RTDNA_sequence	non-empty RTDNA_sequence	81	inherits PANEL-175 sha256. COUNT VERIFIED 2026-09-20 by this session (81 non-empty of 175)	terminal_id; RTDNA_sequence; ncRNA_sequence	The functional outcome was NEVER a training target anywhere in this project, which is what makes these usable. Sequence exposure is a HOMOLOGY concern, not a label-leak concern. CRITICAL OVERLAP, verified by this session: 62 of the 81 anchors are MEASURED PRODUCERS and 77 of 81 carry a measured production value, so anchor-derived features lean directly on PANEL-PRODUCERS-67-36's positive class	NOT_YET_EXPOSED. Operator authorisation required PER SPEND	Direct RT-DNA coordinate mapping, ONCE T-A5b1/T-R1 are merged or differentiated	Spending twice for one table (T-A5b1 and T-R1 are the same task); informing T-A22's feature set before that design is frozen	CANONICAL
PANEL-PRODUCERS-67-36	Measured RT-DNA production, positive against measured-zero. THE ONLY measured functional retron / non-functional contrast anywhere in the project. Goals 4,12	assayed element with a measured production value	103 elements carry a measured rtdna_production_xeco1: 67 with value >0, 36 with value ==0	PANEL-175 column rtdna_production_xeco1	non-empty rtdna_production_xeco1; >0 = producer, ==0 = measured non-producer	103	inherits PANEL-175 sha256. SPLIT VERIFIED 2026-09-20 by this session: 103 measured, 67 >0, 36 ==0	terminal_id; rtdna_production_xeco1	A measured zero is real evidence of non-production; an EMPTY cell (72 elements) is NOT and must never be counted as a negative. Exposure is spread across both classes	NOT_YET_EXPOSED	The external functional arm for retron discrimination, with its feature set and validation design frozen FIRST	Being informed by PANEL-RTDNA-81 anchors before freezing (62 of 81 overlap the positive class); treating the 72 empty cells as negatives	CANONICAL
STRUCT-62	The experimental structure register - truth-bearing RT chains. Goal 5	RT chain	62 chains in 31 groups; 19 Tier-A truth pairs; 21 retron chains in Tier B/C	POPULATION_LEDGER cites g2_frozen_parameters.tsv	not re-derived by this session	62	NO HASH. ⛔ g2_frozen_parameters.tsv DOES NOT RESOLVE on disk - searched both project roots 2026-09-20 and found nothing. The register path is stale or the file is elsewhere	chain id; tier; retron flag	ALL 19 truth-bearing chains are NON-RETRON. All 21 retron chains sit in Tier B or C and were NEVER scored. Tier B is partly design-inspected, so not blind. T-A7 and T-S3 would both spend the same Tier B chains - one as control, one as headline	TIER_A_EXHAUSTED (Stage 3B calibrated thresholds on the 19 Tier-A pairs then scored them); TIER_B_UNOPENED	Nothing until the register file is located and hashed	T-A7 and T-S3 both claiming Tier B as independent evidence; any Tier A reuse	NEEDS_REDERIVATION
PRED-STRUCT-44608	Predicted structure collections across the estate. Goal 5 substrate	structure FILE on disk (NOT a unique structure)	97 collections, 44,608 files, 11,554,129,606 B, across 7 roots	7 roots incl. RETRON-DB_V4 (36,695 files), V3 (6,599), asset-audit (603)	T-S1 inventory scan; all 97 name-and-size manifest hashes independently reproduced by the reviewer	44608	97 name-and-size manifest hashes, all matching on independent rescan. ⛔ NAME+SIZE IS NOT CONTENT IDENTITY - T-REG3 found 602 shared-pin groups of which 357 are CONTENT-DISTINCT	collection root; file path	44,608 is FILES ON DISK, not unique structures and not independent evidence items. '0 missing' in T-S1 means zero missing DIRECTORIES, not files. The deduplication rule for unique structures has NOT been declared. T-S1b exists to fix exactly these three	NO_POPULATION_SPEND - inventory only	Bounding what could be analysed structurally	Any count of unique structures or independent evidence items until T-S1b lands	NEEDS_REDERIVATION
DEPOSITED-COMPLEXES-8	Retron RT-RNA-DNA deposited complexes. The positive control for any ncRNA architecture work. Goals 5,9	deposited complex	8 structures	registered in DATASET_REGISTRY as STRUCT-COORDS	external, PDB-deposited	8	⛔ the STRUCT-COORDS entry was NOT found in docs/DATASET_REGISTRY.md on inspection 2026-09-20 - the pointer in POPULATION_LEDGER is stale	PDB id; chain	EIGHT is too few for a rate. Calibration only, never inference	EXTERNAL; never a project population	Calibration; a named positive control for ncRNA architecture	Any rate, frequency or prevalence claim	NEEDS_REDERIVATION
EMBED-CACHES-26016	Cached sequence embeddings. Substrate for goals 10,11	one .npy cache file	13,214 + 12,802 = 26,016 .npy files, feature dim 1280	collections listed in T-M1 M1_collection_summary.tsv; ~42.4 GB	produced upstream; NOT re-derived by this project	26016	⛔ NO CACHE FILE IS HASHED, despite T-M1's brief being 'verify, hash and register'	collection; file path; feature dim	⛔ rt_positives_emb IS MISIDENTIFIED: upstream provenance shows it is ncRNA POSITIVE-REGION embeddings, NOT RT embeddings. Norms are all inf from float16 overflow. Only 100 of the 4,000 rows actually read were landed, so the quality counts are not reproducible from landed tables. The stale v1 stdout records two blocking failures and still says TASK_STATE: PASS	NO_POPULATION_SPEND	Nothing until T-M1b lands	Any pairing or embedding analysis that assumes rt_positives_emb contains RT embeddings	NEEDS_REDERIVATION
LIT-CROSSPAIR-A23	Published non-cognate RT-ncRNA measurements. Goal 12	measured combination	56 curated rows over 7 experimental blocks and 3 lineages	A23_geometry.tsv (T-A23, REVIEW_FAILED, kept as an UNPROMOTED asset)	literature curation; 42 of 56 rows rest on ONE caption-expansion decision	56	no hash; task REVIEW_FAILED and its positive control was circular	row id; source; direction; block	⛔ ZERO of the 56 rows carry a numeric value. The defensible floor is 7 EXPERIMENTAL BLOCKS, not 56 rows (8 combinations, 6 unconfounded). T-A23c established from SIM2019's own text that the region-Y swap rows are ENGINEERED CHIMERAS, not native non-cognate pairs, and that only TWO native non-cognate functional examples are reported. U1/U2, carrying 42 of the 56 rows, are UNADJUDICABLE because BUF2025 is paywalled	EXTERNAL; exposed by T-A23 and T-A23c for crosspair_evidence_geometry	Establishing what the published evidence IS	Inferring unmeasured negative pairs; opening Stage 12; reporting 56 as a count of measurements	EXPLORATORY_ONLY
A23C-SOURCES-8	Retrieved source records behind the cross-pair curation. Goal 12	named source	8 sources: 5 full-text, 2 metadata-only, 1 not found	analysis/t_a23c_source_retrieval/tables/A23c_sources.tsv (worktree task/T-A23c-source-retrieval)	Europe PMC + NCBI E-utilities; DOI query where available, else title keyword match	8	prerun freeze c77adb96f3bacd4c9d3acecbcd142f2a0b225897; outputs not hashed	source_id; doi; retrieved_title; availability; year	⛔ FOUR ROWS ARE MISIDENTIFIED. SIM2019_ref32/33/35/36 were resolved by keyword match on invented titles and returned papers dated 2026 as references of a 2019 review. U3's verdict is unsound and 13 of the 19 U6 candidate passages come from those wrong papers. See ERRATUM_01. The SIM2019 row itself (DOI 10.1093/nar/gkz865, 2019) is correct and carries both surviving findings	EXTERNAL	The SIM2019 full text and its 6 passages; the record that BUF2025 is paywalled	The four SIM2019_ref* rows for ANY purpose; re-attributing curation rows on a title match	CANONICAL_WITH_LIMITATION
P1-CLUSTERS-VOID	Cascaded identity partition of the exact-RT catalogue. Was to be the lineage backbone for goals 3,4,6,10	exact RT sequence -> cluster	7 identity levels over 501,861 sequences (note: 501,861, NOT 501,561 - scope was corrected mid-run)	T-P1 outputs on branch task/T-P1-relatedness-backbone	mmseqs cascaded clustering; Ibex job 52124966	501861	job COMPLETED exit 0:0 - THE JOB RAN AND THE TASK IS VOID	n/a	⛔ VOID. Four declared blocking controls were NEVER IMPLEMENTED AS GATES and two never ran. The duplicate control FAILED at 98/100 and was reported as a pass. Monotonicity fails at EVERY adjacent pair. THE CONTROLS WERE APPENDED TO THE PRIMARY INPUT and changed the clustering they were meant to check. ERRATUM_01 was itself FALSE and is superseded by ERRATUM_02	Spent RT-EXACT-501561 x rt_identity_clustering even though VOID	Nothing. History only	ANY consumption. T-P1b must re-derive from scratch; no number here is inherited	VOID_DO_NOT_CONSUME
N1-N1B-N1C-VOID	Three attempts at a CDS-neighbourhood census. Goal 6	raw source record	3,028,196 anchored records over 44,310,231 CDS	branches task/T-N1-neighbourhood-extraction-qa, task/T-N1b-…, task/T-N1c-…	same locator, three different null constructions	3028196	N1b/N1c frozen at c77adb9 / b270147; N1 had no freeze	n/a	⛔ T-N1 REVIEW_FAILED (null structurally forced to zero; population misdeclared as RETRON-LOCI). T-N1b VOID (0.070506 vs 0.05). T-N1c VOID (0.284691 vs 0.25) and ESCALATED. ✅ WHAT SURVIVES AS DIAGNOSTIC EVIDENCE, from T-N1c's three PASSING controls: discrimination 1.000-0.285 = 0.715 against a floor of 0.50, anchor uniqueness 3,028,196/3,028,196, reproduction 31,504/31,504 against a landed column. THE LOCATOR WORKS AND POSITION MATTERS	Spent RT-RECORDS x neighbourhood_geometry across all three	T-N1c's three passing controls as DIAGNOSTIC evidence that the locator works, stated as such	Any neighbourhood census table as a result; the 0.285 as a pass threshold for a future run	VOID_DO_NOT_CONSUME
RT-TOOL-CALLS-3051238	Per-record tool calls, preserved with their original provenance. Goals 1,6	record	3,051,238 records	/home/borg/RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7/data/derived/rt_tool_calls_v1.parquet	Stage-1 dbchar_g6	3051238	sha256 27c6b5c6fbf06f042fee8d5a… (72,251,025 B) TRUNCATED in DATASET_REGISTRY	record id; tool; call fields	⛔ NEVER POOL tool-specific fields whose provenance differs (CLAUDE.md). The original tool call must be preserved. Tool DISAGREEMENT is retained as signal, not filtered	INSPECTED (Stage 1)	Annotation-disagreement analysis (T-D1); tool-resolved description	Pooling across tools into one field	CANONICAL_WITH_LIMITATION
